id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	observer_mode	removal_log_prob_delta_per_token	removal_upper_iqr_outlier
148	only	I come home for lunch.__eou__How long have you got?	Only 1 hour.	1 Hour.	Okay, I'll make you some food.	-64.51018917560577	-73.31655895709991	-6.451018917560577	-9.16456986963749	10	8	-40.383395075798035	-41.8735591173172	-2.8845282196998596	-2.9909685083798	14	14	-223.2278617620468	-233.57972013950348	-4.749528973660571	-5.190660447544522	47	45	True	False	2.713550952076912	True
1624	only	Hi, I want to check out.__eou__Okay. Come with me.__eou__Can I pay by a credit card?	Sorry, you can only pay cash.	Sorry, you can pay cash.	OK. Here is the money.	-61.868836522102356	-73.60470688343048	-4.75914127093095	-6.1337255736192065	13	12	-24.141849040985107	-21.737611293792725	-2.0118207534154258	-1.8114676078160603	12	12	-288.9386067390442	-298.2655701637268	-4.5863270910959395	-4.810735002640755	63	62	True	False	1.3745843026882563	True
3380	only	Are we going to have dinner tonight?__eou__What are you planning on making?__eou__I'm not cooking dinner.	The only way you're eating tonight is if you cook.	The way you're eating tonight is if you cook.	I'm not sure what to cook for dinner.	-92.45686340332031	-100.87260437011719	-5.438639023724725	-6.304537773132324	17	16	-28.359987020492554	-25.28302562236786	-1.8906658013661704	-1.6855350414911905	15	15	-286.57220673561096	-291.91284787654877	-4.153220387472623	-4.2928359981845405	69	68	True	False	0.8658987494075996	True
3484	only	Did you ever get a parking ticket?	Only a few.	A few.	What's a few?	-72.65134739875793	-73.10947728157043	-8.072371933195326	-9.138684660196304	9	8	-19.026987195014954	-19.76765286922455	-1.9026987195014953	-1.9767652869224548	10	10	-164.10430574417114	-165.26691937446594	-4.972857749823368	-5.164591230452061	33	32	True	False	1.0663127270009785	True
5749	only	Do you have brothers and sisters?	No, I am the only child in my family.	No, I am the child in my family.	Oh, I have an elder sister. She is married .. Her husband is a businessman.	-72.73418855667114	-88.8455491065979	-4.545886784791946	-5.923036607106527	16	15	-80.59925091266632	-79.09767031669617	-3.5043152570724487	-3.439029144204181	23	23	-220.73243653774261	-235.36898612976074	-4.244854548802743	-4.615078159407074	52	51	True	False	1.3771498223145802	True
5953	only	Do you like traveling?__eou__Yes, I've just come back from Scotland.__eou__Where did you visit?	I only had time to visit Edinburgh.	I had time to visit Edinburgh.	How did you like it?	-56.75653076171875	-68.0943603515625	-4.365886981670673	-5.674530029296875	13	12	-32.26898729801178	-29.887199640274048	-2.933544299819253	-2.7170181491158227	11	11	-280.0487129688263	-289.02800929546356	-4.667478549480438	-4.898779818567179	60	59	True	False	1.3086430476262016	True
6002	only	Has Robert ever missed coming to one of our parties?	Only once or twice at the most.	Once or twice at the most.	Do you know why?	-79.116868019104	-84.96106815338135	-6.085912924546462	-7.080089012781779	13	12	-25.963332295417786	-25.423510193824768	-2.5963332295417785	-2.542351019382477	10	10	-211.91771519184113	-217.24918520450592	-5.297942879796028	-5.570491928320664	40	39	True	False	0.9941760882353172	True
8168	only	Do you like traveling?__eou__Yes. I’Ve just come back from Scotland.__eou__Where did you visit?	I only had time to visit Edinburgh.	I had time to visit Edinburgh.	How did you like it?	-57.314453125	-65.68817138671875	-4.408804086538462	-5.4740142822265625	13	12	-31.973387837409973	-29.96638059616089	-2.9066716215827246	-2.724216417832808	11	11	-297.2239453792572	-303.63388562202454	-4.872523694741921	-5.060564760367075	61	60	True	False	1.0652101956881008	True
10929	only	How many foreign languages can you speak?	Only English.	English.	What do you think of your English?	-78.01027297973633	-79.53194046020508	-9.751284122467041	-11.361705780029297	8	7	-36.67751359939575	-34.08571660518646	-2.8213471999535193	-2.6219782003989587	13	13	-180.2993106842041	-179.25401103496552	-5.151408876691546	-5.272176795146045	35	34	True	False	1.6104216575622559	True
13073	only	What can I do for you?__eou__I would like to cancel one of my accounts.__eou__Is there a problem with your account?	I only need one.	I need one.	What about all your money in that account?	-61.92513084411621	-68.48885154724121	-6.192513084411621	-7.609872394137913	10	9	-40.06895697116852	-41.127485513687134	-2.8620683550834656	-2.9376775366919383	14	14	-271.6311391592026	-279.32141757011414	-4.178940602449271	-4.364397149533033	65	64	True	False	1.417359309726292	True
