particle	component	position_label	corruption_mode	eval_mode	target_type	top_k	site_set_type	effect_score_mean	effect_score_mean_ci_low	effect_score_mean_ci_high	method	run_label	run_label_pretty	run_dir	effect_score_original_mean	effect_score_original_ci_low	effect_score_original_ci_high	metric_sign_convention
not	attn	utterance_final	prompt_without	necessity	generated	1	localized	-0.004735545344695	-0.0072666921648276	-0.0022043985245623	component	expanded_instruct	Expanded Instruct	localization/results/component_patch_runs/20260728_expanded_utterance_final_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.004735545344695	0.0022043985245623	0.0072666921648276	patched_minus_baseline
not	attn	utterance_final	prompt_without	necessity	generated	1	random_mean	-0.0006405850073597	-0.0012175887370261	-6.358127769334236e-05	component	expanded_instruct	Expanded Instruct	localization/results/component_patch_runs/20260728_expanded_utterance_final_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.0006405850073597	6.358127769334236e-05	0.0012175887370261	patched_minus_baseline
not	attn	utterance_final	prompt_without	necessity	generated	3	localized	-0.0214629440770697	-0.0308849867072254	-0.012040901446914	component	expanded_instruct	Expanded Instruct	localization/results/component_patch_runs/20260728_expanded_utterance_final_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.0214629440770697	0.012040901446914	0.0308849867072254	patched_minus_baseline
not	attn	utterance_final	prompt_without	necessity	generated	3	random_mean	-0.0040522476119118	-0.0071457676662981	-0.0009587275575255	component	expanded_instruct	Expanded Instruct	localization/results/component_patch_runs/20260728_expanded_utterance_final_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.0040522476119118	0.0009587275575255	0.0071457676662981	patched_minus_baseline
not	attn	utterance_final	prompt_without	necessity	generated	5	localized	-0.0658976240920646	-0.1017003805113515	-0.0300948676727776	component	expanded_instruct	Expanded Instruct	localization/results/component_patch_runs/20260728_expanded_utterance_final_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.0658976240920646	0.0300948676727776	0.1017003805113515	patched_minus_baseline
not	attn	utterance_final	prompt_without	necessity	generated	5	random_mean	-0.0035497431737185	-0.0041673612587438	-0.0029321250886932	component	expanded_instruct	Expanded Instruct	localization/results/component_patch_runs/20260728_expanded_utterance_final_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.0035497431737185	0.0029321250886932	0.0041673612587438	patched_minus_baseline
not	attn	utterance_final	prompt_without	necessity	generated	10	localized	-0.1588346307293683	-0.2391770200383103	-0.0784922414204264	component	expanded_instruct	Expanded Instruct	localization/results/component_patch_runs/20260728_expanded_utterance_final_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.1588346307293683	0.0784922414204264	0.2391770200383103	patched_minus_baseline
not	attn	utterance_final	prompt_without	necessity	generated	10	random_mean	-0.0034462168825497	-0.0044198334882818	-0.0024726002768176	component	expanded_instruct	Expanded Instruct	localization/results/component_patch_runs/20260728_expanded_utterance_final_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.0034462168825497	0.0024726002768176	0.0044198334882818	patched_minus_baseline
not	attn	utterance_final	prompt_without	necessity	gold	1	localized	0.0052801921881409	-0.0036596749631898	0.0142200593394716	component	expanded_instruct	Expanded Instruct	localization/results/component_patch_runs/20260728_expanded_utterance_final_Meta-Llama-3-8B-Instruct_not_just_only_full/not	-0.0052801921881409	-0.0142200593394716	0.0036596749631898	patched_minus_baseline
not	attn	utterance_final	prompt_without	necessity	gold	1	random_mean	-6.586318634510963e-05	-0.00057567716822	0.0004439507955298	component	expanded_instruct	Expanded Instruct	localization/results/component_patch_runs/20260728_expanded_utterance_final_Meta-Llama-3-8B-Instruct_not_just_only_full/not	6.586318634510963e-05	-0.0004439507955298	0.00057567716822	patched_minus_baseline
not	attn	utterance_final	prompt_without	necessity	gold	3	localized	0.0190620926993428	0.0128760020432068	0.0252481833554788	component	expanded_instruct	Expanded Instruct	localization/results/component_patch_runs/20260728_expanded_utterance_final_Meta-Llama-3-8B-Instruct_not_just_only_full/not	-0.0190620926993428	-0.0252481833554788	-0.0128760020432068	patched_minus_baseline
not	attn	utterance_final	prompt_without	necessity	gold	3	random_mean	0.0073101543805633	-0.0003007002907526	0.0149210090518793	component	expanded_instruct	Expanded Instruct	localization/results/component_patch_runs/20260728_expanded_utterance_final_Meta-Llama-3-8B-Instruct_not_just_only_full/not	-0.0073101543805633	-0.0149210090518793	0.0003007002907526	patched_minus_baseline
not	attn	utterance_final	prompt_without	necessity	gold	5	localized	0.0629503310306112	0.0343075264752645	0.0915931355859578	component	expanded_instruct	Expanded Instruct	localization/results/component_patch_runs/20260728_expanded_utterance_final_Meta-Llama-3-8B-Instruct_not_just_only_full/not	-0.0629503310306112	-0.0915931355859578	-0.0343075264752645	patched_minus_baseline
not	attn	utterance_final	prompt_without	necessity	gold	5	random_mean	0.0075042343180718	0.0038674632843924	0.0111410053517512	component	expanded_instruct	Expanded Instruct	localization/results/component_patch_runs/20260728_expanded_utterance_final_Meta-Llama-3-8B-Instruct_not_just_only_full/not	-0.0075042343180718	-0.0111410053517512	-0.0038674632843924	patched_minus_baseline
