id	word	context	w_word	wo_word	followup	log_prob_with_particle	log_prob_without_particle	prob_with_particle	prob_without_particle	log_prob_diff	prob_ratio	include_context
3	not	[NO CONTEXT]	I'm not sure. But I'll get a table ready as fast as I can.	I'm sure. But I'll get a table ready as fast as I can.	OK. We'll wait.	-15.836557388305664	-16.060670852661133	1.325166699744635e-07	1.0591056211137125e-07	0.22411346435546875	1.251212979448776	False
5	not	[NO CONTEXT]	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	-73.83434677124023	-74.95952606201172	8.593114968511279e-33	2.7892758405702484e-33	1.1251792907714844	3.0807691528832355	False
7	not	[NO CONTEXT]	Why not? See.	Why? See.	Good mastery. How do you like our Chinese food?	-47.9127197265625	-48.9947624206543	1.5551425699947195e-21	5.270417730780782e-22	1.0820426940917969	2.9507007782556434	False
15	not	[NO CONTEXT]	No, the steak was recommended, but it is not very fresh.	No, the steak was recommended, but it is very fresh.	Oh! Sorry to hear that. This is quite unusual as we have steak from the market every day.	-52.18621253967285	-60.296770095825195	2.1667852103156764e-23	6.507968928651535e-27	8.110557556152344	3329.433858813212	False
35	not	[NO CONTEXT]	Not to high, maybe an inch or an inch in the half would be the best.	to high, maybe an inch or an inch in the half would be the best.	In that case, I might have just the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell just by looking at it that it was superbly made.	-125.43437957763672	-127.86498260498047	3.346116892782289e-55	2.9440394552208746e-56	2.43060302734375	11.365733862188502	False
71	not	[NO CONTEXT]	No, it is not.	No, it is.	Oh, I'm sorry.	-11.773538589477539	-11.297098159790039	7.70578980077791e-06	1.2408880655549072e-05	-0.4764404296875	0.6209899196130951	False
78	not	[NO CONTEXT]	No, he's not. May I take a message?	No, he's. May I take a message?	Yes, would you leave him a message to call me?	-22.923215866088867	-23.637052536010742	1.1080869542952067e-10	5.4269836747537614e-11	0.713836669921875	2.041810001106156	False
81	not	[NO CONTEXT]	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?	-18.772857666015625	-19.088401794433594	7.031557072122944e-09	5.128760656212703e-09	0.31554412841796875	1.3710051108751382	False
83	not	[NO CONTEXT]	Mrs. Smith has not checked in yet.	Mrs. Smith has checked in yet.	Can you leave a message for her to call her office?	-32.2231559753418	-31.67563247680664	1.0131206568103536e-14	1.7516510934543993e-14	-0.5475234985351562	0.5783803981262027	False
95	not	[NO CONTEXT]	Not back home for dinner again? That’s the third time this week!	back home for dinner again? That’s the third time this week!	I’m sorry. Our company has just opened. There are always too many things to handle. You know that.	-60.65006637573242	-61.27097129821777	4.570996049547888e-27	2.4567177537981626e-27	0.6209049224853516	1.8606109889835674	False
149	not	[NO CONTEXT]	Marry is not in right now, she went shopping with her mum.	Marry is in right now, she went shopping with her mum.	Will it be too late if I call around ten this evening?	-36.910139083862305	-40.34043502807617	9.335342787892962e-17	3.0225373048617043e-18	3.430295944213867	30.885781865710005	False
193	not	[NO CONTEXT]	Not today, Honey. Don't eat too much ice cream.	today, Honey. Don't eat too much ice cream.	Mom, can I have one more piece of cake?	-21.973495483398438	-22.532825469970703	2.864390096042967e-10	1.6372622055047609e-10	0.5593299865722656	1.7494999190797835	False
226	not	[NO CONTEXT]	Our monthly salary can not buy one square meter of the house here.	Our monthly salary can buy one square meter of the house here.	It is depressing to hear the price goes higher and higher.	-36.37076187133789	-36.67321014404297	1.6009538639309377e-16	1.1831156543909303e-16	0.3024482727050781	1.3531676789071911	False
235	not	[NO CONTEXT]	I'm sorry. He's not in right now.	I'm sorry. He's in right now.	When is he coming back?	-10.410140991210938	-12.895278930664062	3.012542702316985e-05	2.509871677413191e-06	2.485137939453125	12.002775796975698	False
244	not	[NO CONTEXT]	I see. Have a look at this one. It’s very cheap because it’s not very durable.	I see. Have a look at this one. It’s very cheap because it’s very durable.	But it looks good. Let me try it on.	-21.904804229736328	-25.69940948486328	3.0680638662976374e-10	6.900622542370464e-12	3.794605255126953	44.46068231466712	False
249	not	[NO CONTEXT]	I already looked, but did not see anything.	I already looked, but did see anything.	Let me show you.	-12.72153091430664	-13.640810012817383	2.986134207414258e-06	1.1908895455576507e-06	0.9192790985107422	2.507482090638355	False
256	not	[NO CONTEXT]	I'm not sure, what about you?	I'm sure, what about you?	Do you think Kentucky fried chicken is good?	-30.50716209411621	-32.43591117858887	5.6351806627354986e-14	8.189601307866073e-15	1.9287490844726562	6.88089743431458	False
257	not	[NO CONTEXT]	Maybe not. Could you buy some while you're out?	Maybe. Could you buy some while you're out?	No problems. What color?	-23.636512756347656	-23.028451919555664	5.429913840924202e-11	9.974023900275084e-11	-0.6080608367919922	0.544405537345308	False
272	not	[NO CONTEXT]	The price is moderate, but their work is sometimes not satisfactory.	The price is moderate, but their work is sometimes satisfactory.	Is there a better tailor's around here?	-33.06993293762207	-33.54689025878906	4.3442079724881896e-15	2.6963152969564694e-15	0.4769573211669922	1.6111646799585415	False
279	not	[NO CONTEXT]	Ok, not a problem. Let's go to the station.	Ok, a problem. Let's go to the station.	You have to buy a ticket first. You want to go to Shi Da, right?	-48.01476860046387	-49.695783615112305	1.4042710638808584e-21	2.6145406717676464e-22	1.6810150146484375	5.371004853909787	False
