id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	observer_mode	removal_log_prob_delta_per_token	removal_upper_iqr_outlier
462	just	I'm looking for some fresh produce that's on sale.	Well, we just got in some mangoes.	Well, we got in some mangoes.	Mangoes. What are they?	-95.40673267841339	-104.21136784553528	-5.962920792400837	-6.947424523035685	16	15	-53.38880491256714	-54.21069383621216	-3.813486065183367	-3.872192416872297	14	14	-196.6836143732071	-206.28697180747986	-4.013951313738921	-4.297645245989163	49	48	True	False	0.9845037306348479	True
569	just	May I help you?	I'm just browsing, thanks.	I'm browsing, thanks.	We're on clearance sale now. Prices have up to twenty percent off. Do not miss the chance.	-68.95653533935547	-84.39867401123047	-5.304348872258113	-7.033222834269206	13	12	-112.65931856632233	-111.59435629844666	-4.172567354308234	-4.133124307349876	27	27	-201.17213594913483	-215.52953696250916	-3.8686949220987468	-4.2260693522060615	52	51	True	False	1.7288739620110931	True
1052	just	It's time to get up!	I just went to bed!	I went to bed!	You shouldn't have stayed up so late watching TV. I told you we had to get an early start.	-68.42822265625	-74.05462646484375	-5.702351888020833	-6.73223876953125	12	11	-77.0037772655487	-75.58327889442444	-2.750134902341025	-2.6994028176580156	28	28	-173.82141947746277	-178.01731514930725	-3.21891517550857	-3.358817266968061	54	53	True	False	1.029886881510417	True
1246	just	Good afternoon, ma'am. Can I help you find anything?	No, thanks. I'm just looking.	No, thanks. I'm looking.	We have a special on these skirts this week. Would you like to try one on?	-64.61355972290039	-73.20691680908203	-4.3075706481933596	-5.229065486363003	15	14	-72.87395334243774	-76.32842063903809	-3.0364147226015725	-3.1803508599599204	24	24	-173.72085809707642	-185.7538242340088	-2.9444213236792613	-3.2026521419656686	59	58	True	False	0.9214948381696431	True
1267	just	Hi. Can I help you?	No, thanks. I’m just looking around.	No, thanks. I’m looking around.	Okay. Please let me know if you need any help.	-69.48448181152344	-81.96946716308594	-4.342780113220215	-5.464631144205729	16	15	-49.589439868927	-42.121882915496826	-2.7549688816070557	-2.3401046064164905	18	18	-150.7953724861145	-155.82329893112183	-3.1415702601273856	-3.315389338960039	48	47	True	False	1.121851030985514	True
1627	just	Excuse me, do you have the latest issue of Newsworld?	Yes, this week's issue just came in. Here it is.	Yes, this week's issue came in. Here it is.	How about Music Madness?	-91.67408335208893	-103.37881791591644	-4.583704167604447	-5.440990416627181	20	19	-65.7861328125	-64.906494140625	-5.980557528409091	-5.900590376420454	11	11	-209.76663219928741	-220.59172809123993	-3.9578609848922155	-4.24214861713923	53	52	True	False	0.8572862490227342	True
1695	just	Good afternoon, ma'am. Can I help you find anything?	No, thanks. I'm just looking.	No, thanks. I'm looking.	We have a special on these skirts this week. Would you like to try one on?	-64.61355972290039	-73.20691680908203	-4.3075706481933596	-5.229065486363003	15	14	-72.87395334243774	-76.32842063903809	-3.0364147226015725	-3.1803508599599204	24	24	-173.72085809707642	-185.7538242340088	-2.9444213236792613	-3.2026521419656686	59	58	True	False	0.9214948381696431	True
2273	just	How do you use an ATM card, Billy?__eou__It’s easy grandpa. Insert you card into the machine here. Then wait a moment. Ok. Now you enter your PIN. It should have four numbers.	Oh yes. I’Ve got it written down here. Just a minute.	Oh yes. I’Ve got it written down here. A minute.	You really shouldn’t write it down. You should memorise it. You can change it to a more convenient number if you like.	-112.12757873535156	-124.79164123535156	-5.096708124334162	-5.9424591064453125	22	21	-95.6467936038971	-92.08951127529144	-2.8983876849665786	-2.7905912507664072	33	33	-447.68292450904846	-456.7691968679428	-4.069844768264077	-4.190543090531586	110	109	True	False	0.8457509821111504	True
2485	just	I'm looking for some fresh produce that's on sale.	Well, we just got in some mangoes.	Well, we got in some mangoes.	Mangoes. What are they?	-95.40673267841339	-104.21136784553528	-5.962920792400837	-6.947424523035685	16	15	-53.38880491256714	-54.21069383621216	-3.813486065183367	-3.872192416872297	14	14	-196.6836143732071	-206.28697180747986	-4.013951313738921	-4.297645245989163	49	48	True	False	0.9845037306348479	True
2522	just	I'm searching for an old music box.__eou__You came to the right place. Any particular decade?__eou__If you had a box made in the' 20s, that would be nice.	We just got one in yesterday, so now we have six.	We got one in yesterday, so now we have six.	Would any of them have dancing figures?	-94.2488899230957	-104.5562629699707	-4.960467890689247	-5.808681276109484	19	18	-51.488250732421875	-50.334197998046875	-3.677732195172991	-3.595299857003348	14	14	-370.2770080566406	-379.4410705566406	-4.114188978407118	-4.263382815243153	90	89	True	False	0.8482133854202365	True
2640	just	Hello, sir. Is there anything I can help you find?	Um ... Uh ... I'm just looking, thanks.	Um ... Uh ... I'm looking, thanks.	Need a gift for your girlfriend or wife ...	-95.02919006347656	-111.50379943847656	-5.5899523566750915	-6.968987464904785	17	16	-68.70524978637695	-69.45369529724121	-4.580349985758463	-4.630246353149414	15	15	-203.09852981567383	-220.3215847015381	-3.9057409579937277	-4.320031072579178	52	51	True	False	1.3790351082296937	True
2762	just	Hi, can I help you?	No, thanks. I'm just looking.	No, thanks. I'm looking.	All right. If you need any help, just let me know. My name is Greg.	-72.00370025634766	-81.28226470947266	-4.8002466837565105	-5.805876050676618	15	14	-72.73047089576721	-74.58171474933624	-2.9092188358306883	-2.98326858997345	25	25	-173.93882203102112	-185.07204830646515	-3.2210892968707614	-3.4919254397446253	54	53	True	False	1.0056293669201075	True
2798	just	Hello, sir. Is there anything I can help you find?	Um ... Uh ... I'm just looking, thanks.	Um ... Uh ... I'm looking, thanks.	Need a gift for your girlfriend or wife?	-95.02919006347656	-111.50379943847656	-5.5899523566750915	-6.968987464904785	17	16	-57.27092361450195	-58.20393943786621	-3.8180615743001303	-3.8802626291910807	15	15	-191.66420364379883	-209.0718288421631	-3.6858500700730543	-4.099447624356139	52	51	True	False	1.3790351082296937	True
2934	just	It’s time to get up.	I just went to bed.	I went to bed.	You shouldn’t stay up so late watching TV. I told you we had to get an early start.	-67.05543518066406	-70.9814453125	-5.587952931722005	-6.4528586647727275	12	11	-91.64869368076324	-86.76919841766357	-3.3943960622504905	-3.2136740154690213	27	27	-189.42393171787262	-188.47934246063232	-3.5740364475070305	-3.624602739627545	53	52	True	False	0.8649057330507226	True
3363	just	I need to eat something.	You just ate.	You ate.	I know, but I'm hungry again.	-64.78454971313477	-68.82507705688477	-6.478454971313477	-7.647230784098308	10	9	-33.65605926513672	-37.554962158203125	-2.243737284342448	-2.5036641438802083	15	15	-125.01932907104492	-132.95192337036133	-3.2899823439748666	-3.593295226225982	38	37	True	False	1.1687758127848307	True
3537	just	I'm looking for some fresh produce that's on sale.	Well, we just got in some mangoes.	Well, we got in some mangoes.	Mangoes. What are they?	-95.40673267841339	-104.21136784553528	-5.962920792400837	-6.947424523035685	16	15	-53.38880491256714	-54.21069383621216	-3.813486065183367	-3.872192416872297	14	14	-196.6836143732071	-206.28697180747986	-4.013951313738921	-4.297645245989163	49	48	True	False	0.9845037306348479	True
3597	just	I'm searching for an old music box.__eou__You came to the right place. Any particular decade?__eou__If you had a box made in the' 20s, that would be nice.	We just got one in yesterday, so now we have six.	We got one in yesterday, so now we have six.	Would any of them have dancing figures?	-94.2488899230957	-104.5562629699707	-4.960467890689247	-5.808681276109484	19	18	-51.488250732421875	-50.334197998046875	-3.677732195172991	-3.595299857003348	14	14	-370.2770080566406	-379.4410705566406	-4.114188978407118	-4.263382815243153	90	89	True	False	0.8482133854202365	True
3762	just	Did you have any kind of punishment in your life and studies?	Yes, just once.	Yes, once.	What was the reason?	-80.78032302856445	-84.12797927856445	-7.343665729869496	-8.412797927856445	11	10	-54.17669677734375	-61.39727783203125	-4.925154252485796	-5.581570712002841	11	11	-206.2902069091797	-216.8779754638672	-4.911671593075707	-5.289706718630907	42	41	True	False	1.0691321979869493	True
4508	just	Mom, have we got any cookies?	Cookies? You just ate an hour ago.	Cookies? You ate an hour ago.	I know, but I'm hungry.	-83.72783946990967	-90.9408073425293	-5.581855964660645	-6.495771953037807	15	14	-45.5220947265625	-44.5140380859375	-3.2515781947544644	-3.1795741489955356	14	14	-167.60785961151123	-173.83619499206543	-3.8092695366252554	-4.042702209117801	44	43	True	False	0.9139159883771626	True
4704	just	All the routine work really browns me off.	Oh, come on.You' Ve just started.	Oh, come on.You' Ve started.	I wish I hadn't chosen this job.	-107.2734375	-114.4990234375	-6.70458984375	-7.633268229166666	16	15	-49.15238571166992	-51.15323829650879	-3.276825714111328	-3.410215886433919	15	15	-220.6289939880371	-229.83492469787598	-4.596437374750773	-4.8901047808058715	48	47	True	False	0.9286783854166663	True
5349	just	Hey, Mike, is Jenny coming with us?__eou__Yes. Why?	Nothing. I'm just asking.	Nothing. I'm asking.	Just asking? But why is your face burning like mad? Ah-huh, someone has a crush on Jenny, doesn't he?	-66.30804443359375	-75.28787231445312	-5.100618802584135	-6.273989359537761	13	12	-114.56719207763672	-121.09892272949219	-3.4717330932617188	-3.669664325136127	33	33	-304.59639739990234	-320.1010437011719	-4.2305055194430885	-4.508465404241857	72	71	True	False	1.1733705569536257	True
5636	just	The time has come to say goodbye.	So soon. It seems as if you just got here.	So soon. It seems as if you got here.	I feel that way, too. But all good things must come to an end, as they say.	-89.80433416366577	-104.03662109375	-4.98912967575921	-6.119801240808823	18	17	-60.40971267223358	-58.99667727947235	-2.2373967656382807	-2.185062121461939	27	27	-176.76753640174866	-189.58825290203094	-2.946125606695811	-3.2133602186784906	60	59	True	False	1.1306715650496137	True
