source_dataset	dataset_role	source_row_index	id	word	subset	context	w_word	wo_word	followup_metadata_only	with_without_diff	generated_from	generated_from_text	sampling_strategy	prompt_mode	top_p	temperature	base_seed	condition_seed	samples_requested	unique_samples_obtained	max_sample_draws	sample_draw	unique_rank	response	normalized_response	raw_generation	log_prob_given_P	log_prob_given_P_prime	log_prob_given_P_per_token	log_prob_given_P_prime_per_token	token_count_given_P	token_count_given_P_prime	own_log_prob	other_log_prob	own_log_prob_per_token	other_log_prob_per_token	own_context_log_prob_advantage	own_context_log_prob_advantage_per_token	own_context_win	include_context	candidate_weight_unnormalized	candidate_weight
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	200	1	1	No worries, buddy! I think we're on the same page! Let's get back to the important stuff... like complaining about spin class	no worries, buddy! i think we're on the same page! let's get back to the important stuff... like complaining about spin class	No worries, buddy! I think we're on the same page! Let's get back to the important stuff... like complaining about spin class	-31.39448654651642	-39.234009742736816	-0.9513480771671642	-1.1889093861435398	33	33	-31.39448654651642	-39.234009742736816	-0.9513480771671642	-1.1889093861435398	7.839523196220398	0.2375613089763756	True	True	5.563441700882894e-11	3.113790957153569e-11
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	200	2	2	No worries! I get it. Sometimes, fitness just isn't our thing, and that's totally okay! Maybe we can find another fun activity to do together instead?	no worries! i get it. sometimes, fitness just isn't our thing, and that's totally okay! maybe we can find another fun activity to do together instead?	No worries! I get it. Sometimes, fitness just isn't our thing, and that's totally okay! Maybe we can find another fun activity to do together instead?	-28.60643923282624	-44.47465777397156	-0.7334984418673393	-1.1403758403582451	39	39	-28.60643923282624	-44.47465777397156	-0.7334984418673393	-1.1403758403582451	15.868218541145325	0.4068773984909059	True	True	9.0401805667312e-10	5.059679603590683e-10
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	200	3	3	Ha ha, don't worry about it! It's all about having fun and being healthy, not about being a fitness guru. What's your favorite workout or exercise?	ha ha, don't worry about it! it's all about having fun and being healthy, not about being a fitness guru. what's your favorite workout or exercise?	Ha ha, don't worry about it! It's all about having fun and being healthy, not about being a fitness guru. What's your favorite workout or exercise?	-24.903843760490417	-44.41474676132202	-0.6385600964228312	-1.1388396605467186	39	39	-24.903843760490417	-44.41474676132202	-0.6385600964228312	-1.1388396605467186	19.510903000831604	0.5002795641238874	True	True	3.666012044042316e-08	2.0518225525295778e-08
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	200	4	4	No worries! I'm just glad you had a good time!	no worries! i'm just glad you had a good time!	No worries! I'm just glad you had a good time!	-8.226950526237488	-8.957477688789368	-0.4570528070131938	-0.4976376493771871	18	18	-8.226950526237488	-8.957477688789368	-0.4570528070131938	-0.4976376493771871	0.7305271625518799	0.0405848423639932	True	True	0.6410274014833621	0.3587752749722861
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	200	5	5	I think I got a bit carried away! Don't worry, I won't tell anyone you're not a fan of group fitness classes! What do you say we focus on a different topic? How's your day going otherwise?	i think i got a bit carried away! don't worry, i won't tell anyone you're not a fan of group fitness classes! what do you say we focus on a different topic? how's your day going otherwise?	I think I got a bit carried away! Don't worry, I won't tell anyone you're not a fan of group fitness classes! What do you say we focus on a different topic? How's your day going otherwise?	-32.29915392398834	-44.87238907814026	-0.6333167436076146	-0.8798507662380443	51	51	-32.29915392398834	-44.87238907814026	-0.6333167436076146	-0.8798507662380443	12.573235154151917	0.2465340226304296	True	True	2.2513939331468824e-11	1.2600779242300058e-11
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	200	6	6	I think we're on the same page now! So, what do you think of the instructor's... erm... enthusiasm?	i think we're on the same page now! so, what do you think of the instructor's... erm... enthusiasm?	I think we're on the same page now! So, what do you think of the instructor's... erm... enthusiasm?	-19.49873113632202	-21.339244723320007	-0.6499577045440674	-0.7113081574440002	30	30	-19.49873113632202	-21.339244723320007	-0.6499577045440674	-0.7113081574440002	1.8405135869979856	0.0613504528999327	True	True	8.158390223059368e-06	4.5661522250625765e-06
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	200	7	7	I think I know what's going on here! It sounds like you're talking about a fitness class, maybe Zumba or something similar? And you're just joking around about how intense it can be?	i think i know what's going on here! it sounds like you're talking about a fitness class, maybe zumba or something similar? and you're just joking around about how intense it can be?	I think I know what's going on here! It sounds like you're talking about a fitness class, maybe Zumba or something similar? And you're just joking around about how intense it can be?	-25.184945702552795	-25.332927942276	-0.5474988196207129	-0.550715824832087	46	46	-25.184945702552795	-25.332927942276	-0.5474988196207129	-0.550715824832087	0.1479822397232055	0.0032170052113741	True	True	2.7676608160306072e-08	1.5490262475576488e-08
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	200	8	8	No worries! It's all about having fun and finding what works for you. Maybe we can switch to a virtual hike or a relaxing yoga session instead?	no worries! it's all about having fun and finding what works for you. maybe we can switch to a virtual hike or a relaxing yoga session instead?	No worries! It's all about having fun and finding what works for you. Maybe we can switch to a virtual hike or a relaxing yoga session instead?	-25.20472025871277	-48.86360549926758	-0.7001311182975769	-1.357322374979655	36	36	-25.20472025871277	-48.86360549926758	-0.7001311182975769	-1.357322374979655	23.65888524055481	0.6571912566820781	True	True	2.7134691259850986e-08	1.5186958147987696e-08
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	200	9	9	No worries, I won't judge! But maybe try not to be too harsh on yourself or others, okay?	no worries, i won't judge! but maybe try not to be too harsh on yourself or others, okay?	No worries, I won't judge! But maybe try not to be too harsh on yourself or others, okay?	-24.973714470863342	-29.62912344932556	-0.8919183739594051	-1.0581829803330558	28	28	-24.973714470863342	-29.62912344932556	-0.8919183739594051	-1.0581829803330558	4.655408978462219	0.1662646063736507	True	True	3.4186089356690634e-08	1.913354028360076e-08
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	200	10	10	No worries! It sounds like you're just not a fan of group fitness classes, but you had a good time anyway! Maybe next time you can try a solo workout or find a different type of exercise that you enjoy more?	no worries! it sounds like you're just not a fan of group fitness classes, but you had a good time anyway! maybe next time you can try a solo workout or find a different type of exercise that you enjoy more?	No worries! It sounds like you're just not a fan of group fitness classes, but you had a good time anyway! Maybe next time you can try a solo workout or find a different type of exercise that you enjoy more?	-25.09944188594818	-38.37481582164765	-0.4921459193323172	-0.7524473690519146	51	51	-25.09944188594818	-38.37481582164765	-0.4921459193323172	-0.7524473690519146	13.275373935699465	0.2603014497195973	True	True	3.014718047705145e-08	1.6873011887267974e-08
