id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	observer_mode	removal_log_prob_delta_per_token	removal_upper_iqr_outlier
150	just	Hello. Excuse me. Do you know if there's a Commercial Bank around here?__eou__Yes, go straight along Beijing Road and turn right.__eou__Straight on, and turn right. Is it far?	No, it's just a couple of minutes.	No, it's a couple of minutes.	Thanks very much.	-58.73771858215332	-68.15017890930176	-3.915847905476888	-4.867869922092983	15	14	-22.1074481010437	-22.142608165740967	-2.456383122338189	-2.460289796193441	9	9	-364.3656370639801	-373.77164673805237	-4.5545704632997515	-4.731286667570283	80	79	True	False	0.9520220166160951	True
462	just	I'm looking for some fresh produce that's on sale.	Well, we just got in some mangoes.	Well, we got in some mangoes.	Mangoes. What are they?	-101.89336609840393	-117.26420378684998	-6.7928910732269285	-8.37601455620357	15	14	-27.39554190635681	-26.254358291625977	-2.1073493774120626	-2.0195660224327674	13	13	-211.92595517635345	-226.1361153125763	-4.60708598209464	-5.02524700694614	46	45	True	False	1.5831234829766414	True
569	just	May I help you?	I'm just browsing, thanks.	I'm browsing, thanks.	We're on clearance sale now. Prices have up to twenty percent off. Do not miss the chance.	-63.5225168466568	-77.07017004489899	-5.293543070554733	-7.006379094990817	12	11	-113.55922329425812	-113.03664040565491	-4.367662434394543	-4.3475630925251885	26	26	-237.30564320087433	-250.32946228981018	-4.842972310221925	-5.215197131037712	49	48	True	False	1.7128360244360836	True
690	just	Hello, are you interested in this Honda?	Hi, I am just looking.	Hi, I am looking.	It's a good car.	-91.064697265625	-97.498291015625	-7.588724772135417	-8.863481001420455	12	11	-24.034486651420593	-23.02667272090912	-2.1849533319473267	-2.0933338837190107	11	11	-208.13523662090302	-213.55906331539154	-5.477243068971132	-5.771866576091663	38	37	True	False	1.274756229285038	True
976	just	Is there anything I can do for you?__eou__I'm looking for a black, leather bag.__eou__How's this?	I'm just looking.	I'm looking.	If you need any help, let me know.	-65.13615703582764	-70.36381816864014	-6.513615703582763	-7.818202018737793	10	9	-29.435083866119385	-34.36717212200165	-1.962338924407959	-2.2911448081334433	15	15	-267.7075580358505	-277.9649373292923	-4.1829305943101645	-4.412141862369719	64	63	True	False	1.3045863151550297	True
1052	just	It's time to get up!	I just went to bed!	I went to bed!	You shouldn't have stayed up so late watching TV. I told you we had to get an early start.	-63.173089265823364	-68.69347500801086	-5.7430081150748515	-6.869347500801086	11	10	-56.241100430488586	-53.24467492103577	-2.0830037196477256	-1.9720249970753987	27	27	-186.66342723369598	-189.1842441558838	-3.6600672006607056	-3.783684883117676	51	50	True	False	1.1263393857262347	True
1157	just	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	-76.13431239128113	-87.94200110435486	-5.075620826085409	-6.2815715074539185	15	14	-32.121129512786865	-31.33988070487976	-4.588732787540981	-4.477125814982823	7	7	-165.40785765647888	-176.44293403625488	-4.4704826393642945	-4.901192612118191	37	36	True	False	1.2059506813685097	True
1246	just	Good afternoon, ma'am. Can I help you find anything?	No, thanks. I'm just looking.	No, thanks. I'm looking.	We have a special on these skirts this week. Would you like to try one on?	-68.75411987304688	-78.71513748168945	-4.911008562360491	-6.055010575514573	14	13	-46.85718309879303	-49.334176778793335	-2.0372688303823057	-2.144964207773623	23	23	-193.91352474689484	-206.27760910987854	-3.462741513337408	-3.7505019838159734	56	55	True	False	1.1440020131540818	True
1267	just	Hi. Can I help you?	No, thanks. I’m just looking around.	No, thanks. I’m looking around.	Okay. Please let me know if you need any help.	-75.15575861930847	-84.68273615837097	-5.010383907953898	-6.048766868455069	15	14	-36.35438394546509	-34.77723240852356	-2.138493173262652	-2.0457195534425625	17	17	-178.4137361049652	-186.3653016090393	-3.9647496912214493	-4.235575036569075	45	44	True	False	1.0383829605011714	True
1627	just	Excuse me, do you have the latest issue of Newsworld?	Yes, this week's issue just came in. Here it is.	Yes, this week's issue came in. Here it is.	How about Music Madness?	-96.36563110351562	-109.31265258789062	-5.071875321237664	-6.072925143771702	19	18	-34.47308361530304	-33.96759045124054	-3.447308361530304	-3.396759045124054	10	10	-214.58321821689606	-227.02474653720856	-4.2916643643379215	-4.633158092596093	50	49	True	False	1.0010498225340374	True
