particle	component	position_label	corruption_mode	eval_mode	target_type	top_k	site_set_type	effect_score_mean	effect_score_mean_ci_low	effect_score_mean_ci_high	method	run_label	run_label_pretty	run_dir	effect_score_original_mean	effect_score_original_ci_low	effect_score_original_ci_high	metric_sign_convention
not	attn	utterance_final_lexical	prompt_without	necessity	generated	1	localized	-0.0007185212651707	-0.0015011108762453	6.40683459039119e-05	component	expanded_instruct	Expanded Instruct	localization/results/component_patch_runs/20260729_expanded_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.0007185212651707	-6.40683459039119e-05	0.0015011108762453	patched_minus_baseline
not	attn	utterance_final_lexical	prompt_without	necessity	generated	1	random_mean	-0.0005316271612271	-0.0010219733452129	-4.1280977241425976e-05	component	expanded_instruct	Expanded Instruct	localization/results/component_patch_runs/20260729_expanded_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.0005316271612271	4.1280977241425976e-05	0.0010219733452129	patched_minus_baseline
not	attn	utterance_final_lexical	prompt_without	necessity	generated	3	localized	-0.0111968785239539	-0.0199594775781188	-0.0024342794697889	component	expanded_instruct	Expanded Instruct	localization/results/component_patch_runs/20260729_expanded_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.0111968785239539	0.0024342794697889	0.0199594775781188	patched_minus_baseline
not	attn	utterance_final_lexical	prompt_without	necessity	generated	3	random_mean	-0.0007620294787738	-0.0008633880495573	-0.0006606709079903	component	expanded_instruct	Expanded Instruct	localization/results/component_patch_runs/20260729_expanded_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.0007620294787738	0.0006606709079903	0.0008633880495573	patched_minus_baseline
not	attn	utterance_final_lexical	prompt_without	necessity	generated	5	localized	-0.0244870960280942	-0.0420074352565359	-0.0069667567996526	component	expanded_instruct	Expanded Instruct	localization/results/component_patch_runs/20260729_expanded_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.0244870960280942	0.0069667567996526	0.0420074352565359	patched_minus_baseline
not	attn	utterance_final_lexical	prompt_without	necessity	generated	5	random_mean	-0.0008851313417897	-0.0013549915409624	-0.000415271142617	component	expanded_instruct	Expanded Instruct	localization/results/component_patch_runs/20260729_expanded_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.0008851313417897	0.000415271142617	0.0013549915409624	patched_minus_baseline
not	attn	utterance_final_lexical	prompt_without	necessity	generated	10	localized	-0.1094237024105028	-0.1815329018379913	-0.0373145029830143	component	expanded_instruct	Expanded Instruct	localization/results/component_patch_runs/20260729_expanded_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.1094237024105028	0.0373145029830143	0.1815329018379913	patched_minus_baseline
not	attn	utterance_final_lexical	prompt_without	necessity	generated	10	random_mean	-0.0021723563175191	-0.0022896500627927	-0.0020550625722456	component	expanded_instruct	Expanded Instruct	localization/results/component_patch_runs/20260729_expanded_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.0021723563175191	0.0020550625722456	0.0022896500627927	patched_minus_baseline
not	attn	utterance_final_lexical	prompt_without	necessity	gold	1	localized	-0.0055377512244143	-0.0065754756693482	-0.0045000267794803	component	expanded_instruct	Expanded Instruct	localization/results/component_patch_runs/20260729_expanded_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.0055377512244143	0.0045000267794803	0.0065754756693482	patched_minus_baseline
not	attn	utterance_final_lexical	prompt_without	necessity	gold	1	random_mean	-0.0003025406824258	-0.0005107478130836	-9.433355176795384e-05	component	expanded_instruct	Expanded Instruct	localization/results/component_patch_runs/20260729_expanded_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.0003025406824258	9.433355176795384e-05	0.0005107478130836	patched_minus_baseline
