transfer_label	site_source	evaluation_target	train_fold	component	top_k	selected_layers
exclusive_just_to_only	exclusive_just	only	0	attn	1	2
exclusive_just_to_only	exclusive_just	only	0	attn	3	2,1,6
exclusive_just_to_only	exclusive_just	only	0	attn	5	2,1,6,7,4
exclusive_just_to_only	exclusive_just	only	0	attn	10	2,1,6,7,4,11,5,3,8,10
exclusive_just_to_only	exclusive_just	only	1	attn	1	2
exclusive_just_to_only	exclusive_just	only	1	attn	3	2,7,1
exclusive_just_to_only	exclusive_just	only	1	attn	5	2,7,1,3,4
exclusive_just_to_only	exclusive_just	only	1	attn	10	2,7,1,3,4,5,6,8,12,11
exclusive_just_to_only	exclusive_just	only	0	mlp	1	3
exclusive_just_to_only	exclusive_just	only	0	mlp	3	3,6,2
exclusive_just_to_only	exclusive_just	only	0	mlp	5	3,6,2,8,7
exclusive_just_to_only	exclusive_just	only	0	mlp	10	3,6,2,8,7,4,1,5,12,14
exclusive_just_to_only	exclusive_just	only	1	mlp	1	2
exclusive_just_to_only	exclusive_just	only	1	mlp	3	2,3,4
exclusive_just_to_only	exclusive_just	only	1	mlp	5	2,3,4,7,6
exclusive_just_to_only	exclusive_just	only	1	mlp	10	2,3,4,7,6,0,1,9,16,13
exclusive_just_to_only	exclusive_just	only	0	resid	1	6
exclusive_just_to_only	exclusive_just	only	0	resid	3	6,8,7
exclusive_just_to_only	exclusive_just	only	0	resid	5	6,8,7,10,9
exclusive_just_to_only	exclusive_just	only	0	resid	10	6,8,7,10,9,11,2,4,3,5
exclusive_just_to_only	exclusive_just	only	1	resid	1	7
exclusive_just_to_only	exclusive_just	only	1	resid	3	7,6,8
exclusive_just_to_only	exclusive_just	only	1	resid	5	7,6,8,3,5
exclusive_just_to_only	exclusive_just	only	1	resid	10	7,6,8,3,5,2,9,4,11,12
