id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	removal_log_prob_delta_per_token	removal_upper_iqr_outlier
3	not	Would you mind waiting a while?__eou__Well, how long will it be?	I'm not sure. But I'll get a table ready as fast as I can.	I'm sure. But I'll get a table ready as fast as I can.	OK. We'll wait.	-30.423416137695312	-42.20873260498047	-1.3227572233780571	-1.91857875477184	23	22	-7.56201171875	-7.898372650146484	-0.756201171875	-0.7898372650146485	10	10	-76.41473770141602	-88.54949951171875	-1.3406094333581755	-1.5812410627092637	57	56	True	0.5958215313937829	False
5	not	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	-105.2609157562256	-109.7716579437256	-2.447928273400595	-2.6136109034220376	43	42	-74.2476749420166	-73.46359062194824	-1.9538861826846476	-1.933252384788112	38	38	-334.77693939208984	-338.5026206970215	-2.3088064785661366	-2.350712643729316	145	144	True	0.16568263002144246	False
7	not	Can you manage chopsticks?	Why not? See.	Why? See.	Good mastery. How do you like our Chinese food?	-19.200328826904297	-22.300182342529297	-1.9200328826904296	-2.4777980380588107	10	9	-31.32655334472656	-36.17868423461914	-2.0884368896484373	-2.411912282307943	15	15	-88.2431411743164	-96.19829940795898	-2.5212326049804688	-2.829361747292911	35	34	True	0.5577651553683811	False
15	not	Is everything to your satisfaction?	No, the steak was recommended, but it is not very fresh.	No, the steak was recommended, but it is very fresh.	Oh! Sorry to hear that. This is quite unusual as we have steak from the market every day.	-42.10951614379883	-46.16701126098633	-2.2162903233578333	-2.564833958943685	19	18	-48.71485137939453	-50.959102630615234	-1.9485940551757808	-2.038364105224609	25	25	-117.8933563232422	-124.1936378479004	-2.183210302282262	-2.343276185809441	54	53	True	0.3485436355858518	False
35	not	I'm looking for some black pumps to go with my evening gown. Could you show me what you have?__eou__Sure, we have several different styles you may choose. How high of a heel do you want?	Not to high, maybe an inch or an inch in the half would be the best.	To high, maybe an inch or an inch in the half would be the best.	In that case, I might have just the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell just by looking at it that it was superbly made.	-42.83866691589356	-52.59898376464844	-1.8625507354736328	-2.390862898393111	23	22	-106.45810890197754	-106.75417900085448	-1.8676861210873248	-1.8728803333483244	57	57	-244.07005310058597	-254.0823230743408	-1.8631301763403507	-1.95447940826416	131	130	True	0.528312162919478	False
71	not	Is Tom in?__eou__Wrong number.__eou__Isn't this Li's residence?	No, it is not.	No, it is.	Oh, I'm sorry.	-7.019500732421875	-8.616180419921875	-0.6381364302201704	-0.8616180419921875	11	10	-5.579675674438477	-5.607566833496094	-0.5579675674438477	-0.5607566833496094	10	10	-76.79443359375	-78.41900444030762	-1.567233338647959	-1.6337292591730754	49	48	True	0.22348161177201709	False
81	not	I'm trying to reach Robert please.	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?	-10.274845123291016	-16.820844650268555	-0.7903727017916166	-1.401737054189046	13	12	-10.193671226501465	-11.58534049987793	-0.926697384227406	-1.0532127727161755	11	11	-59.309157371521	-67.24693870544434	-1.647476593653361	-1.9213411058698384	36	35	True	0.6113643523974294	False
83	not	Can you connect me to Mary. Smith Hotel room?	Mrs. Smith has not checked in yet.	Mrs. Smith has checked in yet.	Can you leave a message for her to call her office?	-17.326950073242188	-24.060958862304688	-1.2376392909458704	-1.850842989408053	14	13	-25.34607696533203	-27.27887725830078	-1.584129810333252	-1.7049298286437988	16	16	-106.3508529663086	-115.02889251708984	-2.363352288140191	-2.614293011752042	45	44	True	0.6132036984621825	False
95	not	Jessie, I’m afraid I can’t come back home for dinner tonight.	Not back home for dinner again? That’s the third time this week!	Back home for dinner again? That’s the third time this week!	I’m sorry. Our company has just opened. There are always too many things to handle. You know that.	-27.545555114746094	-29.82012176513672	-1.3772777557373046	-1.5694800929019326	20	19	-55.06035614013672	-55.04362487792969	-2.039272449634693	-2.038652773256655	27	27	-130.15968704223633	-132.46477890014648	-1.972116470336914	-2.037919675386869	66	65	True	0.19220233716462798	False
149	not	May I speak to Marry?	Marry is not in right now, she went shopping with her mum.	Marry is in right now, she went shopping with her mum.	Will it be too late if I call around ten this evening?	-27.81166076660156	-41.14547157287598	-1.390583038330078	-2.165551135414525	20	19	-33.55492401123047	-33.73853302001953	-1.9738190594841447	-1.9846195894129133	17	17	-87.27401924133301	-100.82359504699708	-1.8182087341944375	-2.1451828733403637	48	47	True	0.7749680970844472	False
