id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	removal_log_prob_delta_per_token	removal_upper_iqr_outlier
987	only	Where do these flower vases come from?__eou__They are made a town nearby. The flower vases are made of porcelain and covered with tiny bamboo sticks.__eou__Are they breakable?	No. They are not only ornamental, but also useful.	No. They are not ornamental, but also useful.	No wonder it's so expensive.	-23.21220016479492	-30.85721969604492	-1.2895666758219402	-1.815130570355584	18	17	-15.841346740722656	-16.041786193847656	-1.4401224309747869	-1.458344199440696	11	11	-155.2172393798828	-163.0839385986328	-1.964775182023833	-2.090819725623497	79	78	True	0.5255638945336438	True
1562	only	Did you watch the finale last night? My favorite singer won!	Oh, I love him too. He not only sings well but shows perseverance when he encounters difficulties in the contest.	Oh, I love him too. He not sings well but shows perseverance when he encounters difficulties in the contest.	Yeah, he got booted after his initial performance in the audition, but he did not give up. He then tried at another two auditions.	-63.85826301574707	-75.96353340148926	-2.280652250562395	-2.813464200055157	28	27	-82.83050918579102	-83.25038409233093	-2.4361914466409123	-2.4485407085979687	34	34	-191.50700759887692	-203.99830889701843	-2.424139336694645	-2.6153629345771594	79	78	True	0.5328119494927619	True
3380	only	Are we going to have dinner tonight?__eou__What are you planning on making?__eou__I'm not cooking dinner.	The only way you're eating tonight is if you cook.	The way you're eating tonight is if you cook.	I'm not sure what to cook for dinner.	-27.341628074646	-37.534865379333496	-1.6083310632144705	-2.3459290862083435	17	16	-18.902179718017575	-18.137903213500977	-1.3501556941441126	-1.2955645152500697	14	14	-101.28121376037598	-110.70901489257812	-1.5345638448541814	-1.7032156137319712	66	65	True	0.737598022993873	True
4123	only	you look better today. How did your test go?__eou__much better than it did yesterday.__eou__did you pass?	I not only passed my test, but I aced it! I'm so happy!	I not passed my test, but I aced it! I'm so happy!	you should be. You worked really hard last night preparing for it.	-33.199740409851074	-47.81645584106445	-1.443466974341351	-2.1734752655029297	23	22	-22.035579681396484	-24.52853775024414	-1.2241988711886935	-1.36269654168023	18	18	-126.57234859466551	-143.6868019104004	-1.6437967349956562	-1.8906158146105316	77	76	True	0.7300082911615786	True
5268	only	I'm really curious. What is it like doing housework all day for a living?	It's a little like being a mom, only I get paid for it!	It's a little like being a mom, I get paid for it!	I still think that it is a bitstrange that you like to do that kind of thing. Most women would rather hire a maid.	-29.81772994995117	-37.9665641784668	-1.4198919023786272	-1.89832820892334	21	20	-83.8980827331543	-84.51242065429688	-2.621815085411072	-2.6410131454467773	32	32	-169.48275756835938	-178.23958206176758	-2.2597701009114584	-2.408643000834697	75	74	True	0.4784363065447128	True
5551	only	Did you watch the final last night? My favorite singer won!	Oh, I love him too. He not only sings well but also shows perseverance when he encounters difficulties in the contest.	Oh, I love him too. He not sings well but also shows perseverance when he encounters difficulties in the contest.	Yeah, he got booted after his initial performance in the audition, but he did not give up. He then tried at another two auditions.	-59.98443984985352	-75.13299942016602	-2.0684289603397765	-2.683321407863072	29	28	-83.92356359958649	-83.37158918380737	-2.468340105870191	-2.4521055642296288	34	34	-188.04028379917145	-202.5438132286072	-2.350503547489643	-2.563845737070977	80	79	True	0.6148924475232955	True
5749	only	Do you have brothers and sisters?	No, I am the only child in my family.	No, I am the child in my family.	Oh, I have an elder sister. She is married .. Her husband is a businessman.	-8.077159881591797	-15.652835845947266	-0.5048224925994873	-1.0435223897298178	16	15	-41.47290229797363	-43.96556091308594	-1.885131922635165	-1.998434586958452	22	22	-73.0404224395752	-83.10999298095703	-1.4906208661137794	-1.7314581871032717	49	48	True	0.5386998971303305	True
5953	only	Do you like traveling?__eou__Yes, I've just come back from Scotland.__eou__Where did you visit?	I only had time to visit Edinburgh.	I had time to visit Edinburgh.	How did you like it?	-12.936948776245115	-17.639097213745117	-0.9951499058650092	-1.469924767812093	13	12	-6.259244918823242	-6.099145889282227	-0.6259244918823242	-0.6099145889282227	10	10	-67.05329418182373	-71.60217952728271	-1.1763735821372583	-1.278610348701477	57	56	True	0.47477486194708385	True
8299	only	Man, they take a lot of our paycheck.__eou__Yeah, the government really takes a bit, doesn't it?	Seriously. The only tax I don't mind them taking is social security. It's only a few dollars every paycheck.	Seriously. The tax I don't mind them taking is social security. It's a few dollars every paycheck.	Yeah, I don't mind it either. We’ll both end up rich slobs and not need it, but what if we do, you know?	-59.63013935089111	-68.82205867767334	-2.056211701754866	-2.5489651362101235	29	27	-84.12694358825684	-85.34753513336182	-2.403626959664481	-2.4385010038103374	35	35	-214.30634307861328	-224.6936445236206	-2.2323577404022217	-2.390357920464049	96	94	True	0.49275343445525754	True
9690	only	I hate carrying so much cash with me.__eou__Don't you have a credit card?	I have one but it can only be used in my country.	I have one but it can be used in my country.	Why don't you change the cash to traveler's checks? It's much more convenient and safer. When you are abroad, you can cash them.	-20.58683586120605	-28.218244552612305	-1.1437131034003365	-1.6598967383889591	18	17	-58.88958740234375	-60.43173408508301	-1.732046688304228	-1.777403943678912	34	34	-123.98266792297365	-133.21294975280762	-1.589521383627867	-1.730038308478021	78	77	True	0.5161836349886226	True
