source_dataset	dataset_role	source_row_index	id	word	subset	context	w_word	wo_word	followup_metadata_only	with_without_diff	generated_from	generated_from_text	sampling_strategy	prompt_mode	top_p	temperature	base_seed	condition_seed	samples_requested	unique_samples_obtained	max_sample_draws	sample_draw	unique_rank	response	normalized_response	raw_generation	log_prob_given_P	log_prob_given_P_prime	log_prob_given_P_per_token	log_prob_given_P_prime_per_token	token_count_given_P	token_count_given_P_prime	own_log_prob	other_log_prob	own_log_prob_per_token	other_log_prob_per_token	own_context_log_prob_advantage	own_context_log_prob_advantage_per_token	own_context_win	include_context
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	base	0.9	1.0	20260416	1524864276	50	50	200	1	1	I think it was perfect!	i think it was perfect!	 I think it was perfect!\nSpeaker 2: Perfect?! It was my least favorite class of the semester.\nSpeaker 1: So, where are you going?\nSpeaker 2: My dorm.\nSpeaker 1: Isn’t that close to our class?\nSpeaker 2: No. Why	-17.44140625	-16.939453125	-2.9069010416666665	-2.8232421875	6	6	-17.44140625	-16.939453125	-2.9069010416666665	-2.8232421875	-0.501953125	-0.0836588541666665	False	True
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	base	0.9	1.0	20260416	1524864276	50	50	200	2	2	I don’t get it. You seem to be one of those people who loves health and wellness so much.	i don’t get it. you seem to be one of those people who loves health and wellness so much.	 I don’t get it. You seem to be one of those people who loves health and wellness so much.\nSpeaker 2:  I can’t handle it.\nSpeaker 1:  You know, being sweaty and stinky is sort of the point.\nSpeaker 2:  Oh my god.	-36.95444488525391	-39.49540710449219	-1.6797474947842683	-1.7952457774769175	22	22	-36.95444488525391	-39.49540710449219	-1.6797474947842683	-1.7952457774769175	2.540962219238281	0.1154982826926491	True	True
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	base	0.9	1.0	20260416	1524864276	50	50	200	3	3	Is this your first time working out?	is this your first time working out?	 Is this your first time working out?\nSpeaker 2: Yes, it is. Why? \nSpeaker 1: I can see why you don’t like working out. I can see it’s difficult for you to get used to working out. You must find it very tough.\nSpeaker 2: Wow	-14.620964050292969	-14.819686889648438	-1.827620506286621	-1.852460861206055	8	8	-14.620964050292969	-14.819686889648438	-1.827620506286621	-1.852460861206055	0.1987228393554687	0.0248403549194335	True	True
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	base	0.9	1.0	20260416	1524864276	50	50	200	4	4	为什么，如果我喜欢……？！	为什么，如果我喜欢……？！	为什么，如果我喜欢……？！\nSpeaker 2: 如果……？如果这就能让我减重，那我就不知道这帮兔子是不是觉得你的白毛很亮了！\nSpeaker 1: 哈！我只是因为我的课程很受欢迎……\nSpeaker 2: 真的吗？你八成不知道吧	-38.8984375	-37.67578125	-5.556919642857143	-5.382254464285714	7	7	-38.8984375	-37.67578125	-5.556919642857143	-5.382254464285714	-1.22265625	-0.1746651785714288	False	True
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	base	0.9	1.0	20260416	1524864276	50	50	200	5	5	Well, I’m just going to leave you here with your 40 pounds of fat and go workout all over campus with my hot instructor.	well, i’m just going to leave you here with your 40 pounds of fat and go workout all over campus with my hot instructor.	 Well, I’m just going to leave you here with your 40 pounds of fat and go workout all over campus with my hot instructor.\nSpeaker 2: Stop it. Stop it. I’m sorry!\nSpeaker 1: It’s totally worth it!\nSpeaker 2: Oh my gosh	-58.54315185546875	-58.7900390625	-2.0187293743265085	-2.027242726293104	29	29	-58.54315185546875	-58.7900390625	-2.0187293743265085	-2.027242726293104	0.24688720703125	0.0085133519665951	True	True
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	base	0.9	1.0	20260416	1524864276	50	50	200	6	6	(Sighs) Okay, fine.	(sighs) okay, fine.	 (Sighs) Okay, fine.\n\nSpeaker 1: Hey, I’m dying of thirst here. You still want to make out?\nSpeaker 2: …\nSpeaker 1: What?\nSpeaker 2: I said, sure.\nSpeaker 1: Why the cold shoulder? You	-16.3642578125	-16.15185546875	-1.818250868055556	-1.7946506076388888	9	9	-16.3642578125	-16.15185546875	-1.818250868055556	-1.7946506076388888	-0.21240234375	-0.0236002604166667	False	True
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	base	0.9	1.0	20260416	1524864276	50	50	200	7	7	But isn’t it better than staying at home with your girlfriend who thinks it’s better to sleep with you than play with you?	but isn’t it better than staying at home with your girlfriend who thinks it’s better to sleep with you than play with you?	 But isn’t it better than staying at home with your girlfriend who thinks it’s better to sleep with you than play with you?\nSpeaker 2:  You’re the one who said that. Your girlfriend could use a break. Let me suggest a workout, we can visit some friends, why don’t you stay	-58.77336502075195	-59.03236389160156	-2.2605140392596903	-2.270475534292368	26	26	-58.77336502075195	-59.03236389160156	-2.2605140392596903	-2.270475534292368	0.2589988708496094	0.0099614950326776	True	True
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	base	0.9	1.0	20260416	1524864276	50	50	200	8	8	嗯	嗯	嗯\nSpeaker 2: Are you mocking me? I think you are!\nSpeaker 1: Sorry, I was just trying to be nice. I’m also not that into it.\nSpeaker 2: Alright. Good to know you’re not that into it either. So, are we going to change	-5.25	-4.96875	-5.25	-4.96875	1	1	-5.25	-4.96875	-5.25	-4.96875	-0.28125	-0.28125	False	True
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	base	0.9	1.0	20260416	1524864276	50	50	200	9	9	Hold on a second! You don’t have to follow me to do cardio. You can just do the 10-20 minute sets.	hold on a second! you don’t have to follow me to do cardio. you can just do the 10-20 minute sets.	 Hold on a second! You don’t have to follow me to do cardio. You can just do the 10-20 minute sets.\nSpeaker 2: I’m not concerned about doing a set of 10 or 20 exercises. I’m not joining the exercise team because I want to	-70.35873413085938	-71.66086959838867	-2.3452911376953125	-2.388695653279622	30	30	-70.35873413085938	-71.66086959838867	-2.3452911376953125	-2.388695653279622	1.3021354675292969	0.0434045155843096	True	True
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	base	0.9	1.0	20260416	1524864276	50	50	200	10	10	Well, well, well. Looks like it’s time for class, Mrs. Lavon.	well, well, well. looks like it’s time for class, mrs. lavon.	 Well, well, well. Looks like it’s time for class, Mrs. Lavon.\nSpeaker 3:  Oh, it’s my turn now.\nSpeaker 4:  Look, don’t listen to them. We’re more than a pot belly, Mrs. Lavon. We’re also raising	-44.5265007019043	-43.90983963012695	-2.343500036942332	-2.311044191059313	19	19	-44.5265007019043	-43.90983963012695	-2.343500036942332	-2.311044191059313	-0.6166610717773438	-0.0324558458830184	False	True
