source_row_index	id	particle	fold_id
60	only_315	only	0
61	only_491	only	0
64	only_660	only	0
65	only_687	only	0
66	only_745	only	0
67	only_794	only	0
69	only_966	only	0
71	only_1142	only	0
72	only_1272	only	0
73	only_1368	only	0
75	only_1493	only	0
76	only_1538	only	0
78	only_1579	only	0
80	only_1624	only	0
81	only_1817	only	0
84	only_2032	only	0
85	only_2038	only	0
93	only_2682	only	0
96	only_2903	only	0
98	only_3302	only	0
99	only_3332	only	0
101	only_3385	only	0
102	only_3392	only	0
106	only_3483	only	0
108	only_3568	only	0
109	only_3570	only	0
110	only_3674	only	0
116	only_3930	only	0
117	only_3999	only	0
62	only_501	only	1
63	only_649	only	1
68	only_965	only	1
70	only_1038	only	1
74	only_1446	only	1
77	only_1577	only	1
79	only_1602	only	1
82	only_1888	only	1
86	only_2118	only	1
87	only_2232	only	1
89	only_2405	only	1
90	only_2470	only	1
91	only_2627	only	1
92	only_2678	only	1
95	only_2703	only	1
97	only_3267	only	1
100	only_3340	only	1
103	only_3393	only	1
104	only_3394	only	1
105	only_3465	only	1
107	only_3484	only	1
111	only_3779	only	1
112	only_3792	only	1
113	only_3843	only	1
114	only_3867	only	1
115	only_3896	only	1
118	only_4003	only	1
119	only_4172	only	1
