id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	observer_mode	removal_log_prob_delta_per_token	removal_upper_iqr_outlier
5	just	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m not into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	-187.76627612113953	-187.21482348442078	-4.2674153663895344	-4.353833104288856	44	43	-139.99960494041443	-136.2255141735077	-3.4999901235103605	-3.405637854337692	40	40	-608.6039811372757	-604.2776137590408	-3.9778037982828476	-3.9755106168357948	153	152	True	False	0.08641773789932117	False
16	just	I'm looking for a white purse as a gift. Could you show what you have in stock?	You are in luck. We just receive a shipment of several different styles of white purses.	You are in luck. We receive a shipment of several different styles of white purses.	They must be popular again this season.	-121.88691353797913	-121.68809163570404	-4.875476541519165	-5.070337151487668	25	24	-76.98423767089844	-79.63601684570312	-5.498874119349888	-5.688286917550223	14	14	-269.9109151363373	-272.34633243083954	-4.089559320247535	-4.18994357585907	66	65	True	False	0.19486060996850263	False
35	just	I'm looking for some black pumps to go with my evening gown. Could you show me what you have?__eou__Sure, we have several different styles you may choose. How high of a heel do you want?__eou__Not to high, maybe an inch or an inch in the half would be the best.	In that case, I might have just the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell just by looking at it that it was superbly made.	In that case, I might have the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell by looking at it that it was superbly made.	Those are beautiful. Do you have any in a size six?	-228.4747495651245	-234.45081961154938	-3.8724533824597374	-4.113172273886831	59	57	-39.840667724609375	-40.32904052734375	-2.096877248663651	-2.1225810803865133	19	19	-585.0910938978195	-591.4712314605713	-3.7266948655912073	-3.8159434287778793	157	155	True	False	0.24071889142709368	False
36	just	Are you OK?	I'm fine. I'm just so touched by the sad story.	I'm fine. I'm so touched by the sad story.	So I can say now that you must have enjoyed the opera. Which scene is your favorite?	-99.15533447265625	-101.27752685546875	-4.957766723632813	-5.330396150287829	20	19	-103.4287109375	-103.22625732421875	-4.1371484375	-4.12905029296875	25	25	-224.94705200195312	-226.87179565429688	-4.01691164289202	-4.124941739169034	56	55	True	False	0.3726294266550161	False
37	just	Did anyone call?	Just Mr. White.	Mr. White.	What did he want?	-79.79458618164062	-74.29986572265625	-7.254053289240057	-7.429986572265625	11	10	-30.523666381835938	-31.887908935546875	-2.7748787619850854	-2.8989008123224433	11	11	-138.610107421875	-134.47962951660156	-4.200306285511363	-4.202488422393799	33	32	True	False	0.175933283025568	False
66	just	Ah, Oh! Are you hurt?	I don't think so. I'm just shaken up a little.	I don't think so. I'm shaken up a little.	Maybe I'd better call an ambulance.	-70.95913314819336	-81.62000274658203	-3.547956657409668	-4.29578961824116	20	19	-50.24760103225708	-49.07690632343292	-3.5891143594469344	-3.505493308816637	14	14	-164.97231340408325	-174.43862736225128	-3.3667819062057807	-3.6341380700469017	49	48	True	False	0.7478329608314915	False
77	just	May I please speak to Tom?__eou__Tom has gone to lunch.	I'll just try him again.	I'll try him again.	Do you want me to have him give you a call?	-81.26771545410156	-80.68666076660156	-6.251362727238582	-6.723888397216797	13	12	-45.84215188026428	-44.344077944755554	-2.546786215570238	-2.463559885819753	18	18	-236.8218424320221	-234.74271380901337	-4.228961472000394	-4.268049341982061	56	55	True	False	0.4725256699782152	False
95	just	Jessie, I’m afraid I can’t come back home for dinner tonight.__eou__Not back home for dinner again? That’s the third time this week!	I’m sorry. Our company has just opened. There are always too many things to handle. You know that.	I’m sorry. Our company has opened. There are always too many things to handle. You know that.	You don’t have to explain. Suit yourself.	-141.91839599609375	-142.40716552734375	-4.89373779296875	-5.085970197405134	29	28	-63.86761975288391	-63.72449588775635	-3.9917262345552444	-3.9827809929847717	16	16	-359.7101604938507	-360.04655933380127	-4.087615460157394	-4.138466199239095	88	87	True	False	0.19223240443638367	False
147	just	How can I get to Lakeside Park?	Take the No. 7 bus. There's a bus stop just over there.	Take the No. 7 bus. There's a bus stop over there.	Will it take me straight there?	-112.35890078544617	-111.60108828544617	-4.885169599367225	-5.072776740247553	23	22	-52.5928955078125	-51.70318603515625	-4.0456073467548075	-3.977168156550481	13	13	-204.89639163017273	-203.24886965751648	-3.940315223657168	-3.9852719540689505	52	51	True	False	0.1876071408803286	False
150	just	Hello. Excuse me. Do you know if there's a Commercial Bank around here?__eou__Yes, go straight along Beijing Road and turn right.__eou__Straight on, and turn right. Is it far?	No, it's just a couple of minutes.	No, it's a couple of minutes.	Thanks very much.	-55.13469862937927	-64.14218497276306	-3.4459186643362045	-4.276145664850871	16	15	-43.60388505458832	-42.37866544723511	-4.360388505458832	-4.237866544723511	10	10	-331.5707116127014	-339.3517824411392	-3.900831901325899	-4.039902171918324	85	84	True	False	0.8302270005146664	False
