particle	component	position_label	corruption_mode	eval_mode	target_type	top_k	site_set_type	effect_score_mean	effect_score_mean_ci_low	effect_score_mean_ci_high	method	run_label	run_label_pretty	run_dir	effect_score_original_mean	effect_score_original_ci_low	effect_score_original_ci_high	metric_sign_convention
not	attn	utterance_final_lexical	prompt_without	necessity	generated	1	localized	-0.0021650166769045	-0.0030398402803213	-0.0012901930734877	component	instruct	Instruct	localization/results/component_patch_runs/20260729_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.0021650166769045	0.0012901930734877	0.0030398402803213	patched_minus_baseline
not	attn	utterance_final_lexical	prompt_without	necessity	generated	1	random_mean	0.0001172910736356	-0.0004109373225026	0.0006455194697739	component	instruct	Instruct	localization/results/component_patch_runs/20260729_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	-0.0001172910736356	-0.0006455194697739	0.0004109373225026	patched_minus_baseline
not	attn	utterance_final_lexical	prompt_without	necessity	generated	3	localized	-0.008595355690233	-0.0109209844461219	-0.006269726934344	component	instruct	Instruct	localization/results/component_patch_runs/20260729_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.008595355690233	0.006269726934344	0.0109209844461219	patched_minus_baseline
not	attn	utterance_final_lexical	prompt_without	necessity	generated	3	random_mean	-0.000453753524258	-0.0005899152145032	-0.0003175918340128	component	instruct	Instruct	localization/results/component_patch_runs/20260729_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.000453753524258	0.0003175918340128	0.0005899152145032	patched_minus_baseline
not	attn	utterance_final_lexical	prompt_without	necessity	generated	5	localized	-0.0580840154972083	-0.1000006977956051	-0.0161673331988116	component	instruct	Instruct	localization/results/component_patch_runs/20260729_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.0580840154972083	0.0161673331988116	0.1000006977956051	patched_minus_baseline
not	attn	utterance_final_lexical	prompt_without	necessity	generated	5	random_mean	-5.926622142373438e-05	-0.0001155151564607	-3.0172863867583747e-06	component	instruct	Instruct	localization/results/component_patch_runs/20260729_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	5.926622142373438e-05	3.0172863867583747e-06	0.0001155151564607	patched_minus_baseline
not	attn	utterance_final_lexical	prompt_without	necessity	generated	10	localized	-0.0945224981359754	-0.1223551848638073	-0.0666898114081436	component	instruct	Instruct	localization/results/component_patch_runs/20260729_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.0945224981359754	0.0666898114081436	0.1223551848638073	patched_minus_baseline
not	attn	utterance_final_lexical	prompt_without	necessity	generated	10	random_mean	-0.0009205508540744	-0.0018985106341584	5.740892600961866e-05	component	instruct	Instruct	localization/results/component_patch_runs/20260729_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.0009205508540744	-5.740892600961866e-05	0.0018985106341584	patched_minus_baseline
not	attn	utterance_final_lexical	prompt_without	necessity	gold	1	localized	-0.0021342223027635	-0.0027941869058177	-0.0014742576997093	component	instruct	Instruct	localization/results/component_patch_runs/20260729_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.0021342223027635	0.0014742576997093	0.0027941869058177	patched_minus_baseline
not	attn	utterance_final_lexical	prompt_without	necessity	gold	1	random_mean	-0.0010850989193638	-0.0017170410503599	-0.0004531567883676	component	instruct	Instruct	localization/results/component_patch_runs/20260729_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.0010850989193638	0.0004531567883676	0.0017170410503599	patched_minus_baseline
not	attn	utterance_final_lexical	prompt_without	necessity	gold	3	localized	0.0068858357120142	-0.001754079180553	0.0155257506045814	component	instruct	Instruct	localization/results/component_patch_runs/20260729_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	-0.0068858357120142	-0.0155257506045814	0.001754079180553	patched_minus_baseline
not	attn	utterance_final_lexical	prompt_without	necessity	gold	3	random_mean	0.0001363767093314	-0.0016727502627602	0.0019455036814231	component	instruct	Instruct	localization/results/component_patch_runs/20260729_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	-0.0001363767093314	-0.0019455036814231	0.0016727502627602	patched_minus_baseline
not	attn	utterance_final_lexical	prompt_without	necessity	gold	5	localized	0.0044637804701102	-0.0114598930637887	0.0203874540040093	component	instruct	Instruct	localization/results/component_patch_runs/20260729_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	-0.0044637804701102	-0.0203874540040093	0.0114598930637887	patched_minus_baseline
not	attn	utterance_final_lexical	prompt_without	necessity	gold	5	random_mean	0.0008008417237021	-0.0031197920841244	0.0047214755315288	component	instruct	Instruct	localization/results/component_patch_runs/20260729_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	-0.0008008417237021	-0.0047214755315288	0.0031197920841244	patched_minus_baseline
not	attn	utterance_final_lexical	prompt_without	necessity	gold	10	localized	0.0660976501145735	0.0340898424307303	0.0981054577984167	component	instruct	Instruct	localization/results/component_patch_runs/20260729_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	-0.0660976501145735	-0.0981054577984167	-0.0340898424307303	patched_minus_baseline
not	attn	utterance_final_lexical	prompt_without	necessity	gold	10	random_mean	0.0084222314997733	0.0057733969657889	0.0110710660337576	component	instruct	Instruct	localization/results/component_patch_runs/20260729_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	-0.0084222314997733	-0.0110710660337576	-0.0057733969657889	patched_minus_baseline
not	mlp	utterance_final_lexical	prompt_without	necessity	generated	1	localized	-0.0029984541463214	-0.0051074295943725	-0.0008894786982703	component	instruct	Instruct	localization/results/component_patch_runs/20260729_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.0029984541463214	0.0008894786982703	0.0051074295943725	patched_minus_baseline
not	mlp	utterance_final_lexical	prompt_without	necessity	generated	1	random_mean	-0.000192783652389	-0.0002244084769149	-0.0001611588278632	component	instruct	Instruct	localization/results/component_patch_runs/20260729_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.000192783652389	0.0001611588278632	0.0002244084769149	patched_minus_baseline
not	mlp	utterance_final_lexical	prompt_without	necessity	generated	3	localized	-0.0095711982666128	-0.0133136151878415	-0.0058287813453842	component	instruct	Instruct	localization/results/component_patch_runs/20260729_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.0095711982666128	0.0058287813453842	0.0133136151878415	patched_minus_baseline
not	mlp	utterance_final_lexical	prompt_without	necessity	generated	3	random_mean	-0.0011575726827304	-0.0011735905987638	-0.001141554766697	component	instruct	Instruct	localization/results/component_patch_runs/20260729_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.0011575726827304	0.001141554766697	0.0011735905987638	patched_minus_baseline
not	mlp	utterance_final_lexical	prompt_without	necessity	generated	5	localized	-0.0257443021350893	-0.0422288163001051	-0.0092597879700734	component	instruct	Instruct	localization/results/component_patch_runs/20260729_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.0257443021350893	0.0092597879700734	0.0422288163001051	patched_minus_baseline
not	mlp	utterance_final_lexical	prompt_without	necessity	generated	5	random_mean	-0.0012913100722349	-0.0014516805518471	-0.0011309395926227	component	instruct	Instruct	localization/results/component_patch_runs/20260729_utterance_final_lexical_Meta-Llama-3-8B-Instruct_not_just_only_full/not	0.0012913100722349	0.0011309395926227	0.0014516805518471	patched_minus_baseline
