id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	removal_log_prob_delta_per_token	removal_upper_iqr_outlier
3	not	Would you mind waiting a while?__eou__Well, how long will it be?	I'm not sure. But I'll get a table ready as fast as I can.	I'm sure. But I'll get a table ready as fast as I can.	OK. We'll wait.	-31.57976722717285	-43.033151626586914	-1.3730333577031675	-1.9560523466630415	23	22	-8.468335151672363	-8.710933685302734	-0.8468335151672364	-0.8710933685302734	10	10	-79.42257404327393	-91.10528182983398	-1.3933784919872618	-1.6268800326756068	57	56	True	0.583018988959874	False
5	not	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	-111.28628969192505	-115.88174867630005	-2.5880532486494197	-2.75908925419762	43	42	-74.86884307861328	-74.66324424743652	-1.9702327125950863	-1.9648222170378034	38	38	-342.1600728034973	-346.53381967544556	-2.3597246400241194	-2.4064848588572607	145	144	True	0.17103600554820053	False
7	not	Can you manage chopsticks?	Why not? See.	Why? See.	Good mastery. How do you like our Chinese food?	-21.625791549682617	-24.749570846557617	-2.162579154968262	-2.7499523162841797	10	9	-30.664396286010742	-36.464107513427734	-2.0442930857340493	-2.4309405008951823	15	15	-87.93119812011719	-96.86421012878418	-2.5123199462890624	-2.8489473567289463	35	34	True	0.5873731613159179	False
15	not	Is everything to your satisfaction?	No, the steak was recommended, but it is not very fresh.	No, the steak was recommended, but it is very fresh.	Oh! Sorry to hear that. This is quite unusual as we have steak from the market every day.	-40.4551944732666	-44.3734073638916	-2.1292207617508736	-2.465189297993978	19	18	-51.14106369018555	-54.94900703430176	-2.045642547607422	-2.1979602813720702	25	25	-116.17140197753906	-123.90207481384277	-2.151322258843316	-2.3377749964875996	54	53	True	0.3359685362431044	False
35	not	I'm looking for some black pumps to go with my evening gown. Could you show me what you have?__eou__Sure, we have several different styles you may choose. How high of a heel do you want?	Not to high, maybe an inch or an inch in the half would be the best.	To high, maybe an inch or an inch in the half would be the best.	In that case, I might have just the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell just by looking at it that it was superbly made.	-47.064940452575684	-55.25218868255615	-2.046301758807638	-2.5114631219343706	23	22	-108.44693279266357	-109.53001022338867	-1.9025777682923435	-1.921579126726117	57	57	-251.93946266174316	-261.20552349090576	-1.9232020050514744	-2.009273257622352	131	130	True	0.4651613631267324	False
71	not	Is Tom in?__eou__Wrong number.__eou__Isn't this Li's residence?	No, it is not.	No, it is.	Oh, I'm sorry.	-6.05565071105957	-7.15806770324707	-0.5505137010054155	-0.7158067703247071	11	10	-5.375421047210693	-4.840096950531006	-0.5375421047210693	-0.4840096950531006	10	10	-77.0418848991394	-77.60897779464722	-1.5722833652885593	-1.6168537040551503	49	48	True	0.16529306931929155	False
81	not	I'm trying to reach Robert please.	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?	-9.440753936767578	-16.46829605102539	-0.7262118412898138	-1.372358004252116	13	12	-8.985574722290039	-10.870058059692383	-0.8168704292990945	-0.9881870963356711	11	11	-56.50556564331055	-65.45016860961914	-1.5695990456475153	-1.8700048174176898	36	35	True	0.6461461629623022	False
83	not	Can you connect me to Mary. Smith Hotel room?	Mrs. Smith has not checked in yet.	Mrs. Smith has checked in yet.	Can you leave a message for her to call her office?	-17.78762435913086	-23.68874740600586	-1.2705445970807756	-1.8222113389235277	14	13	-25.574417114257812	-27.515979766845703	-1.5984010696411133	-1.7197487354278564	16	16	-106.61873245239258	-114.44994354248047	-2.369305165608724	-2.60113508051092	45	44	True	0.5516667418427521	False
95	not	Jessie, I’m afraid I can’t come back home for dinner tonight.	Not back home for dinner again? That’s the third time this week!	Back home for dinner again? That’s the third time this week!	I’m sorry. Our company has just opened. There are always too many things to handle. You know that.	-30.942604064941406	-31.52985382080078	-1.5471302032470704	-1.6594659905684621	20	19	-55.80307960510254	-56.10375785827637	-2.0667807261149087	-2.0779169577139394	27	27	-131.81497192382812	-132.71516799926758	-1.997196544300426	-2.0417718153733473	66	65	True	0.11233578732139171	False
149	not	May I speak to Marry?	Marry is not in right now, she went shopping with her mum.	Marry is in right now, she went shopping with her mum.	Will it be too late if I call around ten this evening?	-29.550207138061523	-42.24549865722656	-1.477510356903076	-2.2234472977487663	20	19	-35.26069259643555	-34.92716979980469	-2.0741583880256202	-2.054539399988511	17	17	-90.01685523986816	-102.37469291687012	-1.8753511508305867	-2.1781849556780877	48	47	True	0.7459369408456902	False
193	not	Peter, wash your hands first, and then have some dessert.__eou__Mom, can I have some ice cream?	Not today, Honey. Don't eat too much ice cream.	Today, Honey. Don't eat too much ice cream.	Mom, can I have one more piece of cake?	-30.824031829833984	-34.3017463684082	-1.7124462127685547	-2.017749786376953	18	17	-14.897995948791504	-14.187512397766113	-0.9931997299194336	-0.9458341598510742	15	15	-111.47417163848877	-114.22740650177002	-1.741783931851387	-1.813133436536032	64	63	True	0.30530357360839844	False
226	not	Do you have any plan to buy a house in this city?__eou__Absolutely we need a house here. But what makes me upset is the prices in this city.	Our monthly salary can not buy one square meter of the house here.	Our monthly salary can buy one square meter of the house here.	It is depressing to hear the price goes higher and higher.	-42.96004867553711	-39.22829818725586	-2.2610551934493217	-2.179349899291992	19	18	-33.00417137145996	-33.270721435546875	-2.0627607107162476	-2.0794200897216797	16	16	-163.4136505126953	-159.92739295959473	-2.1501796120091488	-2.132365239461263	76	75	True	-0.08170529415732952	False
235	not	Hello, I'm sorry for calling this late. May I speak to Peter?	I'm sorry. He's not in right now.	I'm sorry. He's in right now.	When is he coming back?	-14.890443801879883	-21.256135940551758	-0.9306527376174927	-1.4170757293701173	16	15	-7.718940734863281	-10.459779739379883	-0.7718940734863281	-1.0459779739379882	10	10	-62.858652114868164	-71.96518325805664	-1.3664924372797427	-1.599226294623481	46	45	True	0.4864229917526246	False
244	not	I would like to buy a black suit.__eou__Do you have any special brand in your mind?__eou__No, I never wear suit in my everyday life. I just want one to take part in my sister’s wedding ceremony.	I see. Have a look at this one. It’s very cheap because it’s not very durable.	I see. Have a look at this one. It’s very cheap because it’s very durable.	but it looks good. Let me try it on.	-46.53244209289551	-46.65841865539551	-1.7897093112652118	-1.8663367462158202	26	25	-24.39873695373535	-26.609376907348633	-1.6265824635823567	-1.7739584604899088	15	15	-178.30896186828613	-180.61664962768555	-1.8011006249321833	-1.8430270370171995	99	98	True	0.07662743495060842	False
249	not	Do you carrying fresh fish?__eou__Yes we do. Check the meat department. There is a fish counter there too.	I already looked, but did not see anything.	I already looked, but did see anything.	Let me show you.	-28.47709846496582	-33.50151252746582	-1.8984732309977213	-2.392965180533273	15	14	-5.859531402587891	-5.861110687255859	-0.6510590447319878	-0.6512345208062066	9	9	-122.90426635742188	-127.9764347076416	-2.194719042096819	-2.3268442674116656	56	55	True	0.49449194953555176	False
272	not	Where's the nearest tailor's?__eou__There is one just around the corner.__eou__The jacket is tight in the shoulders and long in the sleeve. What about the price there?	The price is moderate, but their work is sometimes not satisfactory.	The price is moderate, but their work is sometimes satisfactory.	Is there a better tailor's around here?	-32.734663009643555	-36.629926681518555	-1.8185923894246419	-2.1547015695010914	18	17	-13.778921127319336	-13.349220275878906	-1.059917009793795	-1.0268630981445312	13	13	-143.13250923156738	-146.5988655090332	-1.8118039143236377	-1.879472634731195	79	78	True	0.3361091800764495	False
279	not	Can I also take the MET to get there?__eou__Yeah sure, it's much quicker. Do you know how?__eou__No, can I trouble you to lend me a hand?	Ok, not a problem. Let's go to the station.	Ok, a problem. Let's go to the station.	You have to buy a ticket first. You want to go to Shi Da, right?	-21.683128356933594	-33.46003532409668	-1.2046182420518663	-1.968237372005687	18	17	-48.33835792541504	-48.299394607543945	-2.1971980875188653	-2.195427027615634	22	22	-185.05669403076172	-196.80210876464844	-2.0792886969748507	-2.236387599598278	89	88	True	0.7636191299538206	False
288	not	Are you going grocery shopping today?__eou__I am, as a matter of fact. Do you have any special requests?	Yes, please get some white bread, thick cut, some ham, not the processed stuff, some gouda cheese, some galla apples and...	Yes, please get some white bread, thick cut, some ham, the processed stuff, some gouda cheese, some galla apples and...	Wait. This is sounding like a major list. Why don't you just come with me?	-93.69396829605103	-98.1191520690918	-2.602610230445862	-2.8034043448311943	36	35	-43.983397483825684	-44.70857620239258	-1.9123216297315515	-1.94385113923446	23	23	-186.77847957611084	-191.8906478881836	-2.052510764572647	-2.1321183098687064	91	90	True	0.20079411438533246	False
302	not	Would you like to have some icecream? I've got a variety of flavors for you to choose from. I've got strawberry, peach, chocolate, coffee, vanilla and praline.__eou__Wow! So many choices you have! I wish I could, but I just can't. I'm on a diet to lose weight.__eou__Come on, just a bite. It doesn't really hurt to have just a bite.	I'd better not. Please don't tempt me. Please!	I'd better. Please don't tempt me. Please!	Gee! You are really strong-willed.	-29.9896240234375	-36.13718795776367	-1.6660902235243056	-2.1257169386919808	18	17	-22.92487144470215	-24.077380180358887	-1.763451649592473	-1.8521061677199144	13	13	-216.67777061462402	-223.94236660003662	-1.679672640423442	-1.749549739062786	129	128	True	0.45962671516767517	False
309	not	Would you like a piece of birthday cake?__eou__No, thanks, I'll pass. It looks very tempting though.__eou__I thought strawberry cake with cream cheese frosting was your favorite?	It is. I'm on a diet and strawberry cream cheese cake is not on it.	It is. I'm on a diet and strawberry cream cheese cake is on it.	A diet? What for? You are in great shape.	-33.00451850891113	-34.22754096984863	-1.4349790656048318	-1.5557973168113015	23	22	-23.855095863342285	-24.149399757385254	-1.4909434914588928	-1.5093374848365784	16	16	-142.78124713897705	-144.29808521270752	-1.62251417203383	-1.6585986806058335	88	87	True	0.12081825120646972	False
319	not	Did you ever buy food from the snack stands near our hotel?__eou__Yes, several times.__eou__How do you like them?	Not bad.	Bad.	I always have the temptation to eat something there.	-6.051123142242432	-9.248877048492432	-0.756390392780304	-1.321268149784633	8	7	-28.584930419921875	-30.185940742492676	-2.041780744280134	-2.1561386244637624	14	14	-105.43907260894775	-110.2140212059021	-1.757317876815796	-1.8680342577271543	60	59	True	0.5648777570043291	False
320	not	It is my first time coming to China. I want to buy something unique of China to my friends as gifts.__eou__We have a great variety of Chinese antiques and porcelain. Do you like them?	Yes, I love them, but they are fragile. It is not convenient to take them.	Yes, I love them, but they are fragile. It is convenient to take them.	You are right. How about paintings and embroidered handkerchiefs?	-32.11048126220703	-38.83240509033203	-1.3379367192586262	-1.6883654387100884	24	23	-29.699729919433594	-30.6210994720459	-1.6499849955240886	-1.7011721928914387	18	18	-157.72537302970886	-165.36476016044617	-1.7332458574693281	-1.8373862240049574	91	90	True	0.35042871945146215	False
327	not	Why don't you sit down and relax, darling?__eou__I don't want to.__eou__Well, come over and talk to me then.	Certainly not.	Certainly.	May I turn on the TV then?	-10.522148132324219	-12.514579772949219	-1.3152685165405273	-1.787797110421317	8	7	-19.47405242919922	-19.715288162231445	-1.6228377024332683	-1.6429406801859539	12	12	-96.34417533874512	-98.64352512359619	-1.5794127104712314	-1.6440587520599366	61	60	True	0.4725285938807897	False
333	not	Dad, what are we doing tonight for fun?__eou__We're going over to Mrs. Smith's place to help her with her yard work.	Yard work? I said' what are we doing for fun', not work!	Yard work? I said' what are we doing for fun', work!	It will be fun. And besides, you'll be in the best company.	-44.62081336975098	-53.29024696350098	-2.1248006366548085	-2.664512348175049	21	20	-34.97760581970215	-34.27776050567627	-1.7488802909851073	-1.7138880252838136	20	20	-145.05433082580566	-153.03372287750244	-1.8596709080231495	-1.9874509464610706	78	77	True	0.5397117115202406	False
355	not	( A stranger stops to help ) Everything OK?	No! My tour bus got a speeding ticket not ten minutes ago. Now my engine is on fire!	No! My tour bus got a speeding ticket ten minutes ago. Now my engine is on fire!	I think that's just steam. Your engine's overheated.	-70.52363586425781	-66.25679016113281	-2.712447533240685	-2.6502716064453127	26	25	-39.135549545288086	-39.58022689819336	-2.3020911497228287	-2.3282486410701977	17	17	-166.42033576965332	-162.60143280029297	-2.9196550135026897	-2.9035970142909457	57	56	True	-0.062175926795372316	False
360	not	Chinese tea is famous all over the world. I want to buy several boxes.__eou__There are various kinds of tea in China. It depends on the taste and effect.	Well, I do not know Chinese tea at all.	Well, I do know Chinese tea at all.	This is green tea, you can drink it in summer. It can relieve summer-heat and it is good for maintaining your lungs.	-23.46295928955078	-31.243724822998047	-1.4664349555969238	-2.0829149881998696	16	15	-65.20431900024414	-65.45243263244629	-2.1033651290401334	-2.1113687945950415	31	31	-174.662109375	-182.6895923614502	-1.9624956109550562	-2.0760180950164795	89	88	True	0.6164800326029458	False
367	not	Would you like to see our new shirts?	Sorry, but I'm not really that interested in those things.	Sorry, but I'm really that interested in those things.	Well, they are very nice you know.	-30.960689544677734	-39.388511657714844	-1.720038308037652	-2.316971273983226	18	17	-21.052528381347656	-21.786378860473633	-1.6194252601036658	-1.6758752969595103	13	13	-79.21383666992188	-88.3737735748291	-1.8003144697709517	-2.0552040366239326	44	43	True	0.596932965945574	False
