pool_row_index	pool_rank	source_dataset	dataset_role	source_row_index	id	word	subset	context	w_word	wo_word	followup_metadata_only	with_without_diff	generated_from	generated_from_text	sampling_strategy	prompt_mode	top_p	temperature	base_seed	condition_seed	samples_requested	unique_samples_obtained	max_sample_draws	sample_draw	unique_rank	response	normalized_response	raw_generation	log_prob_given_P	log_prob_given_P_prime	log_prob_given_P_per_token	log_prob_given_P_prime_per_token	token_count_given_P	token_count_given_P_prime	own_log_prob	other_log_prob	own_log_prob_per_token	other_log_prob_per_token	own_context_log_prob_advantage	own_context_log_prob_advantage_per_token	own_context_win	include_context	followup	particle	selection_score_per_token	selection_score_raw	fold_id	prompt_with	prompt_without	next_speaker
0	1	just	discourse_particle	28	12662	just	h	Is everything all right?__eou__Not at all.__eou__What's the problem?	Someone just robbed me.	Someone robbed me.	What do you mean?	0.02180614444	P	Someone just robbed me.	nucleus	base	0.9	1.0	20260416	1931887884	50	50	200	35	33	112?	112?	112?\nSpeaker 2: Yes, please.\nSpeaker 1: I'm on my way. I'm on my way.\nSheltered instruction. The why, what, and how of sheltered instruction.\nImagine this scene. Ms. Jones is teaching her English class to new arrivals from Mexico. She's not	-7.140625	-10.689453125	-3.5703125	-5.3447265625	2	2	-7.140625	-10.689453125	-3.5703125	-5.3447265625	3.548828125	1.7744140625	True	True	What do you mean?	just	1.7744140625	3.548828125	0	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone just robbed me.
Speaker 1: "	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone robbed me.
Speaker 1: "	Speaker 1
1	2	just	discourse_particle	28	12662	just	h	Is everything all right?__eou__Not at all.__eou__What's the problem?	Someone just robbed me.	Someone robbed me.	What do you mean?	0.02180614444	P	Someone just robbed me.	nucleus	base	0.9	1.0	20260416	1931887884	50	50	200	18	17	911 operator.	911 operator.	"911 operator.\nSpeaker 2: Yes. It's 911. It's just happened. A man with a gun just robbed me.\nSpeaker 1: Stay calm. I'm sending a unit now. Tell me exactly what happened.\nSpeaker 2: Someone said, ""Give me your money!"" I took out"	-5.26806640625	-8.6083984375	-1.7560221354166667	-2.869466145833333	3	3	-5.26806640625	-8.6083984375	-1.7560221354166667	-2.869466145833333	3.34033203125	1.1134440104166667	True	True	What do you mean?	just	1.1134440104166667	3.34033203125	0	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone just robbed me.
Speaker 1: "	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone robbed me.
Speaker 1: "	Speaker 1
2	3	just	discourse_particle	28	12662	just	h	Is everything all right?__eou__Not at all.__eou__What's the problem?	Someone just robbed me.	Someone robbed me.	What do you mean?	0.02180614444	P	Someone just robbed me.	nucleus	base	0.9	1.0	20260416	1931887884	50	50	200	5	5	Someone just robbed me.	someone just robbed me.	 Someone just robbed me.\nWe'll solve this together.\nHello and welcome to today's episode. We're going to be looking at using verb phrases to talk about changes of state. So we're going to start with some verbs that talk about a change of state from no longer having something to having it.\nSo you	-11.5677490234375	-16.5068359375	-2.3135498046875	-3.3013671875	5	5	-11.5677490234375	-16.5068359375	-2.3135498046875	-3.3013671875	4.9390869140625	0.9878173828125	True	True	What do you mean?	just	0.9878173828125	4.9390869140625	0	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone just robbed me.
Speaker 1: "	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone robbed me.
Speaker 1: "	Speaker 1
3	4	just	discourse_particle	28	12662	just	h	Is everything all right?__eou__Not at all.__eou__What's the problem?	Someone just robbed me.	Someone robbed me.	What do you mean?	0.02180614444	P	Someone just robbed me.	nucleus	base	0.9	1.0	20260416	1931887884	50	50	200	52	49	Someone just robbed you?	someone just robbed you?	 Someone just robbed you?\nSpeaker 2: Yes, this person is having a white t-shirt with black stripes.\nSpeaker 1: What’s he saying?\nSpeaker 2: I think he’s saying it’s a joke.\nSpeaker 2:  How did you know that?\nSpeaker 1: Because he	-8.0802001953125	-12.947479248046877	-1.6160400390625	-2.589495849609375	5	5	-8.0802001953125	-12.947479248046877	-1.6160400390625	-2.589495849609375	4.867279052734375	0.9734558105468752	True	True	What do you mean?	just	0.9734558105468752	4.867279052734375	0	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone just robbed me.
Speaker 1: "	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone robbed me.
Speaker 1: "	Speaker 1
4	5	just	discourse_particle	2	2485	just	h	I'm looking for some fresh produce that's on sale.	Well, we just got in some mangoes.	Well, we got in some mangoes.	Mangoes. What are they?	0.2148120636	P	Well, we just got in some mangoes.	nucleus	base	0.9	1.0	20260416	1930045820	50	50	200	36	35	"50 pence each. What do you mean by ""just got in?"""	"50 pence each. what do you mean by ""just got in?"""	"50 pence each. What do you mean by ""just got in?""\nSpeaker 2: They arrived this morning. And I can get you three of those for a pound.\nSpeaker 1: You can get me three mangoes for a pound? And where did you get them from?\nSpeaker 2: I"	-28.2666015625	-38.1048583984375	-1.8844401041666667	-2.5403238932291665	15	15	-28.2666015625	-38.1048583984375	-1.8844401041666667	-2.5403238932291665	9.8382568359375	0.6558837890624998	True	True	Mangoes. What are they?	just	0.6558837890624998	9.8382568359375	0	"Speaker 1: I'm looking for some fresh produce that's on sale.
Speaker 2: Well, we just got in some mangoes.
Speaker 1: "	"Speaker 1: I'm looking for some fresh produce that's on sale.
Speaker 2: Well, we got in some mangoes.
Speaker 1: "	Speaker 1
5	6	just	discourse_particle	28	12662	just	h	Is everything all right?__eou__Not at all.__eou__What's the problem?	Someone just robbed me.	Someone robbed me.	What do you mean?	0.02180614444	P	Someone just robbed me.	nucleus	base	0.9	1.0	20260416	1931887884	50	50	200	11	11	911, where's your emergency?	911, where's your emergency?	911, where's your emergency?\nSpeaker 1: Is everything all right?\nSpeaker 2: Not at all.\nSpeaker 1: What's the problem?\nSpeaker 2: Someone just robbed me.\nSpeaker 1: 911, where's your emergency?\nSpeaker 2: My emergency is at 45	-8.292282104492188	-12.678741455078123	-1.1846117292131697	-1.811248779296875	7	7	-8.292282104492188	-12.678741455078123	-1.1846117292131697	-1.811248779296875	4.3864593505859375	0.6266370500837053	True	True	What do you mean?	just	0.6266370500837053	4.3864593505859375	0	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone just robbed me.
Speaker 1: "	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone robbed me.
Speaker 1: "	Speaker 1
6	7	just	discourse_particle	28	12662	just	h	Is everything all right?__eou__Not at all.__eou__What's the problem?	Someone just robbed me.	Someone robbed me.	What do you mean?	0.02180614444	P	Someone just robbed me.	nucleus	base	0.9	1.0	20260416	1931887884	50	50	200	15	15	911 what is your emergency?	911 what is your emergency?	911 what is your emergency?\nSpeaker 1: What is your name?\nSpeaker 1: OK. What's your address?\nSpeaker 1: 911 What's your emergency?\nSpeaker 1: 911 Is there a problem?	-8.4608154296875	-11.9410400390625	-1.4101359049479167	-1.99017333984375	6	6	-8.4608154296875	-11.9410400390625	-1.4101359049479167	-1.99017333984375	3.480224609375	0.5800374348958333	True	True	What do you mean?	just	0.5800374348958333	3.480224609375	0	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone just robbed me.
Speaker 1: "	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone robbed me.
Speaker 1: "	Speaker 1
7	8	just	discourse_particle	28	12662	just	h	Is everything all right?__eou__Not at all.__eou__What's the problem?	Someone just robbed me.	Someone robbed me.	What do you mean?	0.02180614444	P	Someone just robbed me.	nucleus	base	0.9	1.0	20260416	1931887884	50	50	200	33	31	911. Please remain calm.	911. please remain calm.	911. Please remain calm.\nSpeaker 2: 911! I was just robbed!\nSpeaker 2: Yeah, someone took my wallet.\nSpeaker 1: Can you describe them?\nSpeaker 2: Yeah, they were tall and well-dressed.\nSpeaker 1: What were they wearing?\nSpeaker 2	-9.62548828125	-12.935302734375	-1.604248046875	-2.1558837890625	6	6	-9.62548828125	-12.935302734375	-1.604248046875	-2.1558837890625	3.309814453125	0.5516357421875	True	True	What do you mean?	just	0.5516357421875	3.309814453125	0	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone just robbed me.
Speaker 1: "	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone robbed me.
Speaker 1: "	Speaker 1
8	9	just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	base	0.9	1.0	20260416	353299243	50	50	200	46	46	1 No, I'm just browsing. Thanks anyway.	1 no, i'm just browsing. thanks anyway.	1 No, I'm just browsing. Thanks anyway.\nSpeaker 2: No, I'm just browsing. Thanks anyway.\nSpeaker 1: No, I'm just browsing. Thanks anyway.	-12.1463623046875	-18.1973876953125	-1.1042147549715908	-1.6543079723011365	11	11	-12.1463623046875	-18.1973876953125	-1.1042147549715908	-1.6543079723011365	6.051025390625	0.5500932173295456	True	True	Ok.	just	0.5500932173295456	6.051025390625	0	"Speaker 1: Is there something I can help you with?
Speaker 2: No, I'm just browsing. Thanks anyway.
Speaker 1: "	"Speaker 1: Is there something I can help you with?
Speaker 2: No, I'm browsing. Thanks anyway.
Speaker 1: "	Speaker 1
9	10	just	discourse_particle	28	12662	just	h	Is everything all right?__eou__Not at all.__eou__What's the problem?	Someone just robbed me.	Someone robbed me.	What do you mean?	0.02180614444	P	Someone just robbed me.	nucleus	base	0.9	1.0	20260416	1931887884	50	50	200	41	38	911 just received a call about a robbery.	911 just received a call about a robbery.	911 just received a call about a robbery.\nSpeaker 2: I was walking home from the bus station. Someone stole my backpack.\nSpeaker 1: Do you have a description of the thief?\nSpeaker 2: I think it was a teenage boy.\nSpeaker 1: Could you tell us what he was wearing	-13.10009765625	-17.893310546875	-1.45556640625	-1.9881456163194444	9	9	-13.10009765625	-17.893310546875	-1.45556640625	-1.9881456163194444	4.793212890625	0.5325792100694444	True	True	What do you mean?	just	0.5325792100694444	4.793212890625	0	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone just robbed me.
Speaker 1: "	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone robbed me.
Speaker 1: "	Speaker 1
