pool_row_index	pool_rank	source_dataset	dataset_role	source_row_index	id	word	subset	context	w_word	wo_word	followup_metadata_only	with_without_diff	generated_from	generated_from_text	sampling_strategy	prompt_mode	top_p	temperature	base_seed	condition_seed	samples_requested	unique_samples_obtained	max_sample_draws	sample_draw	unique_rank	response	normalized_response	raw_generation	log_prob_given_P	log_prob_given_P_prime	log_prob_given_P_per_token	log_prob_given_P_prime_per_token	token_count_given_P	token_count_given_P_prime	own_log_prob	other_log_prob	own_log_prob_per_token	other_log_prob_per_token	own_context_log_prob_advantage	own_context_log_prob_advantage_per_token	own_context_win	include_context	followup	particle	selection_score_per_token	selection_score_raw	fold_id	prompt_with	prompt_without	next_speaker
0	1	not	meaning_control	27	1686	not	h	Do you like shopping at flea markets?__eou__l love it. There is always something fascinating to discover.__eou__The antiques market here in Paris is very famous. It's called Le marche aux puces de Saint-Ouen.	That's not very easy to say.	That's very easy to say.	It's also known as Les Puces, which means ‘ The Fleas'.	0.04325423856	P	That's not very easy to say.	nucleus	base	0.9	1.0	20260416	527468207	50	50	200	10	10	But easy to find.	but easy to find.	 But easy to find.\nSpeaker 2: We have already found our way here.\nSpeaker 1: Good morning. Did you come by bus?\nSpeaker 2: No, we took the metro. It's a bit farther, but much quicker.\nSpeaker 1: So you're here for the first time	-12.5067138671875	-18.64776611328125	-2.5013427734375	-3.72955322265625	5	5	-12.5067138671875	-18.64776611328125	-2.5013427734375	-3.72955322265625	6.14105224609375	1.22821044921875	True	True	It's also known as Les Puces, which means ‘ The Fleas'.	not	1.22821044921875	6.14105224609375	0	"Speaker 1: Do you like shopping at flea markets?
Speaker 2: l love it. There is always something fascinating to discover.
Speaker 1: The antiques market here in Paris is very famous. It's called Le marche aux puces de Saint-Ouen.
Speaker 2: That's not very easy to say.
Speaker 1: "	"Speaker 1: Do you like shopping at flea markets?
Speaker 2: l love it. There is always something fascinating to discover.
Speaker 1: The antiques market here in Paris is very famous. It's called Le marche aux puces de Saint-Ouen.
Speaker 2: That's very easy to say.
Speaker 1: "	Speaker 1
1	2	not	meaning_control	16	698	not	h	What is your favorite coffee?	Irish coffee is my favorite. But I'm not particular on it.	Irish coffee is my favorite. But I'm particular on it.	All right. Would you make coffee yourself when you are at home?	0.1060156914	P	Irish coffee is my favorite. But I'm not particular on it.	nucleus	base	0.9	1.0	20260416	1591758585	50	50	200	3	3	1 I'm not particular on a chocolate either.	1 i'm not particular on a chocolate either.	"1 I'm not particular on a chocolate either.\nSpeaker 1: We are not particular on chocolate.\nSpeaker 1: We are not partial to a chocolate either.\nIf you'd like to sound like a native English speaker, you need to know how to say ""I don't like this."" There are lots of"	-26.73974609375	-34.2158203125	-2.673974609375	-3.42158203125	10	10	-26.73974609375	-34.2158203125	-2.673974609375	-3.42158203125	7.47607421875	0.7476074218749997	True	True	All right. Would you make coffee yourself when you are at home?	not	0.7476074218749997	7.47607421875	0	"Speaker 1: What is your favorite coffee?
Speaker 2: Irish coffee is my favorite. But I'm not particular on it.
Speaker 1: "	"Speaker 1: What is your favorite coffee?
Speaker 2: Irish coffee is my favorite. But I'm particular on it.
Speaker 1: "	Speaker 1
2	3	not	meaning_control	19	768	not	h	Taxi!__eou__Where will you go, sir?__eou__Friendship Hotel.	OK, it's not far from here.	OK, it's far from here.	I have something important to do, can you fast the speed?	0.0853680608	P	OK, it's not far from here.	nucleus	base	0.9	1.0	20260416	900909903	50	50	200	23	22	Thank you.	thank you.	" Thank you.\nSpeaker 2: Yes, sir.\nCan you feel the yellowing Chinese papers?\nSpeaker 1: I see an old man with white hair.\nSpeaker 2: ""A man is a man"" - is that it?\nSpeaker 1: Yes, that's it. Go on.\nSpeaker"	-5.657234191894531	-7.735595703125	-1.8857447306315105	-2.5785319010416665	3	3	-5.657234191894531	-7.735595703125	-1.8857447306315105	-2.5785319010416665	2.0783615112304688	0.692787170410156	True	True	I have something important to do, can you fast the speed?	not	0.692787170410156	2.0783615112304688	0	"Speaker 1: Taxi!
Speaker 2: Where will you go, sir?
Speaker 1: Friendship Hotel.
Speaker 2: OK, it's not far from here.
Speaker 1: "	"Speaker 1: Taxi!
Speaker 2: Where will you go, sir?
Speaker 1: Friendship Hotel.
Speaker 2: OK, it's far from here.
Speaker 1: "	Speaker 1
3	4	not	meaning_control	10	319	not	h	Did you ever buy food from the snack stands near our hotel?__eou__Yes, several times.__eou__How do you like them?	Not bad.	Bad.	I always have the temptation to eat something there.	0.1614676084	P	Not bad.	nucleus	base	0.9	1.0	20260416	1666514108	50	50	200	41	41	What was your favorite thing?	what was your favorite thing?	　What was your favorite thing?\nSpeaker 2: My favorite is the barbecue chicken sandwich.\nSpeaker 1: Is it very spicy?\nSpeaker 2: Not very.\nSpeaker 1: 　Did you eat other things?\nSpeaker 2: The pork roll was also good.\nSpeaker 1: How about	-13.8121337890625	-17.91650390625	-2.3020222981770835	-2.986083984375	6	6	-13.8121337890625	-17.91650390625	-2.3020222981770835	-2.986083984375	4.1043701171875	0.6840616861979165	True	True	I always have the temptation to eat something there.	not	0.6840616861979165	4.1043701171875	0	"Speaker 1: Did you ever buy food from the snack stands near our hotel?
Speaker 2: Yes, several times.
Speaker 1: How do you like them?
Speaker 2: Not bad.
Speaker 1: "	"Speaker 1: Did you ever buy food from the snack stands near our hotel?
Speaker 2: Yes, several times.
Speaker 1: How do you like them?
Speaker 2: Bad.
Speaker 1: "	Speaker 1
4	5	not	meaning_control	15	686	not	h	Would you like to have a piece of cake?__eou__No, thank you. I'm on a diet.	Why? You're not fat.	Why? You're fat.	I'm considering entering for the beauty contest this summer, so I must have a slender figure.	0.1453006462	P	Why? You're not fat.	nucleus	base	0.9	1.0	20260416	48361103	50	50	200	25	25	That's true. I'm just trying to stay fit and healthy.	that's true. i'm just trying to stay fit and healthy.	 That's true. I'm just trying to stay fit and healthy.\nSpeaker 3: I'm sorry. I have to take this call. I'll call you back in a minute.\nI really appreciate it, but there's really no need to be so polite. You're just doing your job. Anyway	-19.563644409179688	-29.113357543945312	-1.3974031720842637	-2.0795255388532365	14	14	-19.563644409179688	-29.113357543945312	-1.3974031720842637	-2.0795255388532365	9.549713134765623	0.6821223667689731	True	True	I'm considering entering for the beauty contest this summer, so I must have a slender figure.	not	0.6821223667689731	9.549713134765623	1	"Speaker 1: Would you like to have a piece of cake?
Speaker 2: No, thank you. I'm on a diet.
Speaker 1: Why? You're not fat.
Speaker 2: "	"Speaker 1: Would you like to have a piece of cake?
Speaker 2: No, thank you. I'm on a diet.
Speaker 1: Why? You're fat.
Speaker 2: "	Speaker 2
5	6	not	meaning_control	18	729	not	h	Can I help you?	Yes, my brakes are not working well.	Yes, my brakes are working well.	What's wrong with them?	0.2971389928	P	Yes, my brakes are not working well.	nucleus	base	0.9	1.0	20260416	1188272649	50	50	200	17	17	What do you mean by not working well?	what do you mean by not working well?	 What do you mean by not working well?\nSpeaker 2:  They are squeaking a lot and don’t seem to stop the car.\nSpeaker 1:  Do you mean the brakes are not stopping your car?\nSpeaker 2:  Yes, that’s right. Also, it seems	-9.890869140625	-15.885055541992188	-1.0989854600694444	-1.7650061713324652	9	9	-9.890869140625	-15.885055541992188	-1.0989854600694444	-1.7650061713324652	5.994186401367188	0.6660207112630208	True	True	What's wrong with them?	not	0.6660207112630208	5.994186401367188	1	"Speaker 1: Can I help you?
Speaker 2: Yes, my brakes are not working well.
Speaker 1: "	"Speaker 1: Can I help you?
Speaker 2: Yes, my brakes are working well.
Speaker 1: "	Speaker 1
6	7	not	meaning_control	4	81	not	h	I'm trying to reach Robert please.	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?	0.2594282479	P	Robert is not available at the moment.	nucleus	base	0.9	1.0	20260416	2139650515	50	50	200	26	26	Could you take a message?	could you take a message?	 Could you take a message?\nSpeaker 2: No, I can't. I've got too many messages. I'll just try again later.\nSpeaker 1: Okay, I will. Goodbye.\nSpeaker 2: Goodbye.\nTelling the caller that someone is out of the office and that you	-8.186614990234375	-12.061553955078123	-1.3644358317057292	-2.010258992513021	6	6	-8.186614990234375	-12.061553955078123	-1.3644358317057292	-2.010258992513021	3.87493896484375	0.6458231608072917	True	True	What time should I call back?	not	0.6458231608072917	3.87493896484375	0	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is not available at the moment.
Speaker 1: "	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is available at the moment.
Speaker 1: "	Speaker 1
7	8	not	meaning_control	25	1602	not	h	How is your house hunting going?	Not very well. I haven’t found anything within my price range yet.	Very well. I haven’t found anything within my price range yet.	How much are you looking to spend?	0.1576322296	P	Not very well. I haven’t found anything within my price range yet.	nucleus	base	0.9	1.0	20260416	162378315	50	50	200	49	49	8. Not very well.	8. not very well.	8. Not very well.\nKaplan English: Home Sweet Home — What are you looking for in your dream house?	-15.31744384765625	-19.169921875	-2.5529073079427085	-3.1949869791666665	6	6	-15.31744384765625	-19.169921875	-2.5529073079427085	-3.1949869791666665	3.85247802734375	0.642079671223958	True	True	How much are you looking to spend?	not	0.642079671223958	3.85247802734375	1	"Speaker 1: How is your house hunting going?
Speaker 2: Not very well. I haven’t found anything within my price range yet.
Speaker 1: "	"Speaker 1: How is your house hunting going?
Speaker 2: Very well. I haven’t found anything within my price range yet.
Speaker 1: "	Speaker 1
8	9	not	meaning_control	4	81	not	h	I'm trying to reach Robert please.	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?	0.2594282479	P	Robert is not available at the moment.	nucleus	base	0.9	1.0	20260416	2139650515	50	50	200	36	35	Can I leave a message?	can i leave a message?	 Can I leave a message?\nSpeaker 2: You can do that, if you like, but he may take a while to get back to you.\nSpeaker 1: Please ask him to call me when he gets back to the office. The number is 6892549. Thank you.\nSpeaker 2:	-6.801681518554688	-10.565948486328123	-1.1336135864257812	-1.7609914143880208	6	6	-6.801681518554688	-10.565948486328123	-1.1336135864257812	-1.7609914143880208	3.7642669677734375	0.6273778279622395	True	True	What time should I call back?	not	0.6273778279622395	3.7642669677734375	0	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is not available at the moment.
Speaker 1: "	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is available at the moment.
Speaker 1: "	Speaker 1
9	10	not	meaning_control	15	686	not	h	Would you like to have a piece of cake?__eou__No, thank you. I'm on a diet.	Why? You're not fat.	Why? You're fat.	I'm considering entering for the beauty contest this summer, so I must have a slender figure.	0.1453006462	P	Why? You're not fat.	nucleus	base	0.9	1.0	20260416	48361103	50	50	200	36	36	No, but I want to be in shape.	no, but i want to be in shape.	 No, but I want to be in shape.\nSpeaker 1: How can you say that if you don't do any exercises?\nSpeaker 2: That's the kind of diet I'm on. I don't have to do anything.\nBut it doesn't work, I've tried that.\nI have to	-11.38872528076172	-17.645545959472656	-1.1388725280761718	-1.7645545959472655	10	10	-11.38872528076172	-17.645545959472656	-1.1388725280761718	-1.7645545959472655	6.2568206787109375	0.6256820678710939	True	True	I'm considering entering for the beauty contest this summer, so I must have a slender figure.	not	0.6256820678710939	6.2568206787109375	1	"Speaker 1: Would you like to have a piece of cake?
Speaker 2: No, thank you. I'm on a diet.
Speaker 1: Why? You're not fat.
Speaker 2: "	"Speaker 1: Would you like to have a piece of cake?
Speaker 2: No, thank you. I'm on a diet.
Speaker 1: Why? You're fat.
Speaker 2: "	Speaker 2
10	11	not	meaning_control	4	81	not	h	I'm trying to reach Robert please.	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?	0.2594282479	P	Robert is not available at the moment.	nucleus	base	0.9	1.0	20260416	2139650515	50	50	200	12	12	Can I take a message?	can i take a message?	 Can I take a message?\nSpeaker 2: Please do not leave a message.\nSpeaker 1:  Thank you so much.	-8.397735595703125	-12.1500244140625	-1.3996225992838542	-2.0250040690104165	6	6	-8.397735595703125	-12.1500244140625	-1.3996225992838542	-2.0250040690104165	3.752288818359375	0.6253814697265623	True	True	What time should I call back?	not	0.6253814697265623	3.752288818359375	0	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is not available at the moment.
Speaker 1: "	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is available at the moment.
Speaker 1: "	Speaker 1
11	12	not	meaning_control	15	686	not	h	Would you like to have a piece of cake?__eou__No, thank you. I'm on a diet.	Why? You're not fat.	Why? You're fat.	I'm considering entering for the beauty contest this summer, so I must have a slender figure.	0.1453006462	P	Why? You're not fat.	nucleus	base	0.9	1.0	20260416	48361103	50	50	200	50	50	And I don't want to get fat.	and i don't want to get fat.	 And I don't want to get fat. \nSpeaker 3: How did you do on the test?\nSpeaker 4: I don't know. I have to wait for the marks. \nSpeaker 3: I'm going out with a friend.\nSpeaker 4: Oh! It's about time you	-11.65595245361328	-17.2347412109375	-1.2951058281792536	-1.9149712456597223	9	9	-11.65595245361328	-17.2347412109375	-1.2951058281792536	-1.9149712456597223	5.578788757324219	0.6198654174804688	True	True	I'm considering entering for the beauty contest this summer, so I must have a slender figure.	not	0.6198654174804688	5.578788757324219	1	"Speaker 1: Would you like to have a piece of cake?
Speaker 2: No, thank you. I'm on a diet.
Speaker 1: Why? You're not fat.
Speaker 2: "	"Speaker 1: Would you like to have a piece of cake?
Speaker 2: No, thank you. I'm on a diet.
Speaker 1: Why? You're fat.
Speaker 2: "	Speaker 2
12	13	not	meaning_control	4	81	not	h	I'm trying to reach Robert please.	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?	0.2594282479	P	Robert is not available at the moment.	nucleus	base	0.9	1.0	20260416	2139650515	50	50	200	34	33	11 Can I take a message?	11 can i take a message?	11 Can I take a message?\nSpeaker 2: Could you tell him that Miriam Rogers called from building six.\nSpeaker 1: Could you repeat the name?\nSpeaker 2: Miriam Rogers, from building six.\nSpeaker 1: OK, I got it. Thank you.	-15.885711669921877	-20.11346435546875	-2.2693873814174106	-2.87335205078125	7	7	-15.885711669921877	-20.11346435546875	-2.2693873814174106	-2.87335205078125	4.227752685546875	0.6039646693638394	True	True	What time should I call back?	not	0.6039646693638394	4.227752685546875	0	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is not available at the moment.
Speaker 1: "	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is available at the moment.
Speaker 1: "	Speaker 1
13	14	not	meaning_control	4	81	not	h	I'm trying to reach Robert please.	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?	0.2594282479	P	Robert is not available at the moment.	nucleus	base	0.9	1.0	20260416	2139650515	50	50	200	10	10	When will he be available?	when will he be available?	 When will he be available?\nSpeaker 2:  Robert should be available sometime after 11am.\nSpeaker 1: I'll call back after that.	-8.71539306640625	-12.22344970703125	-1.4525655110677085	-2.037241617838541	6	6	-8.71539306640625	-12.22344970703125	-1.4525655110677085	-2.037241617838541	3.508056640625	0.5846761067708333	True	True	What time should I call back?	not	0.5846761067708333	3.508056640625	0	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is not available at the moment.
Speaker 1: "	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is available at the moment.
Speaker 1: "	Speaker 1
14	15	not	meaning_control	15	686	not	h	Would you like to have a piece of cake?__eou__No, thank you. I'm on a diet.	Why? You're not fat.	Why? You're fat.	I'm considering entering for the beauty contest this summer, so I must have a slender figure.	0.1453006462	P	Why? You're not fat.	nucleus	base	0.9	1.0	20260416	48361103	50	50	200	40	40	40 extra pounds is too much.	40 extra pounds is too much.	40 extra pounds is too much.\nSpeaker 3: Hey, do you mind if I join you?\nSpeaker 4: Sure. Help yourself.\nSpeaker 3: Do you have the time?\nSpeaker 4: Sorry. What did you say?\nSpeaker 3: Can you lend me some money?\nSpeaker 	-16.2083740234375	-20.2767333984375	-2.3154820033482144	-2.8966761997767856	7	7	-16.2083740234375	-20.2767333984375	-2.3154820033482144	-2.8966761997767856	4.068359375	0.5811941964285712	True	True	I'm considering entering for the beauty contest this summer, so I must have a slender figure.	not	0.5811941964285712	4.068359375	1	"Speaker 1: Would you like to have a piece of cake?
Speaker 2: No, thank you. I'm on a diet.
Speaker 1: Why? You're not fat.
Speaker 2: "	"Speaker 1: Would you like to have a piece of cake?
Speaker 2: No, thank you. I'm on a diet.
Speaker 1: Why? You're fat.
Speaker 2: "	Speaker 2
15	16	not	meaning_control	23	1154	not	h	Did you order the cake?__eou__Oh, I forgot.	Get on the phone right now. It might not be too late.	Get on the phone right now. It might be too late.	I’m so sorry! OK, so you just want a simple message on it.	0.01417407684	P	Get on the phone right now. It might not be too late.	nucleus	base	0.9	1.0	20260416	1942128355	50	50	200	20	20	38 minutes ago? Good luck.	38 minutes ago? good luck.	38 minutes ago? Good luck.\nSpeaker 1: Who ordered the cake?\nSpeaker 1: I’m the genius who thought you should get the cake. Do you want to talk to me or the genie?\nSpeaker 1: See? He never called. No cake. Ever.	-18.70416259765625	-22.740234375	-2.672023228236607	-3.2486049107142856	7	7	-18.70416259765625	-22.740234375	-2.672023228236607	-3.2486049107142856	4.03607177734375	0.5765816824776784	True	True	I’m so sorry! OK, so you just want a simple message on it.	not	0.5765816824776784	4.03607177734375	1	"Speaker 1: Did you order the cake?
Speaker 2: Oh, I forgot.
Speaker 1: Get on the phone right now. It might not be too late.
Speaker 2: "	"Speaker 1: Did you order the cake?
Speaker 2: Oh, I forgot.
Speaker 1: Get on the phone right now. It might be too late.
Speaker 2: "	Speaker 2
16	17	not	meaning_control	16	698	not	h	What is your favorite coffee?	Irish coffee is my favorite. But I'm not particular on it.	Irish coffee is my favorite. But I'm particular on it.	All right. Would you make coffee yourself when you are at home?	0.1060156914	P	Irish coffee is my favorite. But I'm not particular on it.	nucleus	base	0.9	1.0	20260416	1591758585	50	50	200	33	32	Then you like all kinds of coffee, I guess.	then you like all kinds of coffee, i guess.	 Then you like all kinds of coffee, I guess.\nSpeaker 2:  Yeah, I like all kinds of coffee. I drink it all kinds of coffee.\nSpeaker 1: Where is your favorite place to drink coffee?\nSpeaker 2:  Well, in the morning I go to the coffee	-21.8773193359375	-28.1923828125	-1.9888472123579544	-2.5629438920454546	11	11	-21.8773193359375	-28.1923828125	-1.9888472123579544	-2.5629438920454546	6.3150634765625	0.5740966796875	True	True	All right. Would you make coffee yourself when you are at home?	not	0.5740966796875	6.3150634765625	0	"Speaker 1: What is your favorite coffee?
Speaker 2: Irish coffee is my favorite. But I'm not particular on it.
Speaker 1: "	"Speaker 1: What is your favorite coffee?
Speaker 2: Irish coffee is my favorite. But I'm particular on it.
Speaker 1: "	Speaker 1
17	18	not	meaning_control	16	698	not	h	What is your favorite coffee?	Irish coffee is my favorite. But I'm not particular on it.	Irish coffee is my favorite. But I'm particular on it.	All right. Would you make coffee yourself when you are at home?	0.1060156914	P	Irish coffee is my favorite. But I'm not particular on it.	nucleus	base	0.9	1.0	20260416	1591758585	50	50	200	45	43	你的最爱是什么?	你的最爱是什么?	你的最爱是什么?\nSpeaker 1: 我最爱的咖啡是什么呢?	-10.68353271484375	-13.54022216796875	-2.13670654296875	-2.70804443359375	5	5	-10.68353271484375	-13.54022216796875	-2.13670654296875	-2.70804443359375	2.856689453125	0.5713378906249997	True	True	All right. Would you make coffee yourself when you are at home?	not	0.5713378906249997	2.856689453125	0	"Speaker 1: What is your favorite coffee?
Speaker 2: Irish coffee is my favorite. But I'm not particular on it.
Speaker 1: "	"Speaker 1: What is your favorite coffee?
Speaker 2: Irish coffee is my favorite. But I'm particular on it.
Speaker 1: "	Speaker 1
