id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	removal_log_prob_delta_per_token	removal_upper_iqr_outlier
6902	not	I am so busy today.__eou__Can I help you?	I’m not sure. Perhaps you could do the shopping.	I’m sure. Perhaps you could do the shopping.	I’ll be glad to help.	-29.87610149383545	-33.41052532196045	-1.6597834163241916	-1.96532501893885	18	17	-11.489891052246094	-10.913197994232178	-0.9574909210205078	-0.9094331661860148	12	12	-96.82722282409668	-99.78495359420776	-1.8985729965509153	-1.9956990718841552	51	50	True	0.30554160261465846	False
6909	not	What do you make of the case?__eou__If you ask me, I don’t think it’s guilty.__eou__What do you mean by saying so?	I mean it’s not his fault.	I mean it’s his fault.	Oh, yeah?	-11.243045330047607	-16.875491619110107	-0.803074666431972	-1.2981147399315467	14	13	-9.762092590332031	-9.851641654968262	-1.220261573791504	-1.2314552068710327	8	8	-111.67443370819092	-117.40668296813965	-1.642271083943984	-1.7523385517632784	68	67	True	0.4950400734995747	False
6913	not	You don’t look like enjoying this workout.	I’m not crazy about it at all.	I’m crazy about it at all.	You don’t like this sort of exercise?	-20.301316261291504	-31.574753761291504	-1.3534210840861003	-2.2553395543779646	15	14	-16.726744055747986	-16.73093891143799	-1.1947674325534277	-1.1950670651027135	14	14	-110.09245085716248	-121.36422383785248	-2.502101155844602	-2.822423810182616	44	43	True	0.9019184702918643	False
6931	not	John got a heart attack last night.__eou__Oh really? Is he all right?	Not so good, though his nephew took him to hospital in time.	So good, though his nephew took him to hospital in time.	Poor old John! I am ever so sorry.	-39.21564483642578	-45.650001525878906	-2.0639813071803044	-2.5361111958821616	19	18	-27.270273685455322	-29.800239086151123	-1.9478766918182373	-2.1285885061536516	14	14	-140.9849238395691	-149.94488191604614	-2.3895749803316795	-2.585256584759416	59	58	True	0.47212988870185724	False
6962	not	Hi! How are you going?__eou__Fine, thank you.How are you doing this morning?	Not bad.How about you? Haven't seen you for a long time.	Bad.how about you? Haven't seen you for a long time.	Yes. I've been to New York. I got back only yesterday.	-23.64457607269287	-44.671735763549805	-1.074753457849676	-2.1272255125499906	22	21	-27.3233642578125	-28.693706512451172	-1.366168212890625	-1.4346853256225587	20	20	-122.1275224685669	-144.5636863708496	-1.7201059502615055	-2.065195519583566	71	70	True	1.0524720547003146	True
6965	not	Hi Jane, you look great.__eou__You too. Have you lost some weight?__eou__Yes, I took off 4 kilos. I am glad you notice it.	Not some crazy diet fat I hope.	Some crazy diet fat I hope.	No no, I just changed my eating habits. I eat a balance meal. and I eat less than before.	-48.498923778533936	-49.837546825408936	-3.73068644450261	-4.153128902117412	13	12	-46.98089289665222	-47.37995672225952	-1.7400330702463787	-1.7548132119355377	27	27	-196.8669171333313	-198.5684711933136	-2.2628381279693253	-2.3089357115501583	87	86	True	0.42244245761480137	False
6967	not	Linda, would you care for some candies or cookies?__eou__No, don't try to tempt me. I'm becoming chubby, and I have to slender down.	You are not really chubby. You are actually thin enough.	You are really chubby. You are actually thin enough.	I don't think so. I know I've put on weight this winter.	-27.550302505493164	-34.975351333618164	-1.620606029734892	-2.1859594583511353	17	16	-25.135271310806274	-24.833354949951172	-1.1425123323093762	-1.128788861361417	22	22	-184.47741723060608	-191.59639930725098	-2.2226194847060974	-2.336541454966475	83	82	True	0.5653534286162432	False
6968	not	Oh dear, my weight has gone up again.	I am not surprised, you eat too much.	I am surprised, you eat too much.	And I suppose sitting at the desk all day in the office doesn't help.	-17.766905784606934	-26.663268089294434	-1.1844603856404623	-1.9045191492353166	15	14	-34.373220443725586	-35.60090351104736	-1.6368200211297899	-1.6952811195736839	21	21	-113.3777322769165	-123.52008819580078	-2.2230927897434607	-2.4704017639160156	51	50	True	0.7200587635948543	False
6983	not	What's this, I wonder?	I'm not sure.Let me have a look ... It could be a coffee grinder.	I'm sure.Let me have a look ... It could be a coffee grinder.	A coffee grinder?	-48.37640190124512	-59.20297050476074	-2.01568341255188	-2.5740421958591626	24	23	-3.215073585510254	-3.3416643142700195	-0.40188419818878174	-0.41770803928375244	8	8	-98.86926174163818	-109.82242107391357	-2.1970947053697376	-2.4959641153162178	45	44	True	0.5583587833072827	False
6989	not	Hello, this is Helen speaking.__eou__Hello, Helen. This is John. How are you?__eou__Fine, thank you. And you?	Fine, thanks. I’ll have a party next Sunday at home. I’m calling to ask whether you can come or not.	Fine, thanks. I’ll have a party next Sunday at home. I’m calling to ask whether you can come or.	Oh, how wonderful. I’ll be glad to.	-50.720619201660156	-61.26765060424805	-1.5369884606563684	-1.9146140813827515	33	32	-18.303096055984497	-18.02576732635498	-1.143943503499031	-1.1266104578971863	16	16	-133.1085286140442	-143.37746453285217	-1.4627310836708152	-1.593082939253913	91	90	True	0.37762562072638306	False
