id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	observer_mode	removal_log_prob_delta_per_token	removal_upper_iqr_outlier
327	not	Why don't you sit down and relax, darling?__eou__I don't want to.__eou__Well, come over and talk to me then.	Certainly not.	Certainly.	May I turn on the TV then?	-58.8055419921875	-67.6112060546875	-7.350692749023437	-9.658743722098214	8	7	-81.78269958496094	-101.05775833129884	-6.290976891150842	-7.773673717792217	13	13	-500.6278706789017	-528.7882262468338	-7.051096770125375	-7.554117517811911	71	70	True	False	2.308050973074777	True
460	not	What can I help you with today?__eou__My washing machine isn't working.__eou__What's the problem?	The water will not drain.	The water will drain.	Is there anything else wrong with it?	-57.05535888671875	-74.60223388671875	-5.1868508078835225	-7.460223388671875	11	10	-104.66665649414062	-87.20831298828125	-8.051281268780048	-6.708331768329327	13	13	-520.9669334888458	-520.9165989160538	-7.775625872967848	-7.89267574115233	67	66	True	False	2.2733725807883527	True
692	not	Hi, Mike. I am going to move on the first of next month.__eou__Congratulations! So, have you started planning your move?__eou__Yes, I am trying to find good movers now. Do you know any?	Not really.	Really.	What did you do for your last move?	-65.078857421875	-68.3291015625	-8.134857177734375	-9.761300223214286	8	7	-60.898834228515625	-61.23800659179688	-4.349916730608259	-4.374143327985491	14	14	-507.3932399749756	-510.9641017913818	-5.899921395057856	-6.011342374016257	86	85	True	False	1.6264430454799115	True
1544	not	Come on in.Let me show you the house.Isn' t it something?__eou__Spacious, bright and clean.And the walls were newly painted.__eou__Have you ever seen such a nice house?	Not really.	Really.	This is the kitchen.Every - thing's new.	-46.25567626953125	-56.39166259765625	-5.781959533691406	-8.055951799665179	8	7	-106.24786376953124	-89.23602294921875	-6.249874339384191	-5.249177820542279	17	17	-573.7913131713867	-566.9066696166992	-6.750486037310432	-6.748888924008324	85	84	True	False	2.2739922659737726	True
1746	not	Are we here yet?	Not quite yet.	Quite yet.	How far away is it?	-49.0518798828125	-57.7705078125	-5.450208875868055	-7.2213134765625	9	8	-51.98768615722656	-52.47230529785156	-4.726153287020597	-4.77020957253196	11	11	-281.38404846191406	-290.54420471191406	-7.816223568386501	-8.301262991768974	36	35	True	False	1.7711046006944446	True
1776	not	Why don’t you sit down and relax, darling?__eou__I don’t want to.__eou__Well, come and talk to me then.	Certainly not.	Certainly.	May I turn on the radio then?	-61.60394287109375	-70.3128662109375	-7.700492858886719	-10.044695172991071	8	7	-83.07496643066406	-102.10551071166992	-6.390382033128005	-7.85427005474384	13	13	-510.02306389808655	-537.7652781009674	-7.286043769972665	-7.793699682622716	70	69	True	False	2.3442023141043524	True
1850	not	Are you going home now?	No, I'm not.	No, I'm.	What are you going to do? Are you going to work late?	-44.58641052246094	-59.04588317871094	-3.715534210205078	-5.367807561700994	12	11	-66.13145232200623	-70.52443218231201	-3.480602753789801	-3.711812220121685	19	19	-288.70258116722107	-307.56870555877686	-6.014637107650439	-6.544015011888869	48	47	True	False	1.652273351495916	True
1867	not	Wake up, Mary.__eou__What is it? It's eight in the morning.__eou__We're all going to church. Do you want to come?	No. I'm not a religious person.	No. I'm a religious person.	Are you sure?	-48.967681884765625	-67.42413330078125	-3.264512125651042	-4.816009521484375	15	14	-67.90014553070068	-53.82994079589844	-7.544460614522298	-5.9811045328776045	9	9	-463.2413122653961	-467.5876572132111	-6.095280424544685	-6.234502096176147	76	75	True	False	1.5514973958333331	True
1983	not	Are you going home now?	No, I'm not.	No, I'm.	What are you going to do? Are you going to work late?	-44.58641052246094	-59.04588317871094	-3.715534210205078	-5.367807561700994	12	11	-66.13145232200623	-70.52443218231201	-3.480602753789801	-3.711812220121685	19	19	-288.70258116722107	-307.56870555877686	-6.014637107650439	-6.544015011888869	48	47	True	False	1.652273351495916	True
2211	not	Are you going home now?	No, I'm not.	No, I'm.	What are you going to do? Are you going to work late?	-44.58641052246094	-59.04588317871094	-3.715534210205078	-5.367807561700994	12	11	-66.13145232200623	-70.52443218231201	-3.480602753789801	-3.711812220121685	19	19	-288.70258116722107	-307.56870555877686	-6.014637107650439	-6.544015011888869	48	47	True	False	1.652273351495916	True
2467	not	What can I help you with today?__eou__My washing machine isn't working.__eou__What's the problem?	The water will not drain.	The water will drain.	Is there anything else wrong with it?	-57.05535888671875	-74.60223388671875	-5.1868508078835225	-7.460223388671875	11	10	-104.66665649414062	-87.20831298828125	-8.051281268780048	-6.708331768329327	13	13	-520.9669334888458	-520.9165989160538	-7.775625872967848	-7.89267574115233	67	66	True	False	2.2733725807883527	True
2579	not	Come on in.Let me show you the house.Isn' t it something? Spacious, bright and clean.And the walls were newly painted.Have you ever seen such a nice house?	Not really.	Really.	This is the kitchen.Every - thing's new.	-57.73876953125	-61.510009765625	-7.21734619140625	-8.787144252232142	8	7	-113.07040405273438	-108.89657592773438	-6.65120023839614	-6.405680936925552	17	17	-470.2073822021485	-469.83290672302246	-6.269431762695312	-6.349093334094898	75	74	True	False	1.5697980608258923	True
3246	not	Can we talk?__eou__What about?	I’m not too clear on some things about my lease.	I’m too clear on some things about my lease.	Is there a problem?	-126.231201171875	-149.0592041015625	-7.012844509548611	-8.7681884765625	18	17	-104.97147750854492	-99.99913024902344	-10.497147750854491	-9.999913024902344	10	10	-420.6540641784668	-438.4862823486328	-9.144653569097104	-9.744139607747396	46	45	True	False	1.7553439670138893	True
3431	not	I need somebody to come over and fix my internet.__eou__What's wrong with it?	For some reason it's just not connecting.	For some reason it's just connecting.	How long have you been having this problem?	-62.46600770950317	-82.27899599075317	-4.164400513966879	-5.877071142196655	15	14	-96.17998933792114	-83.65345096588135	-6.869999238422939	-5.975246497562954	14	14	-394.9853540658951	-402.2498313188553	-6.8100923114809495	-7.057014584541321	58	57	True	False	1.712670628229776	True
3583	not	Do you even know where this bus is supposed to go?__eou__It should take us all the way up to Altadena.__eou__Don't you know?	I'm not positive if it does or not.	I'm positive if it does or.	Is this the right bus, or not?	-54.04747009277344	-76.80413818359375	-3.37796688079834	-5.486009870256696	16	14	-61.65046691894531	-51.3541259765625	-4.403604779924665	-3.66815185546875	14	14	-473.31344878673553	-485.7516506910324	-5.843375910947352	-6.148755072038385	81	79	True	False	2.1080429894583563	True
3588	not	Hey, how's it going?__eou__Good. How about you?	Not bad, thanks for asking.	Bad, thanks for asking.	Have you been on the bus for a while?	-78.72500276565552	-94.02744388580322	-6.56041689713796	-8.54794944416393	12	11	-89.30517578125	-113.6038818359375	-5.953678385416667	-7.573592122395834	15	15	-344.4660520553589	-384.02593898773193	-6.624347154910748	-7.529920372308469	52	51	True	False	1.9875325470259693	True
3630	not	So, where is this bus supposed to take us?__eou__It should take us back up to Altadena.__eou__Well, don't you know for sure?	I'm not really sure if it does or not.	I'm really sure if it does or.	Are you sure we got on the right bus?	-62.30738830566406	-85.06961059570312	-3.665140488568474	-5.671307373046875	17	15	-68.22237730026245	-69.7100100517273	-4.548158486684163	-4.647334003448487	15	15	-506.0382378101349	-530.2065091133118	-6.024264735834939	-6.465933037967217	84	82	True	False	2.0061668844784006	True
3697	not	Mr. Rogers?__eou__Mr. : Yes?	I'm not feeling too well.	I'm feeling too well.	Mr. : Would you like to go to the nurse's?	-81.9132080078125	-93.8843994140625	-6.301016000600962	-7.823699951171875	13	12	-126.8889226913452	-118.1517961025238	-6.678364352176064	-6.218515584343358	19	19	-418.5548238754273	-421.77619338035583	-8.0491312283736	-8.270121438830506	52	51	True	False	1.5226839505709133	True
4071	not	Excuse me, Professor, I have a problem and need to leave class early.__eou__Why do you have to leave early?	I am not feeling well.	I am feeling well.	Could you make it up by attending my other section this week?	-44.18083190917969	-58.61181640625	-4.016439264470881	-5.861181640625	11	10	-106.67153930664062	-88.40238189697266	-5.926196628146702	-4.911243438720703	18	18	-385.7878475189209	-381.9812736511231	-6.027935117483139	-6.063194819859096	64	63	True	False	1.8447423761541195	True
