source_row_index	id	particle	fold_id
0	1157	just	0
2	2485	just	0
4	1627	just	0
8	6078	just	0
11	498	just	0
12	7769	just	0
13	12718	just	0
14	8242	just	0
15	8890	just	0
19	9268	just	0
20	788	just	0
21	5758	just	0
22	7873	just	0
24	5388	just	0
26	9687	just	0
28	12662	just	0
31	2164	just	0
32	6675	just	0
37	1907	just	0
1	5467	just	1
3	2798	just	1
5	4508	just	1
6	638	just	1
7	8659	just	1
9	9954	just	1
10	5138	just	1
16	10613	just	1
18	4012	just	1
23	2141	just	1
25	1001	just	1
27	6768	just	1
29	1461	just	1
30	10555	just	1
34	3966	just	1
35	2438	just	1
36	3236	just	1
38	2717	just	1
39	4722	just	1
