id	word	context	w_word	wo_word	followup	log_prob_with_particle	log_prob_without_particle	prob_with_particle	prob_without_particle	log_prob_diff	prob_ratio	include_context
5	just	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m not into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	-79.935546875	-80.21486473083496	1.925010418228006e-35	1.455884360601639e-35	0.27931785583496094	1.3222275548261966	True
16	just	I'm looking for a white purse as a gift. Could you show what you have in stock?	You are in luck. We just receive a shipment of several different styles of white purses.	You are in luck. We receive a shipment of several different styles of white purses.	They must be popular again this season.	-30.716796875	-31.779541015625	4.5694572168240904e-14	1.578776667853059e-14	1.062744140625	2.894302474736966	True
35	just	I'm looking for some black pumps to go with my evening gown. Could you show me what you have?__eou__Sure, we have several different styles you may choose. How high of a heel do you want?__eou__Not to high, maybe an inch or an inch in the half would be the best.	In that case, I might have just the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell just by looking at it that it was superbly made.	In that case, I might have the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell by looking at it that it was superbly made.	Those are beautiful. Do you have any in a size six?	-34.5377197265625	-35.42431640625	1.001057226818873e-15	4.124913631110062e-16	0.8865966796875	2.426856211652308	True
36	just	Are you OK?	I'm fine. I'm just so touched by the sad story.	I'm fine. I'm so touched by the sad story.	So I can say now that you must have enjoyed the opera. Which scene is your favorite?	-70.8984375	-70.815673828125	1.6188246849389175e-31	1.7585050675796524e-31	-0.082763671875	0.9205686777843716	True
37	just	Did anyone call?	Just Mr. White.	Mr. White.	What did he want?	-22.251953125	-24.158203125	2.168201029234816e-10	3.2227431213485524e-11	1.90625	6.727812138894691	True
66	just	Ah, Oh! Are you hurt?	I don't think so. I'm just shaken up a little.	I don't think so. I'm shaken up a little.	Maybe I'd better call an ambulance.	-24.203487396240234	-24.309398651123047	3.0800586120607414e-11	2.770526492994654e-11	0.1059112548828125	1.1117232121218645	True
77	just	May I please speak to Tom?__eou__Tom has gone to lunch.	I'll just try him again.	I'll try him again.	Do you want me to have him give you a call?	-28.898193359375	-28.110321044921875	2.816268690902927e-13	6.192167357862349e-13	-0.787872314453125	0.45481146231085634	True
95	just	Jessie, I’m afraid I can’t come back home for dinner tonight.__eou__Not back home for dinner again? That’s the third time this week!	I’m sorry. Our company has just opened. There are always too many things to handle. You know that.	I’m sorry. Our company has opened. There are always too many things to handle. You know that.	You don’t have to explain. Suit yourself.	-32.81939697265625	-32.8056640625	5.581063905316934e-15	5.658236846185252e-15	-0.01373291015625	0.9863609560776256	True
99	just	Jim, could you do me a favor?	Sure, just ask. What can I do for you?	Sure, ask. What can I do for you?	My car has a problem starting. Could you please take a look at it for me?	-48.989723205566406	-48.89189910888672	5.297043529548745e-22	5.841414269648977e-22	-0.0978240966796875	0.9068084003340267	True
147	just	How can I get to Lakeside Park?	Take the No. 7 bus. There's a bus stop just over there.	Take the No. 7 bus. There's a bus stop over there.	Will it take me straight there?	-25.474609375	-26.171875	8.64007912645505e-12	4.302284307421245e-12	0.697265625	2.0082538737738242	True
150	just	Hello. Excuse me. Do you know if there's a Commercial Bank around here?__eou__Yes, go straight along Beijing Road and turn right.__eou__Straight on, and turn right. Is it far?	No, it's just a couple of minutes.	No, it's a couple of minutes.	Thanks very much.	-14.315496444702148	-14.324590682983398	6.065392198992271e-07	6.010482138099271e-07	0.00909423828125	1.009135716508487	True
186	just	Peter, go and tidy up your toys now.__eou__Wait a moment, mom.__eou__I'm mad! I said now! Turn off the TV, and do it now.	Mom, just ten more minutes. The show is going to be over soon.	Mom, ten more minutes. The show is going to be over soon.	Peter, if you don't do it soon, I will throw your toys in the trash can.	-42.99158477783203	-42.26220703125	2.133005438230407e-19	4.423404885578923e-19	-0.7293777465820312	0.4822089529232062	True
199	just	Mom, my nose is bleeding.__eou__What happened, Peter? Did you have a fight?__eou__No, mom. I didn't.	Did somebody hit you? Or did you just fall?	Did somebody hit you? Or did you fall?	Mom! I was just picking my nose, and now it's bleeding.	-38.743408203125	-38.0582275390625	1.4926280791428186e-17	2.9615685450110155e-17	-0.6851806640625	0.503999166812216	True
232	just	OK, Tom. It's your turn. Are you ready?	I really would rather just listen. Isn't there anyone else who wants to sing?	I really would rather listen. Isn't there anyone else who wants to sing?	Come on! In the two hours we've been here, you haven't sung even one song!	-51.22431945800781	-51.47479248046875	5.669708360365906e-23	4.413485139400448e-23	0.2504730224609375	1.2846329332234052	True
244	just	I would like to buy a black suit.__eou__Do you have any special brand in your mind?	No, I never wear suit in my everyday life. I just want one to take part in my sister’s wedding ceremony.	No, I never wear suit in my everyday life. I want one to take part in my sister’s wedding ceremony.	I see. Have a look at this one. It’s very cheap because it’s not very durable.	-52.29693603515625	-52.7955322265625	1.9396763004337562e-23	1.1781258490117425e-23	0.49859619140625	1.6464084054015382	True
272	just	Where's the nearest tailor's?	There is one just around the corner.	There is one around the corner.	The jacket is tight in the shoulders and long in the sleeve. What about the price there?	-61.13050842285156	-61.59844970703125	2.8272064047585068e-27	1.7706519353159515e-27	0.4679412841796875	1.5967036481701447	True
