id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context
148	only	I come home for lunch.__eou__How long have you got?	Only 1 hour.	1 Hour.	Okay, I'll make you some food.	-13.862277030944824	-14.712374687194824	-1.5402530034383137	-1.839046835899353	9	8	-17.60811758041382	-17.133163452148438	-1.3544705831087553	-1.3179356501652644	13	13	-86.1853756904602	-86.59030437469482	-2.0520327545347667	-2.1119586432852397	42	41	True
161	only	Do you mind if I get a lift in your car, please?	I don’t see any problem; only the car is a bit old.	I don’t see any problem; the car is a bit old.	Oh you’re so kind!	-39.111557960510254	-38.443100929260254	-2.0585030505531714	-2.1357278294033475	19	18	-17.27808952331543	-16.678041458129883	-1.727808952331543	-1.6678041458129882	10	10	-109.73058986663818	-108.46208477020264	-2.3346934014178338	-2.3578714080478833	47	46	True
315	only	Excuse me, could you tell me how much is the lipstick?	It costs only 25 yuan.	It costs 25 yuan.	Oh, it's too expensive. Can't you make it any cheaper?	-17.09942054748535	-11.516168594360352	-1.5544927770441228	-1.1516168594360352	11	10	-26.335670471191406	-25.999814987182617	-1.3860879195363898	-1.3684113151148747	19	19	-95.14826774597168	-89.25015640258789	-1.9822555780410767	-1.898939497927402	48	47	True
491	only	Excuse me. Can you tell me where the Wal-Mart supermarket is?__eou__Turn right at the second crossing and then go straight for two blocks.__eou__Is it far from here?	No, it’s only ten-minute's walk.	No, it’s ten-minute's walk.	Thanks a lot.	-21.22469472885132	-22.672943115234375	-1.5160496234893799	-1.7440725473257213	14	13	-5.599311828613281	-5.669027328491211	-0.6999139785766602	-0.7086284160614014	8	8	-112.15086460113525	-113.73528957366943	-1.6253748492918152	-1.6725777878480799	69	68	True
501	only	Would you like to mail it by air or sea?__eou__Hmm ... How long will it take to mail things to the USA by air?	About 10 days. You can send it express mail if you need it faster. It will only take three or four days.	About 10 days. You can send it express mail if you need it faster. It will take three or four days.	I want to send it by express mail. The faster, the better.	-42.31050109863281	-41.34739875793457	-1.4103500366210937	-1.425772370963261	30	29	-23.266448974609375	-23.26239776611328	-1.2245499460320723	-1.224336724532278	19	19	-160.51168060302734	-159.54573822021484	-1.9108533405122303	-1.9222378098821065	84	83	True
649	only	Well, what about this two-bedroom apartment? The listing says it's right in the heart of the city, just steps from the metro.__eou__Wow, that would be very convenient. How much is the rent?	It says it's $ 1600. But if you share it with another person, that's only $ 800 per month.	It says it's $ 1600. But if you share it with another person, that's $ 800 per month.	That definitely sounds like a steal. I think that is a very trendy neighborhood as well.	-46.27312755584717	-47.36902904510498	-1.492681534059586	-1.5789676348368327	31	30	-49.77684688568115	-49.9222731590271	-2.262583949349143	-2.269194234501232	22	22	-203.4789113998413	-204.72113943099976	-1.9755234116489448	-2.0070699944215664	103	102	True
659	only	Mmmm ... This apartment seems a little expensive. Do you have any cheap studios?	Actually, the one-bedroom is the only vacant apartment right now.	Actually, the one-bedroom is the vacant apartment right now.	Do you think any studios will open up soon?	-29.807252883911133	-35.72578430175781	-1.7533678167006548	-2.2328615188598633	17	16	-21.817585468292236	-23.00349998474121	-1.558398962020874	-1.6431071417672294	14	14	-138.94405221939087	-146.04849815368652	-2.672001004219055	-2.8636960422291473	52	51	True
660	only	What kind of lease is it?__eou__It's a one-year lease.	Can I have a month-to-month lease? I only want to rent the apartment for five months.	Can I have a month-to-month lease? I want to rent the apartment for five months.	No, all the leases are for one year. We don't have month-to-month leases.	-38.09984302520752	-38.00511646270752	-1.5874934593836467	-1.6523963679438052	24	23	-22.568520545959473	-23.271628379821777	-0.9812400237373684	-1.0118099295574685	23	23	-110.93703651428223	-111.56092071533203	-1.6077831378881482	-1.6406017752254711	69	68	True
666	only	What's the problem, sir?	I bought this toy gun from your store two weeks ago. My son played with it only twice and it broke.	I bought this toy gun from your store two weeks ago. My son played with it twice and it broke.	Do you keep the receipt?	-54.56684875488281	-51.43208312988281	-2.020994398328993	-1.9781570434570312	27	26	-15.918315887451172	-16.47336769104004	-1.591831588745117	-1.647336769104004	10	10	-107.15691757202148	-104.57720375061035	-2.2324357827504477	-2.2250468883108585	48	47	True
687	only	Excuse me. Could you tell me the way to the Star Hotel?__eou__Yes. Go down the main road. You can't miss it.__eou__How long will it take me to get there?	It's only about a five-minute walk.	It's about a five-minute walk.	Thank you very much.	-10.683116436004639	-8.24085521697998	-0.8217781873849722	-0.6867379347483317	13	12	-4.164614677429199	-4.219571113586426	-0.4627349641587999	-0.4688412348429362	9	9	-93.12404441833496	-90.76231384277344	-1.2756718413470542	-1.2605876922607422	73	72	True
745	only	Good morning, I want to send this parcel to Taiwan.__eou__Airmail or surface mail?__eou__How long would surface mail take, compared with airmail?	Oh, anything up to 3 or 4 months for surface mail. It depends on the sailing of the ships. Airmail would only take 1 to 2 weeks.	Oh, anything up to 3 or 4 months for surface mail. It depends on the sailing of the ships. Airmail would take 1 to 2 weeks.	How much would this parcel cost me by airmail?	-60.91389608383179	-58.74870252609253	-1.4857047825324825	-1.4687175631523133	41	40	-18.610324144363403	-18.57306218147278	-1.1631452590227127	-1.1608163863420486	16	16	-171.5707323551178	-169.3710367679596	-1.698720122327899	-1.693710367679596	101	100	True
794	only	Can I have the window seat over there?__eou__Sorry, sir. That table has been booked.	Well, in that case, this table is the only choice.	Well, in that case, this table is the choice.	Actually you can have a window seat if you don't mind a ten-minute wait.	-28.86559009552002	-32.20836353302002	-1.697975887971766	-2.013022720813751	17	16	-36.77985191345215	-39.21373224258423	-1.7514215196881975	-1.8673205829802013	21	21	-138.88394832611084	-144.63572359085083	-2.1366761280940127	-2.259933181107044	65	64	True
797	only	Good evening, may I help you?__eou__I would like to book a table for six tonight.	Sorry, sir. We have only double tables left.	Sorry, sir. We have double tables left.	What a pity. Can you recommend a nice restaurant near here?	-29.296030044555664	-31.149545669555664	-1.9530686696370443	-2.2249675478254045	15	14	-25.033623695373535	-24.969626426696777	-1.472566099727855	-1.4688015545115751	17	17	-110.89152717590332	-112.67567443847656	-1.8795174097610732	-1.9426840420426994	59	58	True
871	only	Tom, how do you think of second-hand goods?__eou__Why did you ask that? Do you want to buy the used goods?__eou__I'm considering buying a second-hand computer for I'm short of money now.	You know the car I'm driving, which is still in good condition though it is second-hand. And it only cost me 300 dollars. It was so cheap.	You know the car I'm driving, which is still in good condition though it is second-hand. And it cost me 300 dollars. It was so cheap.	But do you really mean that the second - hand goods are just as good as the new ones?	-75.75458717346191	-76.91877174377441	-1.9935417677226819	-2.078885722804714	38	37	-39.88072681427002	-40.152276039123535	-1.6616969505945842	-1.6730115016301472	24	24	-249.64546251296997	-251.03032159805298	-2.152116056146293	-2.1828723617222	116	115	True
