id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	observer_mode	removal_log_prob_delta_per_token	removal_upper_iqr_outlier
148	only	I come home for lunch.__eou__How long have you got?	Only 1 hour.	1 Hour.	Okay, I'll make you some food.	-4.527331709861755	-9.980912566184998	-0.7545552849769592	-2.4952281415462494	6	4	-30.150291204452515	-29.116820693016052	-1.6750161780251398	-1.6176011496120029	18	18	-107.3330420255661	-110.13450002670288	-2.1904702454197165	-2.3432872346106994	49	47	True	False	1.7406728565692902	True
161	only	Do you mind if I get a lift in your car, please?	I don’t see any problem; only the car is a bit old.	I don’t see any problem; the car is a bit old.	Oh you’re so kind!	-42.878581166267395	-41.038758277893066	-2.679911322891712	-2.7359172185262044	16	15	-36.754130840301514	-36.294268012046814	-2.4502753893534344	-2.4196178674697877	15	15	-136.61306834220886	-135.8933287858963	-2.5776050630605445	-2.6133332458826213	53	52	True	False	0.05600589563449221	False
315	only	Excuse me, could you tell me how much is the lipstick?	It costs only 25 yuan.	It costs 25 yuan.	Oh, it's too expensive. Can't you make it any cheaper?	-18.023077845573425	-10.768434166908264	-2.002564205063714	-1.346054270863533	9	8	-35.2909916639328	-34.404276967048645	-1.4704579859972	-1.4335115402936935	24	24	-120.6635959148407	-112.89504086971283	-2.1938835620880126	-2.090648904994682	55	54	True	False	-0.656509934200181	False
491	only	Excuse me. Can you tell me where the Wal-Mart supermarket is?__eou__Turn right at the second crossing and then go straight for two blocks.__eou__Is it far from here?	No, it’s only ten-minute's walk.	No, it’s ten-minute's walk.	Thanks a lot.	-23.252698063850403	-25.256412386894226	-2.1138816421682183	-2.5256412386894227	11	10	-23.581056237220764	-23.062387824058533	-1.8139274028631358	-1.7740298326198871	13	13	-164.44189298152924	-165.9094216823578	-2.13560899976012	-2.183018706346813	77	76	True	False	0.4117595965212044	False
501	only	Would you like to mail it by air or sea?__eou__Hmm ... How long will it take to mail things to the USA by air?	About 10 days. You can send it express mail if you need it faster. It will only take three or four days.	About 10 days. You can send it express mail if you need it faster. It will take three or four days.	I want to send it by express mail. The faster, the better.	-59.35737884044647	-57.42899203300476	-2.1199063871588026	-2.1269997049261025	28	27	-29.8312965631485	-30.11276137828827	-1.2429706901311874	-1.2546983907620113	24	24	-204.50013029575348	-202.8546723127365	-2.222827503214712	-2.2291722232168847	92	91	True	False	0.007093317767299823	False
649	only	Well, what about this two-bedroom apartment? The listing says it's right in the heart of the city, just steps from the metro.__eou__Wow, that would be very convenient. How much is the rent?	It says it's $ 1600. But if you share it with another person, that's only $ 800 per month.	It says it's $ 1600. But if you share it with another person, that's $ 800 per month.	That definitely sounds like a steal. I think that is a very trendy neighborhood as well.	-62.42014670372009	-61.95699107646942	-1.950629584491253	-1.9986126153699812	32	31	-66.51568150520325	-66.93394446372986	-2.463543759451972	-2.479034980138143	27	27	-258.6007215976715	-258.5532969236374	-2.268427382435715	-2.2880822736605078	114	113	True	False	0.04798303087872835	False
659	only	Mmmm ... This apartment seems a little expensive. Do you have any cheap studios?	Actually, the one-bedroom is the only vacant apartment right now.	Actually, the one-bedroom is the vacant apartment right now.	Do you think any studios will open up soon?	-34.26262021064758	-38.830254316329956	-2.447330015046256	-2.986942639717689	14	13	-29.712772727012634	-30.352977633476257	-1.5638301435269808	-1.5975251386040135	19	19	-163.66480493545532	-167.9714492559433	-2.8218069816457816	-2.946867530806023	58	57	True	False	0.5396126246714332	False
660	only	What kind of lease is it?__eou__It's a one-year lease.	Can I have a month-to-month lease? I only want to rent the apartment for five months.	Can I have a month-to-month lease? I want to rent the apartment for five months.	No, all the leases are for one year. We don't have month-to-month leases.	-43.16632664203644	-43.28364074230194	-2.055539363906497	-2.164182037115097	21	20	-45.548850536346436	-43.72899806499481	-1.6267446620123727	-1.561749930892672	28	28	-146.93739688396454	-145.19846630096436	-1.9333868011047965	-1.9359795506795248	76	75	True	False	0.1086426732086001	False
666	only	What's the problem, sir?	I bought this toy gun from your store two weeks ago. My son played with it only twice and it broke.	I bought this toy gun from your store two weeks ago. My son played with it twice and it broke.	Do you keep the receipt?	-70.64793837070465	-66.09862458705902	-2.9436640987793603	-2.8738532429156094	24	23	-32.64751148223877	-32.922492146492004	-2.1765007654825848	-2.1948328097661336	15	15	-129.71596693992615	-126.2687863111496	-2.4021475359245583	-2.382429930399049	54	53	True	False	-0.06981085586375091	False
687	only	Excuse me. Could you tell me the way to the Star Hotel?__eou__Yes. Go down the main road. You can't miss it.__eou__How long will it take me to get there?	It's only about a five-minute walk.	It's about a five-minute walk.	Thank you very much.	-10.637835502624512	-8.234954237937927	-1.063783550262451	-0.9149949153264364	10	9	-19.53436291217804	-18.383832216262817	-1.3953116365841456	-1.3131308725902013	14	14	-136.1507295370102	-132.60970771312714	-1.6808732041606196	-1.6576213464140892	81	80	True	False	-0.14878863493601469	False
745	only	Good morning, I want to send this parcel to Taiwan.__eou__Airmail or surface mail?__eou__How long would surface mail take, compared with airmail?	Oh, anything up to 3 or 4 months for surface mail. It depends on the sailing of the ships. Airmail would only take 1 to 2 weeks.	Oh, anything up to 3 or 4 months for surface mail. It depends on the sailing of the ships. Airmail would take 1 to 2 weeks.	How much would this parcel cost me by airmail?	-79.70135390758514	-77.44229233264923	-2.097404050199609	-2.0930349279094385	38	37	-33.97763693332672	-33.90755224227905	-1.6179827111107963	-1.614645344870431	21	21	-258.053294301033	-255.71810245513916	-2.3674614156058076	-2.3677602079179554	109	108	True	False	-0.004369122290170502	False
794	only	Can I have the window seat over there?__eou__Sorry, sir. That table has been booked.	Well, in that case, this table is the only choice.	Well, in that case, this table is the choice.	Actually you can have a window seat if you don't mind a ten-minute wait.	-25.13870131969452	-28.000268578529358	-1.7956215228353227	-2.1538668137330275	14	13	-46.92928731441498	-53.02577304840088	-1.8049725890159607	-2.0394528095538798	26	26	-171.7188081741333	-180.6817420721054	-2.3849834468629627	-2.544813268621203	72	71	True	False	0.35824529089770474	False
797	only	Good evening, may I help you?__eou__I would like to book a table for six tonight.	Sorry, sir. We have only double tables left.	Sorry, sir. We have double tables left.	What a pity. Can you recommend a nice restaurant near here?	-31.65937376022339	-38.51996207237244	-2.6382811466852822	-3.5018147338520396	12	11	-33.065025806427	-35.02577996253967	-1.5029557184739546	-1.592080907388167	22	22	-144.6132377386093	-153.43555617332458	-2.191109662706202	-2.3605470180511476	66	65	True	False	0.8635335871667573	True
871	only	Tom, how do you think of second-hand goods?__eou__Why did you ask that? Do you want to buy the used goods?__eou__I'm considering buying a second-hand computer for I'm short of money now.	You know the car I'm driving, which is still in good condition though it is second-hand. And it only cost me 300 dollars. It was so cheap.	You know the car I'm driving, which is still in good condition though it is second-hand. And it cost me 300 dollars. It was so cheap.	But do you really mean that the second - hand goods are just as good as the new ones?	-80.96774625778198	-79.53952300548553	-2.18831746642654	-2.2094311945968204	37	36	-50.10389602184296	-49.80324840545654	-1.7277205524773434	-1.717353393291605	29	29	-305.849121928215	-304.12787890434265	-2.427373983557262	-2.4330230312347414	126	125	True	False	0.021113728170280233	False
876	only	I like Chinese food.__eou__I like Chinese food, too. I like dumplings best.__eou__At school, we sometimes have Chinese food for lunch.	That's good. We eat Chinese food only at the Chinese restaurant.	That's good. We eat Chinese food at the Chinese restaurant.	My mother can make some Chinese food.	-27.90403985977173	-21.75694978237152	-1.8602693239847818	-1.5540678415979658	15	14	-30.794333457946777	-31.84343159198761	-1.811431379879222	-1.8731430348228006	17	17	-158.71448731422424	-153.61179733276367	-2.0090441432180284	-1.9693820170867138	79	78	True	False	-0.306201482386816	False
915	only	Steven, we are preparing a martial arts show for the New Year's party. Would you like to join us?	I'd love to! But I have never learned martial arts, and there is only a month left before the New Year.	I'd love to! But I have never learned martial arts, and there is a month left before the New Year.	That's OK. A month is enough for you to learn the basic movements. It would be great to have you with us on the show.	-52.40290892124176	-54.112237095832825	-2.015496496970837	-2.164489483833313	26	25	-63.742355942726135	-63.159794330596924	-1.6774304195454246	-1.6620998508051823	38	38	-199.2821946144104	-201.02795934677124	-2.0977073117306357	-2.138595312199694	95	94	True	False	0.14899298686247597	False
951	only	Have you got any outdoor interests?	Yes. My only recreation is skateboarding.	Yes. My recreation is skateboarding.	Oh, I know it. It is included in extreme sports. I think it's too dangerous for me.	-34.402615427970886	-31.129993319511414	-3.4402615427970886	-3.458888146612379	10	9	-77.68123185634613	-80.8763438463211	-2.5058461889143913	-2.6089143176232614	31	31	-163.40227615833282	-163.68897998332977	-2.9178977885416577	-2.9761632724241776	56	55	True	False	0.018626603815290466	False
965	only	Excuse me, where is the Beijing Railway Station?__eou__You can take the subway to get there.__eou__How long will it take to get there?	It takes only ten minutes.	It takes ten minutes.	May I take a bus or a taxi to get there?	-10.785736322402954	-9.223604202270508	-1.5408194746289934	-1.5372673670450847	7	6	-27.752360582351685	-27.303775668144226	-1.321540980111985	-1.3001797937211537	21	21	-127.25463843345642	-125.24663746356964	-1.6967285124460856	-1.6925221278860763	75	74	True	False	-0.00355210758390867	False
966	only	Excuse me, can you tell me where Main Street is?__eou__Turn left at the second light and then go straight for two blocks.__eou__Is it far?	No. It's only a five-minute walk. You can't miss it.	No. It's a five-minute walk. You can't miss it.	Thanks a lot.	-26.880294919013977	-27.466990113258362	-1.5811938187655281	-1.7166868820786476	17	16	-25.719030261039734	-25.381698489189148	-1.9783869431569026	-1.9524383453222423	13	13	-159.7409039735794	-159.96621692180634	-2.022036759159233	-2.0508489348949532	79	78	True	False	0.1354930633131195	False
987	only	Where do these flower vases come from?__eou__They are made a town nearby. The flower vases are made of porcelain and covered with tiny bamboo sticks.__eou__Are they breakable?	No. They are not only ornamental, but also useful.	No. They are not ornamental, but also useful.	No wonder it's so expensive.	-25.80304503440857	-32.161080837249756	-1.8430746453148978	-2.473929295173058	14	13	-33.05164873600006	-34.6911004781723	-2.065728046000004	-2.168193779885769	16	16	-227.94968557357788	-235.94354844093323	-2.7136867330187844	-2.842693354710039	84	83	True	False	0.6308546498581602	True
1010	only	In 1986, a New Zealander Hackett popularized Bungee as a commercialized sport of mass entertainment. This sport is very challenging. It is a test of people's psychological ability of endurance. Especially when descending, as if they are watching a fast forward tape and when they bounce back, they sway around. The timid people will shrink back at the sight of it. Even if they jump off, they find it hard to avoid screaming with closed eyes. No wonder people give the title' brave' to anyone who jumps off.__eou__You see, the bungee participants take a deep breath when they stand at the starting spot and then, like diving, their heads are over heels and they jump off into the realm of the combination of heaven and earth. The wind roars at their ears and their bodies rapidly descend. They do not even have enough time to do several gymnastic movements and they are rebounded to the upper air by the cord.__eou__Entrusting life to the care of a rope indeed requires infinite courage.	"A young French fellow recalled his first bungee experience and said, "" When I fastened the cord and walked to the platform, I was extremely nervous. When I looked down, I was nervous even more. If the cord had broken, I would be knocked to' bakemeat'. However, I knew my worries were unwanted. I was afraid if I retreated others might say something about me. I had to harden my heart and impose my head downward. I only felt wind wiring at my ears. My body rapidly descended. I thought that after only seven or eight seconds I was rebounded to upper air by the cord. In fact it was 30 seconds. Maybe because of my nervousness, I only felt seven or eight seconds. When rebounding to the high altitude, I felt a sudden sense of relief. I did not feel nervous very much, but very comfortable. """	"A young French fellow recalled his first bungee experience and said, "" When I fastened the cord and walked to the platform, I was extremely nervous. When I looked down, I was nervous even more. If the cord had broken, I would be knocked to' bakemeat'. However, I knew my worries were unwanted. I was afraid if I retreated others might say something about me. I had to harden my heart and impose my head downward. I felt wind wiring at my ears. My body rapidly descended. I thought that after seven or eight seconds I was rebounded to upper air by the cord. In fact it was 30 seconds. Maybe because of my nervousness, I felt seven or eight seconds. When rebounding to the high altitude, I felt a sudden sense of relief. I did not feel nervous very much, but very comfortable. """	It is hard to come by in life that you experience this kind of' comfortable'	-524.4928345680237	-510.7265945672989	-2.8818287613627676	-2.853221198699994	182	179	-80.02933180332184	-80.10102689266205	-3.078051223204686	-3.080808726640848	26	26	-1366.0624486207962	-1352.3679037094116	-3.118864037947023	-3.108891732665314	438	435	True	False	-0.028607562662773756	False
1038	only	Can I order take-out here?	We only have spring rolls today for take-out.	We have spring rolls today for take-out.	Then could I have four orders, please?	-36.19554901123047	-34.99626433849335	-3.2905044555664062	-3.499626433849335	11	10	-37.1720427274704	-34.63666009902954	-2.0651134848594666	-1.92425889439053	18	18	-130.84370255470276	-129.59128093719482	-2.973720512606881	-3.013750719469647	44	43	True	False	0.20912197828292856	False
1099	only	How long is the warranty?__eou__We guarantee our product for two years.__eou__How about the repairs after the warranty expire? Are you responsible for the fixing if the machine breaks down after the warranty period?	Yes. All repairs are billed at cost. We'll only bill you for parts. The on-site service is $ 300 a year after the warranty.	Yes. All repairs are billed at cost. We'll bill you for parts. The on-site service is $ 300 a year after the warranty.	Will you supply spare parts if we want them?	-87.70786535739899	-81.19065368175507	-2.579643098747029	-2.4603228388410625	34	33	-39.360806822776794	-40.34469509124756	-2.0716214117250944	-2.1234050048025033	19	19	-281.0273240804672	-275.53977704048157	-2.5547938552769747	-2.5278878627567116	110	109	True	False	-0.11932025990596662	False
1142	only	Look! Allen has the mic!	I thought he only liked to listen!	I thought he liked to listen!	That was before he heard Stanley sing! I guess he couldn't stand it any more, so he decided to give it a try himself!	-28.548213481903076	-27.32629692554474	-3.172023720211453	-3.4157871156930923	9	8	-79.5398610830307	-79.93931972980499	-2.149725975217046	-2.1605221548595943	37	37	-166.1730878353119	-165.80305016040802	-2.7241489809067523	-2.7633841693401338	61	60	True	False	0.2437633954816394	False
