id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	observer_mode	removal_log_prob_delta_per_token	removal_upper_iqr_outlier
5	just	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m not into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	-168.71193885803223	-167.84719276428223	-3.8343622467734595	-3.903423087541447	44	43	-138.72322344779968	-134.33487105369568	-3.468080586194992	-3.358371776342392	40	40	-735.5075932741165	-730.2164088487625	-4.596922457963228	-4.592556030495362	160	159	True	False	0.06906084076798757	False
16	just	I'm looking for a white purse as a gift. Could you show what you have in stock?	You are in luck. We just receive a shipment of several different styles of white purses.	You are in luck. We receive a shipment of several different styles of white purses.	They must be popular again this season.	-101.712646484375	-107.81463623046875	-4.4222889775815215	-4.900665283203125	23	22	-119.913330078125	-121.4986572265625	-9.224102313701923	-9.346050555889423	13	13	-453.51634216308594	-461.2221984863281	-6.669357972986558	-6.883913410243704	68	67	True	False	0.4783763056216035	False
35	just	I'm looking for some black pumps to go with my evening gown. Could you show me what you have?__eou__Sure, we have several different styles you may choose. How high of a heel do you want?__eou__Not to high, maybe an inch or an inch in the half would be the best.	In that case, I might have just the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell just by looking at it that it was superbly made.	In that case, I might have the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell by looking at it that it was superbly made.	Those are beautiful. Do you have any in a size six?	-200.09479570388794	-204.04253482818604	-3.573121351855142	-3.778565459781223	56	54	-80.71527099609375	-82.02545166015625	-4.484181722005208	-4.556969536675347	18	18	-747.8681488037109	-753.1443209648132	-4.794026594895583	-4.890547538732553	156	154	True	False	0.20544410792608092	False
36	just	Are you OK?	I'm fine. I'm just so touched by the sad story.	I'm fine. I'm so touched by the sad story.	So I can say now that you must have enjoyed the opera. Which scene is your favorite?	-91.53919982910156	-93.90840148925781	-4.359009515671503	-4.6954200744628904	21	20	-150.85260009765625	-142.620361328125	-6.285525004069011	-5.942515055338542	24	24	-417.29878997802734	-411.5069808959961	-6.954979832967123	-6.974694591457561	60	59	True	False	0.33641055879138726	False
37	just	Did anyone call?	Just Mr. White.	Mr. White.	What did he want?	-60.572601318359375	-54.8779296875	-6.057260131835937	-6.097547743055555	10	9	-45.878461837768555	-56.4625244140625	-4.587846183776856	-5.64625244140625	10	10	-286.5290355682373	-291.36891174316406	-8.18654387337821	-8.569673874798942	35	34	True	False	0.04028761121961821	False
66	just	Ah, Oh! Are you hurt?	I don't think so. I'm just shaken up a little.	I don't think so. I'm shaken up a little.	Maybe I'd better call an ambulance.	-62.2499737739563	-68.90933656692505	-2.9642844654264904	-3.4454668283462526	21	20	-88.62871932983398	-89.63114166259766	-6.330622809273856	-6.402224404471261	14	14	-355.6210255622864	-363.2828106880188	-6.585574547449748	-6.854392654490921	54	53	True	False	0.48118236291976224	False
77	just	May I please speak to Tom?__eou__Tom has gone to lunch.	I'll just try him again.	I'll try him again.	Do you want me to have him give you a call?	-61.8458251953125	-63.913330078125	-4.7573711688701925	-5.32611083984375	13	12	-61.599658727645874	-59.36124551296234	-3.6235093369203457	-3.491837971350726	17	17	-321.8701055049896	-321.7504667043686	-5.96055750935166	-6.070763522723936	54	53	True	False	0.5687396709735575	False
95	just	Jessie, I’m afraid I can’t come back home for dinner tonight.__eou__Not back home for dinner again? That’s the third time this week!	I’m sorry. Our company has just opened. There are always too many things to handle. You know that.	I’m sorry. Our company has opened. There are always too many things to handle. You know that.	You don’t have to explain. Suit yourself.	-118.71659851074219	-122.0500259399414	-4.093675810715248	-4.35892949785505	29	28	-94.22290420532227	-91.94493103027344	-5.888931512832642	-5.74655818939209	16	16	-458.29924952983856	-459.3235605955124	-5.149429769998186	-5.2195859158580955	89	88	True	False	0.26525368713980235	False
147	just	How can I get to Lakeside Park?	Take the No. 7 bus. There's a bus stop just over there.	Take the No. 7 bus. There's a bus stop over there.	Will it take me straight there?	-75.49171733856201	-77.56178569793701	-3.282248579937479	-3.5255357135425913	23	22	-56.449798583984375	-55.736175537109375	-4.704149881998698	-4.644681294759114	12	12	-324.327898979187	-325.684344291687	-6.006072203318278	-6.144987628145038	54	53	True	False	0.24328713360511234	False
150	just	Hello. Excuse me. Do you know if there's a Commercial Bank around here?__eou__Yes, go straight along Beijing Road and turn right.__eou__Straight on, and turn right. Is it far?	No, it's just a couple of minutes.	No, it's a couple of minutes.	Thanks very much.	-64.79278469085693	-71.89003658294678	-4.049549043178558	-4.792669105529785	16	15	-64.62905299663544	-59.02871811389923	-7.181005888515049	-6.5587464570999146	9	9	-530.0701814889908	-531.5909098386765	-6.163606761499893	-6.254010703984429	86	85	True	False	0.7431200623512266	False
