pilot_row_index	source_row_index	source_file_index	id	word	_5	context	w_word	wo_word	followup	human_negative_followups	human_negative_pilot_row_indices	human_negative_source_row_indices	human_negative_count	followup_token_length	followup_final_punctuation	build_seed	human_negative_target	row_limit	prompt_with	prompt_without	next_speaker	fold_id	gold_log_prob_with	gold_log_prob_without	gold_token_count_with	gold_token_count_without	gold_delta	margin_human_with	margin_human_without	effect_delta	human_negative_log_probs_with	human_negative_log_probs_without	ablation_condition	mask_percent
0	0	1	3	not		Would you mind waiting a while?__eou__Well, how long will it be?	I'm not sure. But I'll get a table ready as fast as I can.	I'm sure. But I'll get a table ready as fast as I can.	OK. We'll wait.	"[""Oh, I'm sorry."",""It's the circus."",""Ok, I see."",""I don\u2019t understand."",""OK. That's fine.""]"	[5,185,1014,636,987]	[5,185,1014,636,987]	5	3	.	13	5		"Speaker 1: Would you mind waiting a while?
Speaker 2: Well, how long will it be?
Speaker 1: I'm not sure. But I'll get a table ready as fast as I can.
Speaker 2: "	"Speaker 1: Would you mind waiting a while?
Speaker 2: Well, how long will it be?
Speaker 1: I'm sure. But I'll get a table ready as fast as I can.
Speaker 2: "	Speaker 2	2	-11.3349609375	-11.04150390625	6	6	-0.29345703125	2.9873535156249993	2.995849609375	-0.00849609375000071	[-8.760498046875,-23.46435546875,-14.6455078125,-16.20703125,-8.5341796875]	[-8.3505859375,-22.5546875,-14.09033203125,-16.05078125,-9.140380859375]	none	0.0
1	1	2	5	not		Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	"[""The guys I've talked to say that the activities that go on in a frat house can be a little distracting depending on the group."",""Yeah, I know what you mean. The first year of any marriage is difficult for all couples, not to mention two people from different cultures."",""But when I noticed that he was left in the cold, I could not help wanting to help him to get out of the situation."",""Well, Then you can go to the three-day-long training camp first. There\u2019re some professional teachers and they can guide you to do certain necessary exercise."",""They're awesome! I was browsing through the eBay auction today, and I found the cutest fat little copper Buddha! It's over a hundred years old.""]"	[339,778,686,771,806]	[339,778,686,771,806]	5	25	.	13	5		"Speaker 1: Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?
Speaker 2: I swear, I’m going to kill you for this.
Speaker 1: What’s wrong? Didn’t you think it was fun?!
Speaker 2: Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.
Speaker 1: "	"Speaker 1: Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?
Speaker 2: I swear, I’m going to kill you for this.
Speaker 1: What’s wrong? Didn’t you think it was fun?!
Speaker 2: Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.
Speaker 1: "	Speaker 1	0	-71.38317489624023	-70.01275634765625	34	34	-1.3704185485839844	27.864701461791995	28.79267120361328	-0.9279697418212862	[-98.34405517578125,-73.66455078125,-80.12652587890625,-128.184326171875,-115.91992378234863]	[-97.04232788085938,-72.96925354003906,-79.66339111328125,-127.71044921875,-116.64171600341797]	none	0.0
2	2	3	7	not		Can you manage chopsticks?	Why not? See.	Why? See.	Good mastery. How do you like our Chinese food?	"[""You are right. How about paintings and embroidered handkerchiefs?"",""really? That\u2019s fantastic. What kind of business is it?"",""Why do you want to go to the US?"",""Oh, hey, did you look in the classified ads?"",""I noticed that too. What are the people learning?""]"	[21,1234,995,666,723]	[21,1234,995,666,723]	5	9	?	13	5		"Speaker 1: Can you manage chopsticks?
Speaker 2: Why not? See.
Speaker 1: "	"Speaker 1: Can you manage chopsticks?
Speaker 2: Why? See.
Speaker 1: "	Speaker 1	0	-36.2772216796875	-39.14813232421875	11	11	2.87091064453125	2.7241037368774386	0.7121612548828153	2.011942481994623	[-48.55376148223877,-41.19517517089844,-19.84423828125,-40.3958740234375,-45.017578125]	[-50.99617004394531,-42.3944091796875,-19.603515625,-42.077880859375,-44.2294921875]	none	0.0
3	3	4	15	not		Is everything to your satisfaction?	No, the steak was recommended, but it is not very fresh.	No, the steak was recommended, but it is very fresh.	Oh! Sorry to hear that. This is quite unusual as we have steak from the market every day.	"[""I\u2019m sorry. Our company has just opened. There are always too many things to handle. You know that."",""Well, you have to wait in line like everyone else. Besides, you should let old people on first."",""I'm still not too jazzed about going ... I feel kind of awkward in those cocktail party situations."",""Have you been eating properly? Eating the right kind of food is important for your health, you know."",""I'm sorry. Our company has just opened. There are always too many things to handle. You know that.""]"	[8,286,780,1020,38]	[8,286,780,1020,38]	5	18	.	13	5		"Speaker 1: Is everything to your satisfaction?
Speaker 2: No, the steak was recommended, but it is not very fresh.
Speaker 1: "	"Speaker 1: Is everything to your satisfaction?
Speaker 2: No, the steak was recommended, but it is very fresh.
Speaker 1: "	Speaker 1	3	-48.694549560546875	-53.33087158203125	21	21	4.636322021484375	18.853379821777338	13.859507751464847	4.9938720703124915	[-65.050048828125,-69.26774597167969,-87.71499633789062,-50.33051300048828,-65.3763427734375]	[-65.8558349609375,-67.44352722167969,-86.09648132324219,-50.401878356933594,-66.1541748046875]	none	0.0
4	4	5	35	not		I'm looking for some black pumps to go with my evening gown. Could you show me what you have?__eou__Sure, we have several different styles you may choose. How high of a heel do you want?	Not to high, maybe an inch or an inch in the half would be the best.	To high, maybe an inch or an inch in the half would be the best.	In that case, I might have just the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell just by looking at it that it was superbly made.	"[""That\u2019s exactly what I\u2019m getting at. We\u2019re supposed to be able to do our preparation and marking in that office, but have you noticed? Jack constantly has students coming in to get help with his course. A lot people are going in and out."",""Very well.This arrangement here is very popular among regretful husbands and boyfriends. It has a dozen long stem red roses with a couple of sunflowers and a single orchid that stands out. It includes a small teddy bear to achieve the effect of immediate forgiveness."",""No, they aren't. They had a hard time in the group stage and only sealed a sit in the eighth-finals with Wallack' s header in the final three minutes. Just think, group A consists of Austria, China, and Saudi Arabia, all of which are minnows."",""As we are a well-established company, we are very familiar with the customers' needs. Besides, we can make full use of our good connections with the wholesalers and retailers here and develop a good market for your products if appointed as your agent."",""What?! Isn't there a law against that, I think there is some legislation that requires employers to give their employees a fair rate of wages. You should know your rights! If you are putting in so many hours, they should give you some kind of compensation.""]"	[1216,227,537,1061,426]	[1216,227,537,1061,426]	5	44	.	13	5		"Speaker 1: I'm looking for some black pumps to go with my evening gown. Could you show me what you have?
Speaker 2: Sure, we have several different styles you may choose. How high of a heel do you want?
Speaker 1: Not to high, maybe an inch or an inch in the half would be the best.
Speaker 2: "	"Speaker 1: I'm looking for some black pumps to go with my evening gown. Could you show me what you have?
Speaker 2: Sure, we have several different styles you may choose. How high of a heel do you want?
Speaker 1: To high, maybe an inch or an inch in the half would be the best.
Speaker 2: "	Speaker 2	3	-104.90619850158691	-104.89980697631836	53	53	-0.0063915252685546875	67.30411758422852	66.69895067214966	0.6051669120788574	[-179.3284912109375,-187.8069553375244,-212.58617401123047,-132.32621002197266,-149.0037498474121]	[-178.3108139038086,-186.7215714454651,-211.5693359375,-132.5497283935547,-148.84233856201172]	none	0.0
5	5	10	71	not		Is Tom in?__eou__Wrong number.__eou__Isn't this Li's residence?	No, it is not.	No, it is.	Oh, I'm sorry.	"[""I don\u2019t understand."",""Well, thanks anyway."",""Really? I\u2019m surprised."",""OK. That's fine."",""Ok, I see.""]"	[1300,71,726,987,1014]	[1300,71,726,987,1014]	5	3	.	13	5		"Speaker 1: Is Tom in?
Speaker 2: Wrong number.
Speaker 1: Isn't this Li's residence?
Speaker 2: No, it is not.
Speaker 1: "	"Speaker 1: Is Tom in?
Speaker 2: Wrong number.
Speaker 1: Isn't this Li's residence?
Speaker 2: No, it is.
Speaker 1: "	Speaker 1	4	-6.1904296875	-6.33056640625	6	6	0.14013671875	9.902734375000001	10.171533203125001	-0.268798828125	[-13.830078125,-12.783935546875,-23.23095703125,-15.903564453125,-14.71728515625]	[-14.5947265625,-13.92724609375,-23.2109375,-16.0517578125,-14.725830078125]	none	0.0
6	6	13	81	not		I'm trying to reach Robert please.	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?	"[""What time will he be back?"",""What about going to a movie?"",""Is rice your staple food, too?"",""How do I take the pills?"",""OK. Is there a Chinese restaurant?""]"	[88,757,737,1027,982]	[88,757,737,1027,982]	5	6	?	13	5		"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is not available at the moment.
Speaker 1: "	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is available at the moment.
Speaker 1: "	Speaker 1	1	-13.354766845703125	-14.84332275390625	7	7	1.488555908203125	14.657061767578124	11.690344238281249	2.9667175292968757	[-10.06048583984375,-23.21630859375,-45.7750244140625,-27.849609375,-33.15771484375]	[-13.7462158203125,-23.0693359375,-38.74267578125,-25.295654296875,-31.814453125]	none	0.0
7	7	14	83	not		Can you connect me to Mary. Smith Hotel room?	Mrs. Smith has not checked in yet.	Mrs. Smith has checked in yet.	Can you leave a message for her to call her office?	"[""if you get the promotion, what will your new title be?"",""Will you ask him to call me collect when he\u2019s back?"",""Uh-oh. He's heating up. What are you going to do now?"",""Great. What about having a formal interview on Monday next week?"",""That's true. What kind of safety features are we talking about?""]"	[901,1128,1149,1146,255]	[901,1128,1149,1146,255]	5	11	?	13	5		"Speaker 1: Can you connect me to Mary. Smith Hotel room?
Speaker 2: Mrs. Smith has not checked in yet.
Speaker 1: "	"Speaker 1: Can you connect me to Mary. Smith Hotel room?
Speaker 2: Mrs. Smith has checked in yet.
Speaker 1: "	Speaker 1	1	-23.81512451171875	-23.149627685546875	12	12	-0.665496826171875	22.30268096923828	22.725675201416017	-0.4229942321777358	[-47.891876220703125,-31.955322265625,-46.00634002685547,-54.9573974609375,-49.77809143066406]	[-46.78582763671875,-30.27880859375,-46.40555191040039,-57.6285400390625,-48.27778625488281]	none	0.0
8	8	16	95	not		Jessie, I’m afraid I can’t come back home for dinner tonight.	Not back home for dinner again? That’s the third time this week!	Back home for dinner again? That’s the third time this week!	I’m sorry. Our company has just opened. There are always too many things to handle. You know that.	"[""It doesn't matter, Mr.Lin. I can understand. I know you are always very busy. Work must come first."",""But it would only be adding to the existing structure. We're not talking about anything new here ..."",""Have you been eating properly? Eating the right kind of food is important for your health, you know."",""Don't worry. You don't have to do anything.All you have to do is listen. You will enjoy it."",""I know. But I just can't stand her butting in when I was trying to emphasize a point.""]"	[1137,1292,1020,882,404]	[1137,1292,1020,882,404]	5	18	.	13	5		"Speaker 1: Jessie, I’m afraid I can’t come back home for dinner tonight.
Speaker 2: Not back home for dinner again? That’s the third time this week!
Speaker 1: "	"Speaker 1: Jessie, I’m afraid I can’t come back home for dinner tonight.
Speaker 2: Back home for dinner again? That’s the third time this week!
Speaker 1: "	Speaker 1	0	-58.3502197265625	-58.9315185546875	23	23	0.581298828125	5.914092254638675	4.531009674072266	1.383082580566409	[-72.45420837402344,-79.368896484375,-44.57802200317383,-61.18955993652344,-63.730873107910156]	[-70.83778381347656,-77.538330078125,-45.63801193237305,-59.48877716064453,-63.80973815917969]	none	0.0
9	9	20	149	not		May I speak to Marry?	Marry is not in right now, she went shopping with her mum.	Marry is in right now, she went shopping with her mum.	Will it be too late if I call around ten this evening?	"[""All right. Would you make coffee yourself when you are at home?"",""So have you ever been to the stamp display of the town?"",""True. So what do they do to you at your beauty spa?"",""Could you ask her to call me back when she gets in?"",""Can I go in to look for a job at their office?""]"	[52,870,217,159,1242]	[52,870,217,159,1242]	5	12	?	13	5		"Speaker 1: May I speak to Marry?
Speaker 2: Marry is not in right now, she went shopping with her mum.
Speaker 1: "	"Speaker 1: May I speak to Marry?
Speaker 2: Marry is in right now, she went shopping with her mum.
Speaker 1: "	Speaker 1	1	-34.7305908203125	-34.47442626953125	13	13	-0.25616455078125	10.175216674804688	9.431829833984374	0.7433868408203139	[-54.8123779296875,-54.1689453125,-58.8408203125,-14.134384155273438,-42.572509765625]	[-54.089141845703125,-53.51318359375,-57.8994140625,-13.247802734375,-40.78173828125]	none	0.0
