source_dataset	dataset_role	source_row_index	id	word	subset	context	w_word	wo_word	followup_metadata_only	with_without_diff	generated_from	generated_from_text	sampling_strategy	prompt_mode	top_p	temperature	base_seed	condition_seed	samples_requested	unique_samples_obtained	max_sample_draws	sample_draw	unique_rank	response	normalized_response	raw_generation	log_prob_given_P	log_prob_given_P_prime	log_prob_given_P_per_token	log_prob_given_P_prime_per_token	token_count_given_P	token_count_given_P_prime	own_log_prob	other_log_prob	own_log_prob_per_token	other_log_prob_per_token	own_context_log_prob_advantage	own_context_log_prob_advantage_per_token	own_context_win	include_context	candidate_weight_unnormalized	candidate_weight
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	500	1	1	Haha, good one! I knew you were secretly enjoying yourself. 💪 Maybe those pot bellies are hiding some hidden abs! 😉	haha, good one! i knew you were secretly enjoying yourself. 💪 maybe those pot bellies are hiding some hidden abs! 😉	Haha, good one! I knew you were secretly enjoying yourself. 💪 Maybe those pot bellies are hiding some hidden abs! 😉\n\n\n\n	-80.24544787406921	-76.53157711029053	-2.588562834647394	-2.468760551944856	31	31	-80.24544787406921	-76.53157711029053	-2.588562834647394	-2.468760551944856	-3.713870763778688	-0.1198022827025382	False	True	3.808184352468586e-06	2.1014107867946082e-06
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	500	2	2	I get it! It's not for everyone.  Some days, a pizza and a movie night sounds way more appealing than a grueling workout.  😉	i get it! it's not for everyone. some days, a pizza and a movie night sounds way more appealing than a grueling workout. 😉	I get it! It's not for everyone.  Some days, a pizza and a movie night sounds way more appealing than a grueling workout.  😉\n\nTell you what, how about we plan a movie marathon for next week?  I'll bring the popcorn!🍿\n	-75.88934636116028	-88.73556411266327	-1.9970880621357967	-2.3351464240174544	38	38	-75.88934636116028	-88.73556411266327	-1.9970880621357967	-2.3351464240174544	12.84621775150299	0.3380583618816577	True	True	0.00029685803875854953	0.00016381052676442187
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	500	3	3	Hey, no need to be embarrassed! It's totally cool if you're not into it.  I get it, sometimes it's hard to find motivation, especially when surrounded by...enthusiastic people.	hey, no need to be embarrassed! it's totally cool if you're not into it. i get it, sometimes it's hard to find motivation, especially when surrounded by...enthusiastic people.	Hey, no need to be embarrassed! It's totally cool if you're not into it.  I get it, sometimes it's hard to find motivation, especially when surrounded by...enthusiastic people. \n\nBut hey, maybe we can find something else fun to do? Bowling? Pizza? 😉	-94.78209805488586	-110.12891566753387	-1.9343285317323649	-2.2475288911741607	49	49	-94.78209805488586	-110.12891566753387	-1.9343285317323649	-2.2475288911741607	15.34681761264801	0.313200359441796	True	True	1.8515310747650356e-12	1.0217014231662662e-12
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	500	4	4	hahaha! You're so funny!  Don't worry, I get it. It's not for everyone.	hahaha! you're so funny! don't worry, i get it. it's not for everyone.	hahaha! You're so funny!  Don't worry, I get it. It's not for everyone.  \n\nHey, maybe we can switch gears? Want to talk about something else?\n\n\n\n\n	-74.87152314186096	-82.08437502384186	-2.495717438062032	-2.736145834128062	30	30	-74.87152314186096	-82.08437502384186	-2.495717438062032	-2.736145834128062	7.212851881980896	0.2404283960660298	True	True	0.0008214550835598486	0.00045329070593469174
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	500	5	5	Whoa, whoa, whoa! Hold on there!  Maybe not everyone is into the same things, and that's okay!	whoa, whoa, whoa! hold on there! maybe not everyone is into the same things, and that's okay!	Whoa, whoa, whoa! Hold on there!  Maybe not everyone is into the same things, and that's okay!  \n\nIt's great you can laugh about it though! You're right, not everyone's a health nut, and that's perfectly fine.  \n\nSo, what	-90.63533055782318	-88.4939888715744	-2.923720340574941	-2.854644802308852	31	31	-90.63533055782318	-88.4939888715744	-2.923720340574941	-2.854644802308852	-2.14134168624878	-0.0690755382660897	False	True	1.170709781665249e-10	6.460144614066735e-11
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	500	6	6	Hehehe, I hear ya! It's not for everyone, but gotta love the endorphin rush, right?	hehehe, i hear ya! it's not for everyone, but gotta love the endorphin rush, right?	Hehehe, I hear ya! It's not for everyone, but gotta love the endorphin rush, right? \n\nMaybe next time we can do something a little less...intense?  How about karaoke? 😉🎤\n\n\n\n\n	-72.63245368003845	-75.35176837444305	-2.504567368277188	-2.5983368404980363	29	29	-72.63245368003845	-75.35176837444305	-2.504567368277188	-2.5983368404980363	2.719314694404602	0.0937694722208482	True	True	0.00770902285888835	0.004253949465658864
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	500	7	7	Haha, I get it! Sometimes you just need to embrace the chaos, right? Maybe we can swap our workout gear for comfy sweats and grab some pizza next time?	haha, i get it! sometimes you just need to embrace the chaos, right? maybe we can swap our workout gear for comfy sweats and grab some pizza next time?	Haha, I get it! Sometimes you just need to embrace the chaos, right? Maybe we can swap our workout gear for comfy sweats and grab some pizza next time?\n\n\n\n\n	-76.2591552734375	-111.44746780395508	-1.9553629557291667	-2.857627379588592	39	39	-76.2591552734375	-111.44746780395508	-1.9553629557291667	-2.857627379588592	35.18831253051758	0.9022644238594248	True	True	0.00020508922498504477	0.0001131711781126212
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	500	8	8	hahaha!  I hear you! It's tough to get motivated sometimes, but hey, at least we're making an effort, right?  Maybe we can grab a pizza after and pretend we worked out all that calories off?  🍕	hahaha! i hear you! it's tough to get motivated sometimes, but hey, at least we're making an effort, right? maybe we can grab a pizza after and pretend we worked out all that calories off? 🍕	hahaha!  I hear you! It's tough to get motivated sometimes, but hey, at least we're making an effort, right?  Maybe we can grab a pizza after and pretend we worked out all that calories off?  🍕\n\n\n\n	-94.01412808895113	-114.69539940357208	-1.7093477834354749	-2.085370898246765	55	55	-94.01412808895113	-114.69539940357208	-1.7093477834354749	-2.085370898246765	20.68127131462097	0.3760231148112904	True	True	3.9907647161770446e-12	2.202161252171928e-12
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	500	9	9	Haha, I get it! It's definitely not for everyone.	haha, i get it! it's definitely not for everyone.	Haha, I get it! It's definitely not for everyone.\n\nBut hey, at least we can laugh about it, right? 😜  \n\nWhat are your plans for the rest of the day?  Maybe something a little less... strenuous?\n\n\n\n\n	-71.18980312347412	-73.00257802009583	-3.746831743340744	-3.842240948426096	19	19	-71.18980312347412	-73.00257802009583	-3.746831743340744	-3.842240948426096	1.812774896621704	0.0954092050853527	True	True	0.032623797256365085	0.01800227959454898
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	500	10	10	I hear you!  Who needs health when you can have fun, right? 😉	i hear you! who needs health when you can have fun, right? 😉	I hear you!  Who needs health when you can have fun, right? 😉\n\nMaybe we can hit up that new burger joint after class? My treat! 🍔 🍟 🥤\n	-67.76708984375	-75.07003021240234	-3.080322265625	-3.4122741005637427	22	22	-67.76708984375	-75.07003021240234	-3.080322265625	-3.4122741005637427	7.302940368652344	0.3319518349387427	True	True	1.0	0.5518143535862194
