particle	train_fold	source_row_index	pool_row_index	component	layer_index	position_label	position_order	corruption_mode	clean_patch_position	corrupted_patch_position	clean_log_prob_per_token	corrupted_log_prob_per_token	patched_log_prob_per_token	raw_delta_per_token	restoration	restoration_clipped
only	0	4	245	resid	0	utterance_final_lexical	0	prompt_without	47	46	-1.013217118051317	-1.1893299288219876	-1.19128331873152	-0.0019533899095323104	-0.011091696856033728	0.0
only	0	5	275	resid	0	utterance_final_lexical	0	prompt_without	66	65	-0.5657970779820493	-0.6794121641861764	-0.6793255555002313	8.660868594512205e-05	0.0007622991702837426	0.0007622991702837426
only	0	7	190	resid	0	utterance_final_lexical	0	prompt_without	45	44	-0.6242594242095947	-0.8087205410003662	-0.8029742240905762	0.005746316909789995	0.031151914342510804	0.031151914342510804
only	0	8	262	resid	0	utterance_final_lexical	0	prompt_without	53	52	-0.35824669400850934	-0.49106032649676007	-0.48854003349939984	0.0025202929973602295	0.01897616193565962	0.01897616193565962
only	0	4	245	resid	1	utterance_final_lexical	0	prompt_without	47	46	-1.013217118051317	-1.1893299288219876	-1.1933993366029527	-0.004069407780965095	-0.023106824331275755	0.0
only	0	5	275	resid	1	utterance_final_lexical	0	prompt_without	66	65	-0.5657970779820493	-0.6794121641861764	-0.6810236479106703	-0.001611483724493823	-0.014183712553793618	0.0
only	0	7	190	resid	1	utterance_final_lexical	0	prompt_without	45	44	-0.6242594242095947	-0.8087205410003662	-0.749891710281372	0.05882883071899414	0.318922663716288	0.318922663716288
only	0	8	262	resid	1	utterance_final_lexical	0	prompt_without	53	52	-0.35824669400850934	-0.49106032649676007	-0.4782170255978902	0.01284330089886987	0.09670167631328089	0.09670167631328089
only	0	4	245	resid	2	utterance_final_lexical	0	prompt_without	47	46	-1.013217118051317	-1.1893299288219876	-1.2030552095837064	-0.01372528076171875	-0.07793459602204317	0.0
only	0	5	275	resid	2	utterance_final_lexical	0	prompt_without	66	65	-0.5657970779820493	-0.6794121641861764	-0.6705023865950736	0.008909777591102896	0.07842072640859589	0.07842072640859589
only	0	7	190	resid	2	utterance_final_lexical	0	prompt_without	45	44	-0.6242594242095947	-0.8087205410003662	-0.7500455379486084	0.05867500305175777	0.31808873367231644	0.31808873367231644
only	0	8	262	resid	2	utterance_final_lexical	0	prompt_without	53	52	-0.35824669400850934	-0.49106032649676007	-0.4630032579104106	0.028057068586349487	0.21125142096261493	0.21125142096261493
only	0	4	245	resid	3	utterance_final_lexical	0	prompt_without	47	46	-1.013217118051317	-1.1893299288219876	-1.2066376209259033	-0.017307692103915695	-0.09827616757791291	0.0
only	0	5	275	resid	3	utterance_final_lexical	0	prompt_without	66	65	-0.5657970779820493	-0.6794121641861764	-0.6621670221027575	0.017245142083418985	0.1517856708961643	0.1517856708961643
only	0	7	190	resid	3	utterance_final_lexical	0	prompt_without	45	44	-0.6242594242095947	-0.8087205410003662	-0.6635675430297852	0.145152997970581	0.7869029554625517	0.7869029554625517
only	0	8	262	resid	3	utterance_final_lexical	0	prompt_without	53	52	-0.35824669400850934	-0.49106032649676007	-0.453437199195226	0.037623127301534054	0.2832776018294836	0.2832776018294836
only	0	4	245	resid	4	utterance_final_lexical	0	prompt_without	47	46	-1.013217118051317	-1.1893299288219876	-1.205226765738593	-0.015896836916605483	-0.09026507979198581	0.0
