id	word	context	w_word	wo_word	followup	log_prob_with_particle	log_prob_without_particle	prob_with_particle	prob_without_particle	log_prob_diff	prob_ratio	include_context
5	just	[NO CONTEXT]	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m not into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	-95.96843719482422	-95.3439826965332	2.09622207136604e-42	3.9141226676326475e-42	-0.6244544982910156	0.5355534941969214	False
16	just	[NO CONTEXT]	You are in luck. We just receive a shipment of several different styles of white purses.	You are in luck. We receive a shipment of several different styles of white purses.	They must be popular again this season.	-33.8505859375	-34.87890625	1.990111082262029e-15	7.116779017645741e-16	1.0283203125	2.796364868612101	False
35	just	[NO CONTEXT]	In that case, I might have just the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell just by looking at it that it was superbly made.	In that case, I might have the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell by looking at it that it was superbly made.	Those are beautiful. Do you have any in a size six?	-41.7767333984375	-42.5313720703125	7.18778723495665e-19	3.3795572053350536e-19	0.754638671875	2.1268428963444768	False
36	just	[NO CONTEXT]	I'm fine. I'm just so touched by the sad story.	I'm fine. I'm so touched by the sad story.	So I can say now that you must have enjoyed the opera. Which scene is your favorite?	-73.691650390625	-73.368896484375	9.911123162323514e-33	1.3686522430569806e-32	-0.32275390625	0.7241520417331379	False
37	just	[NO CONTEXT]	Just Mr. White.	Mr. White.	What did he want?	-19.412109375	-21.626953125	3.710462240357005e-09	4.050732807768329e-10	2.21484375	9.159977753262899	False
66	just	[NO CONTEXT]	I don't think so. I'm just shaken up a little.	I don't think so. I'm shaken up a little.	Maybe I'd better call an ambulance.	-30.120361328125	-29.80224609375	8.296468761006219e-14	1.140378374932368e-13	-0.318115234375	0.7275189483927433	False
77	just	[NO CONTEXT]	I'll just try him again.	I'll try him again.	Do you want me to have him give you a call?	-35.49716567993164	-35.31086730957031	3.8351011423788106e-16	4.620459589230398e-16	-0.18629837036132812	0.8300259029032219	False
95	just	[NO CONTEXT]	I’m sorry. Our company has just opened. There are always too many things to handle. You know that.	I’m sorry. Our company has opened. There are always too many things to handle. You know that.	You don’t have to explain. Suit yourself.	-33.84698486328125	-33.74981689453125	1.9972905390928207e-15	2.2011049854388478e-15	-0.09716796875	0.9074035778873168	False
99	just	[NO CONTEXT]	Sure, just ask. What can I do for you?	Sure, ask. What can I do for you?	My car has a problem starting. Could you please take a look at it for me?	-52.160255432128906	-52.14820861816406	2.2237650031053172e-23	2.25071629908054e-23	-0.01204681396484375	0.9880254583901876	False
147	just	[NO CONTEXT]	Take the No. 7 bus. There's a bus stop just over there.	Take the No. 7 bus. There's a bus stop over there.	Will it take me straight there?	-32.171875	-32.083984375	1.0664296591657927e-14	1.1644011574459732e-14	-0.087890625	0.9158610435469906	False
150	just	[NO CONTEXT]	No, it's just a couple of minutes.	No, it's a couple of minutes.	Thanks very much.	-18.73900604248047	-18.58594512939453	7.273661387914542e-09	8.476695629671812e-09	-0.1530609130859375	0.8580774520738752	False
186	just	[NO CONTEXT]	Mom, just ten more minutes. The show is going to be over soon.	Mom, ten more minutes. The show is going to be over soon.	Peter, if you don't do it soon, I will throw your toys in the trash can.	-55.6497802734375	-55.23785400390625	6.785900823684913e-25	1.0244831361045493e-24	-0.41192626953125	0.662373111331762	False
199	just	[NO CONTEXT]	Did somebody hit you? Or did you just fall?	Did somebody hit you? Or did you fall?	Mom! I was just picking my nose, and now it's bleeding.	-48.92333984375	-49.45361328125	5.660613067256179e-22	3.330954050529185e-22	0.5302734375	1.6993969239404196	False
