id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	removal_log_prob_delta_per_token	removal_log_prob_delta_per_token_robust_z	removal_upper_iqr_outlier	removal_upper_mad_outlier
462	just	I'm looking for some fresh produce that's on sale.	Well, we just got in some mangoes.	Well, we got in some mangoes.	Mangoes. What are they?	-19.4030122756958	-26.3649263381958	-1.3859294482639857	-2.0280712567842922	14	13	-13.407075881958008	-12.902178764343262	-1.2188250801780007	-1.1729253422130237	11	11	-87.86188983917236	-94.31139945983887	-2.142972922906643	-2.3577849864959717	41	40	True	0.6421418085203066	4.363991499912136	True	True
569	just	May I help you?	I'm just browsing, thanks.	I'm browsing, thanks.	We're on clearance sale now. Prices have up to twenty percent off. Do not miss the chance.	-12.84124755859375	-19.14361572265625	-1.1673861416903408	-1.914361572265625	11	10	-63.812997817993164	-64.73035717010498	-2.5525199127197267	-2.589214286804199	25	25	-108.07036781311035	-115.29986095428467	-2.40156372918023	-2.6204513853246514	45	44	True	0.7469754305752843	5.154001058256272	True	True
976	just	Is there anything I can do for you?__eou__I'm looking for a black, leather bag.__eou__How's this?	I'm just looking.	I'm looking.	If you need any help, let me know.	-10.396346092224121	-14.961043357849121	-1.15514956580268	-1.8701304197311401	9	8	-15.179559707641602	-16.628585815429688	-1.084254264831543	-1.187756129673549	14	14	-95.5609188079834	-101.57122421264648	-1.6476020484135068	-1.781951301976254	58	57	True	0.7149808539284601	4.912895000193052	True	True
1157	just	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	-16.9339599609375	-23.2236328125	-1.2095685686383928	-1.7864332932692308	14	13	-5.9746551513671875	-6.024559020996094	-0.9957758585611979	-1.0040931701660156	6	6	-55.063392639160156	-61.41603088378906	-1.668587655732126	-1.9192509651184082	33	32	True	0.576864724630838	3.8720737429689707	True	True
1246	just	Good afternoon, ma'am. Can I help you find anything?	No, thanks. I'm just looking.	No, thanks. I'm looking.	We have a special on these skirts this week. Would you like to try one on?	-8.86703872680664	-14.23666763305664	-0.6820799020620493	-1.1863889694213867	13	12	-31.120017051696777	-33.320241928100586	-1.4145462296225808	-1.5145564512772993	22	22	-83.27027034759521	-90.83450889587402	-1.6013513528383696	-1.7810688018798828	52	51	True	0.5043090673593374	3.3253058107652484	True	False
1695	just	Good afternoon, ma'am. Can I help you find anything?	No, thanks. I'm just looking.	No, thanks. I'm looking.	We have a special on these skirts this week. Would you like to try one on?	-8.86703872680664	-14.23666763305664	-0.6820799020620493	-1.1863889694213867	13	12	-31.120017051696777	-33.320241928100586	-1.4145462296225808	-1.5145564512772993	22	22	-83.27027034759521	-90.83450889587402	-1.6013513528383696	-1.7810688018798828	52	51	True	0.5043090673593374	3.3253058107652484	True	False
2216	just	Are you ready to go shopping?	Just a minute. I need to make a list of thinks that we need.	A minute. I need to make a list of thinks that we need.	Good idea. Have you written down potatoes, carrots, and onions?	-41.478126525878906	-49.56309700012207	-2.0739063262939452	-2.6085840526380037	20	19	-33.41916084289551	-33.717288970947266	-1.8566200468275282	-1.8731827206081815	18	18	-108.48335266113281	-116.82713508605957	-2.21394597267618	-2.433898647626241	49	48	True	0.5346777263440585	3.554159211055485	True	True
2273	just	How do you use an ATM card, Billy?__eou__It’s easy grandpa. Insert you card into the machine here. Then wait a moment. Ok. Now you enter your PIN. It should have four numbers.	Oh yes. I’Ve got it written down here. Just a minute.	Oh yes. I’Ve got it written down here. A minute.	You really shouldn’t write it down. You should memorise it. You can change it to a more convenient number if you like.	-39.173885345458984	-45.787166595458984	-1.9586942672729493	-2.4098508734452095	20	19	-51.97914981842041	-52.44400215148926	-1.6767467683361423	-1.6917420048867502	31	31	-230.19671630859375	-237.2582483291626	-2.2568305520450367	-2.349091567615471	102	101	True	0.4511566061722603	2.924757288600428	True	False
2361	just	Give me a pack of first-class stamps, please.__eou__Here you are. That will be five dollars. Anything else?__eou__Yes. I want some post cards and some airmail stamps. I want to send some letters to South America.	Just a moment, I'll look up the rate for air-mail letters to South America.	A moment, I'll look up the rate for air-mail letters to South America.	Can you tell me how much it will cost to send a package to Colombia? Also, I what to know how long it will take.	-35.143301010131836	-44.620744705200195	-1.5974227731878108	-2.124797366914295	22	21	-51.66112422943115	-52.1419792175293	-1.6144101321697235	-1.6294368505477905	32	32	-198.489737033844	-208.48849058151245	-1.7411380441565263	-1.8450308901018801	114	113	True	0.5273745937264842	3.4991239612888325	True	False
2485	just	I'm looking for some fresh produce that's on sale.	Well, we just got in some mangoes.	Well, we got in some mangoes.	Mangoes. What are they?	-19.4030122756958	-26.3649263381958	-1.3859294482639857	-2.0280712567842922	14	13	-13.407075881958008	-12.902178764343262	-1.2188250801780007	-1.1729253422130237	11	11	-87.86188983917236	-94.31139945983887	-2.142972922906643	-2.3577849864959717	41	40	True	0.6421418085203066	4.363991499912136	True	True
2522	just	I'm searching for an old music box.__eou__You came to the right place. Any particular decade?__eou__If you had a box made in the' 20s, that would be nice.	We just got one in yesterday, so now we have six.	We got one in yesterday, so now we have six.	Would any of them have dancing figures?	-37.4281063079834	-44.54509878158569	-2.2016533122343174	-2.784068673849106	17	16	-23.859950065612793	-23.759655952453613	-1.9883291721343994	-1.9799713293711345	12	12	-180.8834466934204	-187.88520336151123	-2.289663882195195	-2.408784658480913	79	78	True	0.5824153616147885	3.9139024634334767	True	True
2533	just	Ahhs! I'm beat!__eou__What happened to you? You look like you got hit by a tornado!	I just got back from fighting the crowds.	I got back from fighting the crowds.	You mean at the mall? Was there a sale?	-28.00478458404541	-32.815972328186035	-2.1542141987727237	-2.7346643606821694	13	12	-20.83950424194336	-21.35073471069336	-1.389300282796224	-1.423382314046224	15	15	-128.7291259765625	-134.04376220703125	-2.2194676892510774	-2.3516449510005484	58	57	True	0.5804501619094458	3.899093029963157	True	True
2554	just	Do you think this blouse really suits me?	Sure.It' s just right.	Sure.It' s right.	Not too tight in the waist?	-30.18256378173828	-35.19330596923828	-2.74386943470348	-3.519330596923828	11	10	-20.811599731445312	-21.45635223388672	-1.891963611949574	-1.9505774758078835	11	11	-98.01894187927246	-103.66857719421387	-2.800541196550642	-3.0490757998298195	35	34	True	0.7754611622203482	5.36866501658278	True	True
2612	just	Can I bring you anything else?	No, thank you. Just the check.	No, thank you. The check.	Let me get this.	-13.166370391845703	-17.896839141845703	-1.0127977224496694	-1.4914032618204753	13	12	-11.723684310913086	-10.470145225524902	-1.302631590101454	-1.1633494695027669	9	9	-65.40225028991699	-68.87722682952881	-1.981886372421727	-2.1524133384227753	33	32	True	0.47860553937080597	3.1316080981797114	True	False
2640	just	Hello, sir. Is there anything I can help you find?	Um ... Uh ... I'm just looking, thanks.	Um ... Uh ... I'm looking, thanks.	Need a gift for your girlfriend or wife ...	-31.36758804321289	-38.94647407531738	-2.091172536214193	-2.781891005379813	15	14	-28.025856018066406	-27.239233016967773	-2.1558350783128004	-2.095325616689829	13	13	-103.94089698791504	-110.7306900024414	-2.3097977108425565	-2.5166065909645776	45	44	True	0.6907184691656201	4.7300575145167985	True	True
2659	just	Besides, yours don't have side pockets like mine.__eou__Cool! They're big! What have you got in there?	Just the necessities	The necessities	Are you planning a trip to the Outback?	-17.94711971282959	-18.93735408782959	-2.2433899641036987	-2.70533629826137	8	7	-25.572558403015137	-25.40345335006714	-1.8266113145010812	-1.8145323821476527	14	14	-145.1535758972168	-145.9747052192688	-2.6880291832817926	-2.7542397211182794	54	53	True	0.46194633415767106	3.006066968389394	True	False
2762	just	Hi, can I help you?	No, thanks. I'm just looking.	No, thanks. I'm looking.	All right. If you need any help, just let me know. My name is Greg.	-11.830045700073242	-16.430143356323242	-0.9100035153902494	-1.3691786130269368	13	12	-28.52809429168701	-30.104620933532715	-1.2403519257255222	-1.3088965623275093	23	23	-71.39541530609131	-77.57326030731201	-1.5190513894913045	-1.6863752240720002	47	46	True	0.4591750976366874	2.9851833692434893	True	False
2795	just	Ahhs! I'm beat!__eou__What happened to you? You look like you got hit by a tornado!	I just got back from fighting the crowds.	I got back from fighting the crowds.	You mean at the mall? Was there a sale?	-28.00478458404541	-32.815972328186035	-2.1542141987727237	-2.7346643606821694	13	12	-20.83950424194336	-21.35073471069336	-1.389300282796224	-1.423382314046224	15	15	-128.7291259765625	-134.04376220703125	-2.2194676892510774	-2.3516449510005484	58	57	True	0.5804501619094458	3.899093029963157	True	True
2798	just	Hello, sir. Is there anything I can help you find?	Um ... Uh ... I'm just looking, thanks.	Um ... Uh ... I'm looking, thanks.	Need a gift for your girlfriend or wife?	-31.36758804321289	-38.94647407531738	-2.091172536214193	-2.781891005379813	15	14	-23.291481018066406	-22.707983016967773	-1.7916523860051081	-1.7467679243821363	13	13	-99.20652198791504	-106.1994400024414	-2.204589377509223	-2.413623636419123	45	44	True	0.6907184691656201	4.7300575145167985	True	True
