id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	observer_mode
3	not	Would you mind waiting a while?__eou__Well, how long will it be?	I'm not sure. But I'll get a table ready as fast as I can.	I'm sure. But I'll get a table ready as fast as I can.	OK. We'll wait.	-94.85505604743958	-109.3880124092102	-4.124132871627808	-4.972182382236827	23	22	-31.36916148662567	-28.34039068222046	-2.8517419533296064	-2.576399152929133	11	11	-260.6074014902115	-272.0825468301773	-4.343456691503524	-4.611568590341988	60	59	True	False
5	not	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	-159.85788798332214	-167.6654441356659	-3.717625301937724	-3.992034384182521	43	42	-101.15237486362457	-104.54871892929077	-2.5936506375288353	-2.6807363828023276	39	39	-551.5096591711044	-562.6928379535675	-3.726416616020976	-3.8278424350582823	148	147	True	False
7	not	Can you manage chopsticks?	Why not? See.	Why? See.	Good mastery. How do you like our Chinese food?	-91.86623394489288	-99.15346539020538	-9.186623394489288	-11.01705171002282	10	9	-62.58108711242676	-66.86716055870056	-3.9113179445266724	-4.179197534918785	16	16	-230.24474954605103	-241.84149193763733	-6.059072356475027	-6.536256538855063	38	37	True	False
15	not	Is everything to your satisfaction?	No, the steak was recommended, but it is not very fresh.	No, the steak was recommended, but it is very fresh.	Oh! Sorry to hear that. This is quite unusual as we have steak from the market every day.	-113.36818253993988	-120.72572648525238	-5.96674644947052	-6.706984804736243	19	18	-92.54959416389465	-87.00751519203186	-3.5595997755344095	-3.3464428920012255	26	26	-276.557381272316	-278.3434280157089	-4.851883881970456	-4.970418357423374	57	56	True	False
35	not	I'm looking for some black pumps to go with my evening gown. Could you show me what you have?__eou__Sure, we have several different styles you may choose. How high of a heel do you want?	Not to high, maybe an inch or an inch in the half would be the best.	To high, maybe an inch or an inch in the half would be the best.	In that case, I might have just the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell just by looking at it that it was superbly made.	-112.25991821289062	-116.54380798339844	-4.880866009256114	-5.297445817427202	23	22	-154.7317168712616	-152.88920140266418	-2.6677882219183036	-2.6360207138390375	58	58	-511.8500084877014	-514.2674379348755	-3.8197761827440404	-3.8666724656757556	134	133	True	False
71	not	Is Tom in?__eou__Wrong number.__eou__Isn't this Li's residence?	No, it is not.	No, it is.	Oh, I'm sorry.	-47.177589416503906	-52.082252502441406	-4.288871765136719	-5.208225250244141	11	10	-29.522770643234253	-20.35021996498108	-2.683888240294023	-1.8500199968164617	11	11	-273.1585237979889	-268.8906362056732	-5.25304853457671	-5.272365415797514	52	51	True	False
81	not	I'm trying to reach Robert please.	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?	-76.4746904373169	-84.87316989898682	-5.882668495178223	-7.072764158248901	13	12	-21.54479491710663	-23.05190873146057	-1.7953995764255524	-1.9209923942883809	12	12	-182.14456021785736	-192.05082488059998	-4.670373338919419	-5.053969075805263	39	38	True	False
83	not	Can you connect me to Mary. Smith Hotel room?	Mrs. Smith has not checked in yet.	Mrs. Smith has checked in yet.	Can you leave a message for her to call her office?	-88.92152619361877	-100.71779084205627	-6.351537585258484	-7.747522372465867	14	13	-19.980295181274414	-22.203125715255737	-1.175311481251436	-1.3060662185444551	17	17	-221.39134883880615	-235.40958952903748	-4.612319767475128	-5.008714670830584	48	47	True	False
95	not	Jessie, I’m afraid I can’t come back home for dinner tonight.	Not back home for dinner again? That’s the third time this week!	Back home for dinner again? That’s the third time this week!	I’m sorry. Our company has just opened. There are always too many things to handle. You know that.	-80.69126319885254	-81.83746337890625	-4.034563159942627	-4.3072349146792765	20	19	-98.35413217544556	-96.91627180576324	-3.512647577694484	-3.4612954216344014	28	28	-278.88329899311066	-278.56334710121155	-3.9840471284730095	-4.037149957988573	70	69	True	False
149	not	May I speak to Marry?	Marry is not in right now, she went shopping with her mum.	Marry is in right now, she went shopping with her mum.	Will it be too late if I call around ten this evening?	-104.3671110868454	-117.11690092086792	-5.21835555434227	-6.164047416887786	20	19	-54.32832896709442	-52.92655396461487	-3.018240498171912	-2.9403641091452704	18	18	-237.28985118865967	-248.66961932182312	-4.652742180169797	-4.973392386436462	51	50	True	False
193	not	Peter, wash your hands first, and then have some dessert.__eou__Mom, can I have some ice cream?	Not today, Honey. Don't eat too much ice cream.	Today, Honey. Don't eat too much ice cream.	Mom, can I have one more piece of cake?	-96.67568254470825	-101.83624649047852	-5.370871252483791	-5.990367440616383	18	17	-29.55199956893921	-32.99280595779419	-1.8469999730587006	-2.062050372362137	16	16	-281.00868451595306	-289.57219207286835	-4.194159470387359	-4.38745745564952	67	66	True	False
226	not	Do you have any plan to buy a house in this city?__eou__Absolutely we need a house here. But what makes me upset is the prices in this city.	Our monthly salary can not buy one square meter of the house here.	Our monthly salary can buy one square meter of the house here.	It is depressing to hear the price goes higher and higher.	-102.09860229492188	-99.76318359375	-5.3736106471011515	-5.542399088541667	19	18	-52.596405386924744	-54.57116138935089	-3.0939061992308674	-3.2100683170206405	17	17	-343.01524019241333	-342.46662735939026	-4.341965065726751	-4.39059778665885	79	78	True	False
