particle	train_fold	source_row_index	pool_row_index	component	layer_index	position_label	position_order	corruption_mode	clean_patch_position	corrupted_patch_position	clean_log_prob_per_token	corrupted_log_prob_per_token	patched_log_prob_per_token	raw_delta_per_token	restoration	restoration_clipped
not	0	122	73	resid	0	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-1.7215278063501631	0.013658659798758244	0.01094752176779508	0.01094752176779508
not	0	124	1	resid	0	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-2.795080884297689	0.00271739959716788	0.0011800033617160967	0.0011800033617160967
not	0	133	197	resid	0	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.6142784173672016	-0.0003356658495390352	-0.00036179376766879557	0.0
not	0	134	116	resid	0	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-1.736574979389415	0.021661190425648513	0.02253492539997628	0.02253492539997628
not	0	122	73	resid	1	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-1.6880164742469788	0.0471699919019426	0.037807114368584055	0.037807114368584055
not	0	124	1	resid	1	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-2.7623306274414063	0.0354676564534504	0.015401472014230777	0.015401472014230777
not	0	133	197	resid	1	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.614535505955036	-0.0005927544373733884	-0.0006388938925250301	0.0
not	0	134	116	resid	1	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-1.6859260376761942	0.07231013213886928	0.07522686433162921	0.07522686433162921
not	0	122	73	resid	2	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-1.332140862941742	0.4030456032071794	0.32304417706676003	0.32304417706676003
not	0	124	1	resid	2	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-2.625952434539795	0.17184584935506164	0.07462232648715708	0.07462232648715708
not	0	133	197	resid	2	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.6129356714395375	0.001007080078125	0.0010854702565345634	0.0010854702565345634
not	0	134	116	resid	2	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-1.0329874333213358	0.7252487364937277	0.754502677468794	0.754502677468794
not	0	122	73	resid	3	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-0.5340049948011126	1.2011814713478088	0.9627562658708116	0.9627562658708116
not	0	124	1	resid	3	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-1.2102940718332926	1.5875042120615641	0.689357689212677	0.689357689212677
not	0	133	197	resid	3	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.6085071105223436	0.005435640995318902	0.0058587462444930375	0.0058587462444930375
not	0	134	116	resid	3	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-0.911042521981632	0.8471936478334314	0.8813664105299779	0.8813664105299779
not	0	122	73	resid	4	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-0.45347544125148226	1.281711024897439	1.0273013276429444	1.0
not	0	124	1	resid	4	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-0.830816388130188	1.9669818957646688	0.8541420451581884	0.8541420451581884
not	0	133	197	resid	4	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.6027005360676692	0.011242215449993376	0.012117299064480629	0.012117299064480629
not	0	134	116	resid	4	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-0.9142136573791504	0.8440225124359131	0.8780673628686044	0.8780673628686044
not	0	122	73	resid	5	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-0.44187655619212557	1.2933099099567957	1.0365979239811154	1.0
not	0	124	1	resid	5	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-0.8833921432495118	1.914406140645345	0.83131155388623	0.83131155388623
not	0	133	197	resid	5	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.6034083182995136	0.010534433218148953	0.011354423720743155	0.011354423720743155
