id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	removal_log_prob_delta_per_token	removal_upper_iqr_outlier
462	just	I'm looking for some fresh produce that's on sale.	Well, we just got in some mangoes.	Well, we got in some mangoes.	Mangoes. What are they?	-19.81735134124756	-27.23493766784668	-1.4155250958033971	-2.0949952052189755	14	13	-13.876529693603516	-13.616826057434082	-1.2615026994185017	-1.237893277948553	11	11	-93.93300914764404	-101.0683250427246	-2.13484111699191	-2.3504261637842934	44	43	True	0.6794701094155784	True
569	just	May I help you?	I'm just browsing, thanks.	I'm browsing, thanks.	We're on clearance sale now. Prices have up to twenty percent off. Do not miss the chance.	-13.151519775390623	-19.371063232421875	-1.0116553673377404	-1.6142552693684895	13	12	-61.133646965026855	-60.27589988708496	-2.3512941140394945	-2.31830384181096	26	26	-112.81594944000244	-118.1959342956543	-2.3023663151020908	-2.4624152978261318	49	48	True	0.6025999020307491	True
976	just	Is there anything I can do for you?__eou__I'm looking for a black, leather bag.__eou__How's this?	I'm just looking.	I'm looking.	If you need any help, let me know.	-10.904364347457886	-16.325018644332886	-0.9913058497688988	-1.6325018644332885	11	10	-9.735514640808104	-12.368840217590332	-0.6953939029148647	-0.883488586970738	14	14	-92.19302821159364	-100.25652956962584	-1.4183542801783635	-1.566508274525404	65	64	True	0.6411960146643897	True
997	just	Excuse me. You can't leave your car here.	Oh, but I Just want to pick up a package. It won't take long.	Oh, but I Want to pick up a package. It won't take long.	I'm afraid you'll have to find a parking meter.	-32.84076118469238	-41.57673645019531	-1.3683650493621826	-1.807684193486753	24	23	-16.04377269744873	-15.92307472229004	-0.8913207054138184	-0.8846152623494467	18	18	-105.28530883789062	-113.8947286605835	-1.7844967599642478	-1.9637022182859225	59	58	True	0.4393191441245703	True
1052	just	It's time to get up!	I just went to bed!	I went to bed!	You shouldn't have stayed up so late watching TV. I told you we had to get an early start.	-12.821528434753418	-17.523469924926758	-1.1655934940684924	-1.7523469924926758	11	10	-33.63252830505371	-35.72095441818237	-1.2456491964834708	-1.3229983117845323	27	27	-88.4358606338501	-95.22851037979126	-1.7340364830166686	-1.9045702075958253	51	50	True	0.5867534984241833	True
1157	just	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	-15.506473541259766	-20.79184341430664	-0.9691545963287354	-1.386122894287109	16	15	-4.313468933105469	-4.243331909179688	-0.7189114888509115	-0.7072219848632812	6	6	-60.27947616577149	-65.47748374938965	-1.6744298934936523	-1.8707852499825612	36	35	True	0.41696829795837376	True
1246	just	Good afternoon, ma'am. Can I help you find anything?	No, thanks. I'm just looking.	No, thanks. I'm looking.	We have a special on these skirts this week. Would you like to try one on?	-8.23493766784668	-13.806483268737791	-0.548995844523112	-0.9861773763384136	15	14	-25.65934705734253	-27.32963180541992	-1.166333957151933	-1.242255991155451	22	22	-85.6743311882019	-92.90974521636964	-1.529898771217891	-1.6892680948430845	56	55	True	0.4371815318153016	True
1695	just	Good afternoon, ma'am. Can I help you find anything?	No, thanks. I'm just looking.	No, thanks. I'm looking.	We have a special on these skirts this week. Would you like to try one on?	-8.23493766784668	-13.806483268737791	-0.548995844523112	-0.9861773763384136	15	14	-25.65934705734253	-27.32963180541992	-1.166333957151933	-1.242255991155451	22	22	-85.6743311882019	-92.90974521636964	-1.529898771217891	-1.6892680948430845	56	55	True	0.4371815318153016	True
2164	just	I love breathing fresh air in the suburb places, while sitting in the morning sunshine.__eou__I can't agree more, honey. We need to get away from work from time to time.	Yeah, just return to nature and feel the thrills of its beauty.	Yeah, return to nature and feel the thrills of its beauty.	We are nor alone here. So many other families!	-49.60811614990234	-57.22542572021485	-2.610953481573808	-3.1791903177897134	19	18	-57.88374900817871	-57.60101795196533	-3.858916600545248	-3.840067863464356	15	15	-257.384774684906	-264.7330312728882	-3.1388387156695856	-3.268309028060348	82	81	True	0.5682368362159056	True
2273	just	How do you use an ATM card, Billy?__eou__It’s easy grandpa. Insert you card into the machine here. Then wait a moment. Ok. Now you enter your PIN. It should have four numbers.	Oh yes. I’Ve got it written down here. Just a minute.	Oh yes. I’Ve got it written down here. A minute.	You really shouldn’t write it down. You should memorise it. You can change it to a more convenient number if you like.	-37.85914993286133	-44.91482925415039	-1.802816663469587	-2.24574146270752	21	20	-49.048991203308105	-49.06859302520752	-1.5327809751033783	-1.533393532037735	32	32	-235.0037660598755	-242.0898962020874	-2.217016660942221	-2.3056180590674997	106	105	True	0.44292479923793304	True
