id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	removal_log_prob_delta_per_token	removal_upper_iqr_outlier
659	only	Mmmm ... This apartment seems a little expensive. Do you have any cheap studios?	Actually, the one-bedroom is the only vacant apartment right now.	Actually, the one-bedroom is the vacant apartment right now.	Do you think any studios will open up soon?	-31.47007918357849	-39.38360571861267	-1.8511811284457935	-2.461475357413292	17	16	-22.540794014930725	-24.62346589565277	-1.6100567153521947	-1.7588189925466264	14	14	-135.02784097194672	-145.02403938770294	-2.5966892494605136	-2.843608615445156	52	51	True	0.6102942289674984	True
3380	only	Are we going to have dinner tonight?__eou__What are you planning on making?__eou__I'm not cooking dinner.	The only way you're eating tonight is if you cook.	The way you're eating tonight is if you cook.	I'm not sure what to cook for dinner.	-21.874945163726807	-34.624136447906494	-1.3671840727329254	-2.3082757631937665	16	15	-18.510315537452698	-18.66360878944397	-1.3221653955323356	-1.3331149135317122	14	14	-103.57949483394623	-116.47857666015625	-1.644118965618194	-1.8786867203251008	63	62	True	0.9410916904608411	True
4123	only	you look better today. How did your test go?__eou__much better than it did yesterday.__eou__did you pass?	I not only passed my test, but I aced it! I'm so happy!	I not passed my test, but I aced it! I'm so happy!	you should be. You worked really hard last night preparing for it.	-28.120851516723633	-43.222124457359314	-1.2782205234874378	-2.058196402731396	22	21	-27.74664342403412	-29.80090832710266	-1.5414801902241178	-1.65560601817237	18	18	-134.15936493873596	-151.3006373643875	-1.8129643910639994	-2.0726114707450343	74	73	True	0.7799758792439582	True
5268	only	I'm really curious. What is it like doing housework all day for a living?	It's a little like being a mom, only I get paid for it!	It's a little like being a mom, I get paid for it!	I still think that it is a bitstrange that you like to do that kind of thing. Most women would rather hire a maid.	-26.375397443771362	-36.53878855705261	-1.3187698721885681	-1.9230941345817165	20	19	-76.29601693153381	-76.74758577346802	-2.3842505291104317	-2.3983620554208755	32	32	-167.58724308013916	-178.19902920722961	-2.2646924740559347	-2.4410825918798578	74	73	True	0.6043242623931484	True
5749	only	Do you have brothers and sisters?	No, I am the only child in my family.	No, I am the child in my family.	Oh, I have an elder sister. She is married .. Her husband is a businessman.	-8.21023416519165	-20.316481113433838	-0.54734894434611	-1.4511772223881312	15	14	-44.023597240448	-44.2914981842041	-2.0010726018385454	-2.0132499174638228	22	22	-84.490638256073	-96.85830116271973	-1.7602216303348541	-2.0608149183557387	48	47	True	0.9038282780420211	True
5953	only	Do you like traveling?__eou__Yes, I've just come back from Scotland.__eou__Where did you visit?	I only had time to visit Edinburgh.	I had time to visit Edinburgh.	How did you like it?	-9.981354236602783	-18.988678455352783	-0.8317795197168986	-1.726243495941162	12	11	-11.385090708732605	-11.071192979812622	-1.1385090708732606	-1.1071192979812623	10	10	-77.10418236255646	-85.79760885238647	-1.4278552289362307	-1.6188228085355938	54	53	True	0.8944639762242635	True
7167	only	Either we'll be millionaires, or we won't ... won't have a dime.__eou__And it's all coming down to the next three weeks.	The only person who seems confident the software will be done on time is Zina.	The person who seems confident the software will be done on time is Zina.	Yeah, she is some kind of Superwoman, isn't she?	-52.036736488342285	-61.831475257873535	-2.477939832778204	-3.0915737628936766	21	20	-28.19501042366028	-28.89790678024292	-1.5663894679811265	-1.605439265569051	18	18	-179.90264010429382	-190.39679622650146	-2.3363979234323873	-2.5052210029802824	77	76	True	0.6136339301154727	True
8168	only	Do you like traveling?__eou__Yes. I’Ve just come back from Scotland.__eou__Where did you visit?	I only had time to visit Edinburgh.	I had time to visit Edinburgh.	How did you like it?	-10.871212601661682	-19.630734086036682	-0.9059343834718069	-1.7846121896396985	12	11	-11.261011600494385	-10.950433492660522	-1.1261011600494384	-1.0950433492660523	10	10	-94.18505156040192	-102.63399493694305	-1.7124554829163985	-1.9006295358693157	55	54	True	0.8786778061678916	True
8299	only	Man, they take a lot of our paycheck.__eou__Yeah, the government really takes a bit, doesn't it?	Seriously. The only tax I don't mind them taking is social security. It's only a few dollars every paycheck.	Seriously. The tax I don't mind them taking is social security. It's a few dollars every paycheck.	Yeah, I don't mind it either. We’ll both end up rich slobs and not need it, but what if we do, you know?	-56.049750208854675	-68.16291129589081	-2.001776793173381	-2.621650434457339	28	26	-70.1581164598465	-72.13243794441223	-2.0045176131384714	-2.060926798411778	35	35	-194.69324660301208	-208.78343951702118	-2.0712047510958733	-2.2693852121415348	94	92	True	0.6198736412839576	True
13018	only	Man, they take a lot of our paycheck.__eou__Yeah, the government really takes a bite, doesn’t it?	Seriously. The only tax I don’t mind them taking is social security. It’s only a few dollars every paycheck.	Seriously. The tax I don’t mind them taking is social security. It’s a few dollars every paycheck.	Yeah, I don’t mind it either. We’ll both end up rich slobs and not need it, but what if we do, you know?	-56.25479793548584	-67.6791296005249	-2.0090999262673512	-2.6030434461740346	28	26	-62.11875915527344	-63.321537375450134	-1.7748216901506697	-1.8091867821557182	35	35	-188.34824454784393	-200.96020245552063	-2.0037047292323824	-2.1843500266904416	94	92	True	0.5939435199066834	True
