id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	removal_log_prob_delta_per_token	removal_upper_iqr_outlier
480	not	Hi Mike. What have you been up to?	Not much. I started exercising.	Much. I started exercising.	Trying to get in shape?	-15.459136009216309	-27.54275417327881	-1.4053760008378462	-2.754275417327881	11	10	-12.914239406585693	-13.864652037620544	-1.2914239406585692	-1.3864652037620544	10	10	-64.04039478302002	-77.07808768749237	-1.8297255652291433	-2.2670025790438935	35	34	True	1.3488994164900348	True
692	not	Hi, Mike. I am going to move on the first of next month.__eou__Congratulations! So, have you started planning your move?__eou__Yes, I am trying to find good movers now. Do you know any?	Not really.	Really.	What did you do for your last move?	-10.17725944519043	-19.22633171081543	-1.4538942064557756	-3.2043886184692383	7	6	-14.133219003677368	-18.085312485694885	-1.0871706925905669	-1.3911778835149913	13	13	-133.16895806789398	-146.1686589717865	-1.7755861075719197	-1.975252148267385	75	74	True	1.7504944120134627	True
1467	not	May I help you, sir?__eou__Yes, please. I'm looking for a cotton polo shirt.__eou__Any particular colour?	Not really.	Really.	How about this one?	-9.110986709594727	-19.090356826782227	-1.3015695299421037	-3.1817261377970376	7	6	-4.654013395309448	-6.816736698150635	-0.5171125994788276	-0.7574151886834039	9	9	-76.68882536888123	-88.83091878890991	-1.474785103247716	-1.7417827213511747	52	51	True	1.8801566078549339	True
1580	not	Excuse me. Could you please tell me how to get to the nearest cinema?__eou__Turn left at the second light. You can't miss it.__eou__Will it take me long to get there?	No. It's not far at all.	No. It's far at all.	Thank you very much.	-9.883061647415161	-24.858005046844482	-0.7602355113396277	-2.0715004205703735	13	12	-4.2089468240737915	-4.868031978607178	-0.4676607582304213	-0.5408924420674642	9	9	-86.22886896133423	-101.86033046245575	-1.1812173830319757	-1.414726811978552	73	72	True	1.3112649092307458	True
2497	not	I'm going to buy a new living room set.__eou__Where are you going to buy one?	I'm really not sure.	I'm really sure.	You like my living room set, don't you?	-11.428986310958862	-21.761658430099487	-1.1428986310958862	-2.4179620477888317	10	9	-20.35703754425049	-21.68599843978882	-1.3571358362833659	-1.4457332293192546	15	15	-82.94873583316803	-94.61036884784698	-1.595167996791693	-1.8551052715264114	52	51	True	1.2750634166929455	True
3583	not	Do you even know where this bus is supposed to go?__eou__It should take us all the way up to Altadena.__eou__Don't you know?	I'm not positive if it does or not.	I'm positive if it does or.	Is this the right bus, or not?	-21.069257616996765	-40.241132616996765	-1.5049469726426261	-3.3534277180830636	14	12	-20.391188859939575	-21.1647607088089	-1.5685529892261212	-1.628058516062223	13	13	-127.26364076137543	-147.19981026649475	-1.8715241288437563	-2.2303001555529507	68	66	True	1.8484807454404375	True
3630	not	So, where is this bus supposed to take us?__eou__It should take us back up to Altadena.__eou__Well, don't you know for sure?	I'm not really sure if it does or not.	I'm really sure if it does or.	Are you sure we got on the right bus?	-15.99308729171753	-37.18314743041992	-1.0662058194478352	-2.860242110032302	15	13	-15.778441905975342	-16.680087447166443	-1.1270315647125244	-1.191434817654746	14	14	-130.31350016593933	-152.42596113681793	-1.835401410787878	-2.2090719005335933	71	69	True	1.7940362905844667	True
3697	not	Mr. Rogers?__eou__Mr. : Yes?	I'm not feeling too well.	I'm feeling too well.	Mr. : Would you like to go to the nurse's?	-13.937715530395508	-25.545381546020508	-1.2670650482177734	-2.5545381546020507	11	10	-21.284385681152344	-26.070690155029297	-1.2520226871266085	-1.5335700091193705	17	17	-91.13766384124756	-107.53187847137451	-2.0252814186943904	-2.4439063288948755	45	44	True	1.2874731063842773	True
4071	not	Excuse me, Professor, I have a problem and need to leave class early.__eou__Why do you have to leave early?	I am not feeling well.	I am feeling well.	Could you make it up by attending my other section this week?	-7.083204746246338	-18.498365879058838	-0.7083204746246338	-2.0553739865620932	10	9	-34.28299045562744	-37.88969969749451	-2.0166464973898495	-2.2288058645585003	17	17	-105.39228940010071	-120.41336631774902	-1.7565381566683451	-2.040904513860153	60	59	True	1.3470535119374594	True
5817	not	Thank you for coming to see me off.	Not at all.	At all.	If have time, I'll come again.	-7.618642330169678	-17.617655277252197	-0.9523302912712097	-2.516807896750314	8	7	-31.41767978668213	-32.01953125	-2.4167445989755483	-2.4630408653846154	13	13	-79.68860578536987	-90.3238320350647	-2.343782523099114	-2.7370858192443848	34	33	True	1.5644776054791043	True
5889	not	I really like the record you lent me the other day.__eou__I'm glad you like it.__eou__And thank you very much for letting me keep it so long.	Not at all.	At all.	I'm most grateful. Everyone in our class enjoyed it.	-3.0550293922424316	-11.692599296569824	-0.38187867403030396	-1.6703713280814034	8	7	-36.076374650001526	-36.17199766635895	-2.2547734156250954	-2.2607498541474342	16	16	-117.77372217178345	-126.51671266555786	-1.7319665025262272	-1.8883091442620576	68	67	True	1.2884926540510995	True
5938	not	What are you doing this Saturday?	Not much.	Much.	Do you want to go see a movie?	-7.98251211643219	-18.86019766330719	-1.140358873776027	-3.143366277217865	7	6	-9.935515761375427	-13.053441286087036	-0.7642704431827252	-1.0041108681605413	13	13	-48.87936210632324	-62.87497317790985	-1.5767536163330078	-2.0958324392636616	31	30	True	2.003007403441838	True
6038	not	Hi Mark.__eou__Hi.__eou__What are you planning to do today?	I'm not sure yet.	I'm sure yet.	Would you like to have lunch with me?	-7.79640793800354	-21.52272629737854	-0.779640793800354	-2.39141403304206	10	9	-13.162697672843933	-13.279317498207092	-1.0125152056033795	-1.0214859614005456	13	13	-65.1186271905899	-78.96156537532806	-1.356638066470623	-1.680033305858044	48	47	True	1.611773239241706	True
6319	not	I can't believe how hot it is.	It's not even noon yet.	It's even noon yet.	That means it will get hotter.	-10.186216354370117	-25.672056198120117	-0.9260196685791016	-2.567205619812012	11	10	-14.852204442024231	-14.567654132843018	-1.3502004038203845	-1.3243321938948198	11	11	-58.51670682430267	-73.71164870262146	-1.6719059092657906	-2.167989667724161	35	34	True	1.6411859512329103	True
6391	not	Good morning, Mei! How are you?__eou__Hi Tom! I'm fine, and you?	Not bad thanks.	Bad thanks.	Good. See you!	-10.8428053855896	-21.1648268699646	-1.3553506731987	-3.0235466957092285	8	7	-12.303648471832275	-19.042804956436157	-1.3670720524258084	-2.1158672173817954	9	9	-81.4391975402832	-98.50037550926208	-1.8508908531882546	-2.2907064071921415	44	43	True	1.6681960225105286	True
6628	not	Hello?__eou__Hi, Shelley. Have you had lunch?	Not yet.	Yet.	So shall we have lunch together? I’d like to take you this time.	-4.813805937767029	-12.610558867454529	-0.687686562538147	-2.1017598112424216	7	6	-38.04736065864563	-37.73934817314148	-1.9023680329322814	-1.886967408657074	20	20	-96.67539978027344	-104.15821981430054	-2.101639125658118	-2.314627106984456	46	45	True	1.4140732487042746	True
6687	not	I love slim girls, don’t you?	Not particularly. I like fat girls.	Particularly. I like fat girls.	And I like a girl with good skin, do you?	-14.608898162841797	-29.907726287841797	-1.2174081802368164	-2.7188842079856177	12	11	-32.95192337036133	-31.367074966430664	-2.059495210647583	-1.9604421854019165	16	16	-100.55834770202637	-114.2689094543457	-2.452642626878692	-2.8567227363586425	41	40	True	1.5014760277488013	True
