particle	train_fold	source_row_index	pool_row_index	component	layer_index	position_label	position_order	corruption_mode	clean_patch_position	corrupted_patch_position	clean_log_prob_per_token	corrupted_log_prob_per_token	patched_log_prob_per_token	raw_delta_per_token	restoration	restoration_clipped
just	0	3	10	resid	0	utterance_final_lexical	0	prompt_without	32	31	-0.3928044725347448	-0.7069280280007256	-0.7073996287805063	-0.0004716007797807009	-0.0015013225578741252	0.0
just	0	5	4	resid	0	utterance_final_lexical	0	prompt_without	25	24	-0.5373304956837704	-0.9672020673751831	-0.9521130637118691	0.015089003663314005	0.03510118988316303	0.03510118988316303
just	0	7	129	resid	0	utterance_final_lexical	0	prompt_without	33	32	-0.5193182362450494	-0.6508910589747958	-0.6528809302382999	-0.0019898712635040283	-0.015123725570525067	0.0
just	0	18	207	resid	0	utterance_final_lexical	0	prompt_without	53	52	-0.3636698513700251	-0.46461200086694016	-0.46625895876633494	-0.0016469578993947853	-0.016315859208497624	0.0
just	0	3	10	resid	1	utterance_final_lexical	0	prompt_without	32	31	-0.3928044725347448	-0.7069280280007256	-0.715155667728848	-0.008227639728122349	-0.02619236789140887	0.0
just	0	5	4	resid	1	utterance_final_lexical	0	prompt_without	25	24	-0.5373304956837704	-0.9672020673751831	-0.9078841585862009	0.05931790878898224	0.13798983858268293	0.13798983858268293
just	0	7	129	resid	1	utterance_final_lexical	0	prompt_without	33	32	-0.5193182362450494	-0.6508910589747958	-0.647872527440389	0.0030185315344067876	0.022941907544287616	0.022941907544287616
just	0	18	207	resid	1	utterance_final_lexical	0	prompt_without	53	52	-0.3636698513700251	-0.46461200086694016	-0.46276994337115374	0.00184205749578642	0.018248645436688627	0.018248645436688627
just	0	3	10	resid	2	utterance_final_lexical	0	prompt_without	32	31	-0.3928044725347448	-0.7069280280007256	-0.7145962759300515	-0.007668247929325855	-0.02441156607294392	0.0
just	0	5	4	resid	2	utterance_final_lexical	0	prompt_without	25	24	-0.5373304956837704	-0.9672020673751831	-0.7305468069879633	0.23665526038721985	0.5505254963850111	0.5505254963850111
just	0	7	129	resid	2	utterance_final_lexical	0	prompt_without	33	32	-0.5193182362450494	-0.6508910589747958	-0.5995183885097504	0.051372670465045456	0.3904504699315152	0.3904504699315152
just	0	18	207	resid	2	utterance_final_lexical	0	prompt_without	53	52	-0.3636698513700251	-0.46461200086694016	-0.46233113188492625	0.002280868982013906	0.02259580357047591	0.02259580357047591
just	0	3	10	resid	3	utterance_final_lexical	0	prompt_without	32	31	-0.3928044725347448	-0.7069280280007256	-0.7135703166325887	-0.006642288631863114	-0.021145464949324583	0.0
just	0	5	4	resid	3	utterance_final_lexical	0	prompt_without	25	24	-0.5373304956837704	-0.9672020673751831	-0.6751481733824077	0.29205389399277537	0.6793980184445157	0.6793980184445157
just	0	7	129	resid	3	utterance_final_lexical	0	prompt_without	33	32	-0.5193182362450494	-0.6508910589747958	-0.5925866895251803	0.05830436944961548	0.4431338344801948	0.4431338344801948
just	0	18	207	resid	3	utterance_final_lexical	0	prompt_without	53	52	-0.3636698513700251	-0.46461200086694016	-0.45849339585555227	0.00611860501138789	0.060614966511832444	0.060614966511832444
just	0	3	10	resid	4	utterance_final_lexical	0	prompt_without	32	31	-0.3928044725347448	-0.7069280280007256	-0.686264364807694	0.02066366319303159	0.06578196010285971	0.06578196010285971
just	0	5	4	resid	4	utterance_final_lexical	0	prompt_without	25	24	-0.5373304956837704	-0.9672020673751831	-0.665953372654162	0.3012486947210211	0.7007876644079998	0.7007876644079998
just	0	7	129	resid	4	utterance_final_lexical	0	prompt_without	33	32	-0.5193182362450494	-0.6508910589747958	-0.5984996060530344	0.052391452921761394	0.39819357702292835	0.39819357702292835
just	0	18	207	resid	4	utterance_final_lexical	0	prompt_without	53	52	-0.3636698513700251	-0.46461200086694016	-0.45714082006822554	0.007471180798714616	0.07401448092744396	0.07401448092744396
just	0	3	10	resid	5	utterance_final_lexical	0	prompt_without	32	31	-0.3928044725347448	-0.7069280280007256	-0.684244367811415	0.022683660189310673	0.07221254119469332	0.07221254119469332
just	0	5	4	resid	5	utterance_final_lexical	0	prompt_without	25	24	-0.5373304956837704	-0.9672020673751831	-0.6693646405872545	0.29783742678792857	0.6928521130532771	0.6928521130532771
