id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_followup_with	log_prob_followup_without	normalized_log_prob_with	normalized_log_prob_without	normalized_log_prob_diff	log_prob_with_particle	log_prob_without_particle	log_prob_diff	prob_ratio	include_context
3	not	[NO CONTEXT]	I'm not sure. But I'll get a table ready as fast as I can.	I'm sure. But I'll get a table ready as fast as I can.	OK. We'll wait.	-64.30697631835938	-70.8785400390625	-15.836557388305664	-16.060670852661133	0.24626499790481352	0.22659426737359142	0.01967073053122209	-15.836557388305664	-16.060670852661133	0.22411346435546875	1.251212979448776	False
5	not	[NO CONTEXT]	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	-133.88655853271484	-138.85140228271484	-73.83434677124023	-74.95952606201172	0.5514694498118644	0.5398542962453263	0.011615153566538083	-73.83434677124023	-74.95952606201172	1.1251792907714844	3.0807691528832355	False
7	not	[NO CONTEXT]	Why not? See.	Why? See.	Good mastery. How do you like our Chinese food?	-40.375244140625	-39.599853515625	-47.9127197265625	-48.9947624206543	1.1866855729635923	1.2372460519663875	-0.050560479002795145	-47.9127197265625	-48.9947624206543	1.0820426940917969	2.9507007782556434	False
15	not	[NO CONTEXT]	No, the steak was recommended, but it is not very fresh.	No, the steak was recommended, but it is very fresh.	Oh! Sorry to hear that. This is quite unusual as we have steak from the market every day.	-70.41461181640625	-70.23394775390625	-52.18621253967285	-60.296770095825195	0.7411276039657685	0.8585131837825766	-0.11738557981680808	-52.18621253967285	-60.296770095825195	8.110557556152344	3329.433858813212	False
35	not	[NO CONTEXT]	Not to high, maybe an inch or an inch in the half would be the best.	to high, maybe an inch or an inch in the half would be the best.	In that case, I might have just the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell just by looking at it that it was superbly made.	-81.17884826660156	-85.56787109375	-125.43437957763672	-127.86498260498047	1.5451608670979713	1.494310667901143	0.050850199196828205	-125.43437957763672	-127.86498260498047	2.43060302734375	11.365733862188502	False
71	not	[NO CONTEXT]	No, it is not.	No, it is.	Oh, I'm sorry.	-31.169189453125	-32.278076171875	-11.773538589477539	-11.297098159790039	0.3777300210896929	0.3499929208802596	0.02773710020943332	-11.773538589477539	-11.297098159790039	-0.4764404296875	0.6209899196130951	False
78	not	[NO CONTEXT]	No, he's not. May I take a message?	No, he's. May I take a message?	Yes, would you leave him a message to call me?	-51.88922119140625	-57.799072265625	-22.923215866088867	-23.637052536010742	0.4417722089435666	0.40895210960104755	0.03282009934251906	-22.923215866088867	-23.637052536010742	0.713836669921875	2.041810001106156	False
81	not	[NO CONTEXT]	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?	-43.2880859375	-46.094970703125	-18.772857666015625	-19.088401794433594	0.4336726205247366	0.41411029236513863	0.019562328159597964	-18.772857666015625	-19.088401794433594	0.31554412841796875	1.3710051108751382	False
83	not	[NO CONTEXT]	Mrs. Smith has not checked in yet.	Mrs. Smith has checked in yet.	Can you leave a message for her to call her office?	-48.658447265625	-52.708251953125	-32.2231559753418	-31.67563247680664	0.6622314887985751	0.600961544028755	0.06126994476982006	-32.2231559753418	-31.67563247680664	-0.5475234985351562	0.5783803981262027	False
95	not	[NO CONTEXT]	Not back home for dinner again? That’s the third time this week!	back home for dinner again? That’s the third time this week!	I’m sorry. Our company has just opened. There are always too many things to handle. You know that.	-61.72991943359375	-68.72186279296875	-60.65006637573242	-61.27097129821777	0.982506812453838	0.8915790231531193	0.09092778930071865	-60.65006637573242	-61.27097129821777	0.6209049224853516	1.8606109889835674	False
