id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	observer_mode	removal_log_prob_delta_per_token	removal_upper_iqr_outlier
148	only	I come home for lunch.__eou__How long have you got?	Only 1 hour.	1 Hour.	Okay, I'll make you some food.	-59.8076171875	-61.9765625	-5.98076171875	-7.7470703125	10	8	-90.624755859375	-91.35595703125	-6.041650390625	-6.090397135416667	15	15	-354.5176944732666	-357.3494815826416	-7.385785301526387	-7.768466990926991	48	46	True	False	1.7663085937499998	True
161	only	Do you mind if I get a lift in your car, please?	I don’t see any problem; only the car is a bit old.	I don’t see any problem; the car is a bit old.	Oh you’re so kind!	-82.08154368400574	-79.89721751213074	-3.9086449373336065	-3.9948608756065367	21	20	-93.0989990234375	-82.05443572998047	-7.758249918619792	-6.837869644165039	12	12	-376.16934275627136	-362.92897868156433	-6.485678323383989	-6.367175064588848	58	57	True	False	0.08621593827293017	False
315	only	Excuse me, could you tell me how much is the lipstick?	It costs only 25 yuan.	It costs 25 yuan.	Oh, it's too expensive. Can't you make it any cheaper?	-56.510986328125	-45.5047607421875	-4.3469989483173075	-3.7920633951822915	13	12	-70.64776062965393	-70.26456463336945	-3.211261846802451	-3.1938438469713386	22	22	-330.60480260849	-319.2150148153305	-5.603471230652373	-5.503707151988457	59	58	True	False	-0.554935553135016	False
491	only	Excuse me. Can you tell me where the Wal-Mart supermarket is?__eou__Turn right at the second crossing and then go straight for two blocks.__eou__Is it far from here?	No, it’s only ten-minute's walk.	No, it’s ten-minute's walk.	Thanks a lot.	-90.42025709152222	-89.57046365737915	-5.023347616195679	-5.268850803375244	18	17	-54.69953155517578	-53.183441162109375	-6.077725728352864	-5.909271240234375	9	9	-463.2147455215454	-460.74926364421844	-5.580900548452354	-5.618893459075835	83	82	True	False	0.24550318717956543	False
501	only	Would you like to mail it by air or sea?__eou__Hmm ... How long will it take to mail things to the USA by air?	About 10 days. You can send it express mail if you need it faster. It will only take three or four days.	About 10 days. You can send it express mail if you need it faster. It will take three or four days.	I want to send it by express mail. The faster, the better.	-91.03717803955078	-90.32487869262695	-2.844911813735962	-2.913705764278289	32	31	-83.70460021495819	-82.54281461238861	-4.18523001074791	-4.1271407306194305	20	20	-450.20237815380096	-448.33383786678314	-5.002248646153344	-5.0374588524357655	90	89	True	False	0.06879395054232695	False
649	only	Well, what about this two-bedroom apartment? The listing says it's right in the heart of the city, just steps from the metro.__eou__Wow, that would be very convenient. How much is the rent?	It says it's $ 1600. But if you share it with another person, that's only $ 800 per month.	It says it's $ 1600. But if you share it with another person, that's $ 800 per month.	That definitely sounds like a steal. I think that is a very trendy neighborhood as well.	-111.70546674728394	-117.39702951908112	-2.939617545981156	-3.172892689704895	38	37	-147.05028915405273	-139.0971393585205	-6.393490832784901	-6.047701711240022	23	23	-557.4371923208237	-555.1806708574295	-4.80549303724848	-4.827658007455908	116	115	True	False	0.23327514372373903	False
659	only	Mmmm ... This apartment seems a little expensive. Do you have any cheap studios?	Actually, the one-bedroom is the only vacant apartment right now.	Actually, the one-bedroom is the vacant apartment right now.	Do you think any studios will open up soon?	-70.06433296203613	-76.18402862548828	-3.687596471686112	-4.232446034749349	19	18	-60.830209732055664	-64.17748069763184	-4.055347315470377	-4.2784987131754555	15	15	-372.19689559936523	-381.65054512023926	-6.101588452448611	-6.3608424186706545	61	60	True	False	0.5448495630632366	False
660	only	What kind of lease is it?__eou__It's a one-year lease.	Can I have a month-to-month lease? I only want to rent the apartment for five months.	Can I have a month-to-month lease? I want to rent the apartment for five months.	No, all the leases are for one year. We don't have month-to-month leases.	-95.11247944831848	-91.7891800403595	-3.522684424011796	-3.530353078475365	27	26	-93.26813924312592	-95.04020249843597	-3.454375527523182	-3.520007499942073	27	27	-401.7984403371811	-400.20720517635345	-4.960474572063964	-5.002590064704418	81	80	True	False	0.0076686544635693465	False
666	only	What's the problem, sir?	I bought this toy gun from your store two weeks ago. My son played with it only twice and it broke.	I bought this toy gun from your store two weeks ago. My son played with it twice and it broke.	Do you keep the receipt?	-111.71000027656555	-109.22525906562805	-3.989642867020198	-4.045379965393631	28	27	-99.02925109863281	-99.34800720214844	-9.0026591907848	-9.03163701837713	11	11	-395.0789250135422	-392.8643559217453	-6.811705603681761	-6.892357121434128	58	57	True	False	0.0557370983734331	False
687	only	Excuse me. Could you tell me the way to the Star Hotel?__eou__Yes. Go down the main road. You can't miss it.__eou__How long will it take me to get there?	It's only about a five-minute walk.	It's about a five-minute walk.	Thank you very much.	-50.36823356151581	-50.813053488731384	-3.148014597594738	-3.387536899248759	16	15	-54.82203459739685	-54.90826916694641	-5.482203459739685	-5.490826916694641	10	10	-425.73170125484467	-426.26394486427307	-4.95036861924238	-5.014869939579683	86	85	True	False	0.23952230165402089	False
