source_row_index	id	particle	fold_id
0	just_e_1157	just	0
3	just_e_2798	just	0
18	just_e_5758	just	0
22	just_e_1001	just	0
23	just_e_9687	just	0
38	just_e_1043	just	0
42	just_e_4966	just	0
43	just_e_2762	just	0
44	just_e_472	just	0
46	just_e_9397	just	0
47	just_e_6664	just	0
48	just_e_976	just	0
50	just_e_12686	just	0
53	just_e_4632	just	0
56	just_e_7244	just	0
5	just_e_4508	just	1
7	just_e_5138	just	1
14	just_e_6323	just	1
16	just_e_9268	just	1
30	just_e_3966	just	1
32	just_e_1907	just	1
33	just_e_2717	just	1
37	just_e_569	just	1
39	just_e_1246	just	1
41	just_e_2612	just	1
45	just_e_1267	just	1
49	just_e_9416	just	1
52	just_e_11908	just	1
55	just_e_5739	just	1
59	just_e_5473	just	1
