source_row_index	id	particle	fold_id
122	not_15	not	0
124	not_81	not	0
127	not_272	not	0
129	not_309	not	0
130	not_319	not	0
131	not_367	not	0
132	not_379	not	0
133	not_383	not	0
134	not_460	not	0
139	not_768	not	0
141	not_949	not	0
142	not_969	not	0
145	not_1286	not	0
148	not_1385	not	0
155	not_1668	not	0
158	not_1700	not	0
161	not_1760	not	0
162	not_1761	not	0
163	not_1774	not	0
164	not_1776	not	0
166	not_1819	not	0
167	not_2047	not	0
168	not_2138	not	0
172	not_2168	not	0
174	not_2405	not	0
176	not_2467	not	0
178	not_2551	not	0
120	not_5	not	1
121	not_7	not	1
123	not_71	not	1
125	not_226	not	1
126	not_244	not	1
135	not_686	not	1
136	not_698	not	1
138	not_729	not	1
140	not_865	not	1
143	not_1154	not	1
144	not_1270	not	1
146	not_1347	not	1
147	not_1353	not	1
149	not_1406	not	1
150	not_1570	not	1
151	not_1602	not	1
153	not_1647	not	1
156	not_1686	not	1
157	not_1697	not	1
159	not_1721	not	1
165	not_1804	not	1
169	not_2142	not	1
170	not_2148	not	1
175	not_2456	not	1
177	not_2497	not	1
179	not_2698	not	1
