source_row_index	id	particle	fold_id
70	only_1038	only	0
73	only_1368	only	0
79	only_1602	only	0
80	only_1624	only	0
86	only_2118	only	0
93	only_2682	only	0
101	only_3385	only	0
103	only_3393	only	0
105	only_3465	only	0
106	only_3483	only	0
107	only_3484	only	0
113	only_3843	only	0
114	only_3867	only	0
115	only_3896	only	0
117	only_3999	only	0
119	only_4172	only	0
60	only_315	only	1
68	only_965	only	1
71	only_1142	only	1
72	only_1272	only	1
74	only_1446	only	1
75	only_1493	only	1
76	only_1538	only	1
85	only_2038	only	1
91	only_2627	only	1
98	only_3302	only	1
99	only_3332	only	1
100	only_3340	only	1
102	only_3392	only	1
108	only_3568	only	1
110	only_3674	only	1
116	only_3930	only	1
