pool_row_index	pool_rank	source_dataset	dataset_role	source_row_index	id	word	subset	context	w_word	wo_word	followup_metadata_only	with_without_diff	generated_from	generated_from_text	sampling_strategy	prompt_mode	top_p	temperature	base_seed	condition_seed	samples_requested	unique_samples_obtained	max_sample_draws	sample_draw	unique_rank	response	normalized_response	raw_generation	log_prob_given_P	log_prob_given_P_prime	log_prob_given_P_per_token	log_prob_given_P_prime_per_token	token_count_given_P	token_count_given_P_prime	own_log_prob	other_log_prob	own_log_prob_per_token	other_log_prob_per_token	own_context_log_prob_advantage	own_context_log_prob_advantage_per_token	own_context_win	include_context	followup	particle	selection_score_per_token	selection_score_raw	fold_id	prompt_with	prompt_without	next_speaker
0	1	expanded_data	discourse_particle	25	just_j_12662	just	h	Is everything all right?__eou__Not at all.__eou__What's the problem?	Someone just robbed me.	Someone robbed me.	What do you mean?		P	Someone just robbed me.	nucleus	base	0.9	1.0	20260416	310199087	50	50	200	30	27	911	911	911\nWe are the Emergency Ambulance Service (EAS) and the person on the phone is a volunteer. He is going to help us assess the seriousness of the situation. We ask:\nHow old is the patient? What is their gender? What is the primary complaint? Any other important medical history? What are	-0.82861328125	-4.09765625	-0.82861328125	-4.09765625	1	1	-0.82861328125	-4.09765625	-0.82861328125	-4.09765625	3.26904296875	3.26904296875	True	True	What do you mean?	just	3.26904296875	3.26904296875	0	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone just robbed me.
Speaker 1: "	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone robbed me.
Speaker 1: "	Speaker 1
1	2	expanded_data	discourse_particle	25	just_j_12662	just	h	Is everything all right?__eou__Not at all.__eou__What's the problem?	Someone just robbed me.	Someone robbed me.	What do you mean?		P	Someone just robbed me.	nucleus	base	0.9	1.0	20260416	310199087	50	50	200	29	26	112.	112.	112.\nSpeaker 2: The man had a knife.\nSpeaker 2: I'm bleeding, and I'm dizzy.\nSpeaker 1: What is your name?\nSpeaker 2: Sally Marshall.\nSpeaker 1: Miss Sally Marshall? Are you all right?\nSpeaker 1: Sally, stay on the phone	-5.515625	-9.015625	-2.7578125	-4.5078125	2	2	-5.515625	-9.015625	-2.7578125	-4.5078125	3.5	1.75	True	True	What do you mean?	just	1.75	3.5	0	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone just robbed me.
Speaker 1: "	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone robbed me.
Speaker 1: "	Speaker 1
2	3	expanded_data	discourse_particle	25	just_j_12662	just	h	Is everything all right?__eou__Not at all.__eou__What's the problem?	Someone just robbed me.	Someone robbed me.	What do you mean?		P	Someone just robbed me.	nucleus	base	0.9	1.0	20260416	310199087	50	50	200	13	12	911.	911.	911.\nSpeaker 1: 911.\nSpeaker 2: Robbery.\nSpeaker 1: Let's start from the beginning.\nSpeaker 2: It was about 10 o'clock at night.\nSpeaker 1: What was your position when you saw the robbers?\nSpeaker 2: I was walking home	-2.41845703125	-5.6005859375	-1.209228515625	-2.80029296875	2	2	-2.41845703125	-5.6005859375	-1.209228515625	-2.80029296875	3.18212890625	1.591064453125	True	True	What do you mean?	just	1.591064453125	3.18212890625	0	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone just robbed me.
Speaker 1: "	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone robbed me.
Speaker 1: "	Speaker 1
3	4	expanded_data	discourse_particle	25	just_j_12662	just	h	Is everything all right?__eou__Not at all.__eou__What's the problem?	Someone just robbed me.	Someone robbed me.	What do you mean?		P	Someone just robbed me.	nucleus	base	0.9	1.0	20260416	310199087	50	50	200	20	18	9 11 emergency.	9 11 emergency.	9 11 emergency.\nSpeaker 2: Hello.\nSpeaker 1: Is everything all right?\nSpeaker 2: Not at all.\nSpeaker 1: What's the problem?\nSpeaker 2: Someone just robbed me.\nSpeaker 1: 9 11 emergency.\nSpeaker 2: Hello.\nSpeaker 	-13.7421875	-20.0712890625	-2.7484375	-4.0142578125	5	5	-13.7421875	-20.0712890625	-2.7484375	-4.0142578125	6.3291015625	1.2658203125000005	True	True	What do you mean?	just	1.2658203125000005	6.3291015625	0	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone just robbed me.
Speaker 1: "	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone robbed me.
Speaker 1: "	Speaker 1
4	5	expanded_data	discourse_particle	25	just_j_12662	just	h	Is everything all right?__eou__Not at all.__eou__What's the problem?	Someone just robbed me.	Someone robbed me.	What do you mean?		P	Someone just robbed me.	nucleus	base	0.9	1.0	20260416	310199087	50	50	200	60	50	911 operator.	911 operator.	911 operator.\nSpeaker 2: They stole my laptop.\nSpeaker 1: Where did this happen?\nSpeaker 2: I was walking home from the university.\nSpeaker 1: What did they look like?\nSpeaker 2: The suspect is a man. He's about six feet tall. He's wearing dark	-5.25927734375	-8.609375	-1.7530924479166667	-2.8697916666666665	3	3	-5.25927734375	-8.609375	-1.7530924479166667	-2.8697916666666665	3.35009765625	1.1166992187499998	True	True	What do you mean?	just	1.1166992187499998	3.35009765625	0	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone just robbed me.
Speaker 1: "	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone robbed me.
Speaker 1: "	Speaker 1
5	6	expanded_data	discourse_particle	25	just_j_12662	just	h	Is everything all right?__eou__Not at all.__eou__What's the problem?	Someone just robbed me.	Someone robbed me.	What do you mean?		P	Someone just robbed me.	nucleus	base	0.9	1.0	20260416	310199087	50	50	200	51	43	911 is calling.	911 is calling.	911 is calling.\nIt can be summed up in three words: not enough data.\nOur data teams are constantly going on the hunt to acquire more data about the criminal justice system. When I say the criminal justice system, I mean the entire system, from the court system to the prisons. Where we see data holes is	-6.51611328125	-9.9775390625	-1.6290283203125	-2.494384765625	4	4	-6.51611328125	-9.9775390625	-1.6290283203125	-2.494384765625	3.46142578125	0.8653564453125	True	True	What do you mean?	just	0.8653564453125	3.46142578125	0	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone just robbed me.
Speaker 1: "	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone robbed me.
Speaker 1: "	Speaker 1
6	7	expanded_data	discourse_particle	57	just_j_11362	just	h	Would you mind if I ask your health status?	I just had a complete physical examination and passed with flying colors.	I had a complete physical examination and passed with flying colors.	That is good. We hope each of our future employees will be healthy and happy.		P	I just had a complete physical examination and passed with flying colors.	nucleus	base	0.9	1.0	20260416	1728911766	50	50	200	48	48	。。。I just had a complete physical examination and passed with flying colors。。	。。。i just had a complete physical examination and passed with flying colors。。	。。。I just had a complete physical examination and passed with flying colors。。\nQuestion:：Do you mind if I ask your health status?\nAnswer：1、I have health status 2、I'm absolutely fine 3、I'm very well thank you 4、I'm as well as I could be	-18.589614868164062	-29.212432861328125	-1.239307657877604	-1.9474955240885417	15	15	-18.589614868164062	-29.212432861328125	-1.239307657877604	-1.9474955240885417	10.622817993164062	0.7081878662109375	True	True	That is good. We hope each of our future employees will be healthy and happy.	just	0.7081878662109375	10.622817993164062	0	"Speaker 1: Would you mind if I ask your health status?
Speaker 2: I just had a complete physical examination and passed with flying colors.
Speaker 1: "	"Speaker 1: Would you mind if I ask your health status?
Speaker 2: I had a complete physical examination and passed with flying colors.
Speaker 1: "	Speaker 1
7	8	expanded_data	discourse_particle	25	just_j_12662	just	h	Is everything all right?__eou__Not at all.__eou__What's the problem?	Someone just robbed me.	Someone robbed me.	What do you mean?		P	Someone just robbed me.	nucleus	base	0.9	1.0	20260416	310199087	50	50	200	38	34	9-1-1 what's your emergency?	9-1-1 what's your emergency?	9-1-1 what's your emergency?\nIf you are under the age of 18, you may call this number to report an emergency.	-8.375308990478516	-13.630134582519531	-0.8375308990478516	-1.363013458251953	10	10	-8.375308990478516	-13.630134582519531	-0.8375308990478516	-1.363013458251953	5.254825592041016	0.5254825592041015	True	True	What do you mean?	just	0.5254825592041015	5.254825592041016	0	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone just robbed me.
Speaker 1: "	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone robbed me.
Speaker 1: "	Speaker 1
8	9	expanded_data	discourse_particle	25	just_j_12662	just	h	Is everything all right?__eou__Not at all.__eou__What's the problem?	Someone just robbed me.	Someone robbed me.	What do you mean?		P	Someone just robbed me.	nucleus	base	0.9	1.0	20260416	310199087	50	50	200	10	9	911, what's your emergency?	911, what's your emergency?	911, what's your emergency?\nSpeaker 2: Someone just robbed me.\nSpeaker 1: Please, describe what happened.\nSpeaker 2: I'm at the corner of Fifth and Main.\nSpeaker 1: Can you tell me what happened?\nSpeaker 2: I was just robbed.\nSpeaker 1:	-5.13214111328125	-8.5416259765625	-0.7331630161830357	-1.2202322823660714	7	7	-5.13214111328125	-8.5416259765625	-0.7331630161830357	-1.2202322823660714	3.40948486328125	0.4870692661830357	True	True	What do you mean?	just	0.4870692661830357	3.40948486328125	0	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone just robbed me.
Speaker 1: "	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone robbed me.
Speaker 1: "	Speaker 1
9	10	expanded_data	discourse_particle	25	just_j_12662	just	h	Is everything all right?__eou__Not at all.__eou__What's the problem?	Someone just robbed me.	Someone robbed me.	What do you mean?		P	Someone just robbed me.	nucleus	base	0.9	1.0	20260416	310199087	50	50	200	4	4	911, what is your emergency?	911, what is your emergency?	911, what is your emergency?\nSpeaker 2: Someone robbed me, I'm in front of The Warehouse, in the United States of Colombia.\nSpeaker 1: Can you describe him, the robber?\nSpeaker 2: It was an unknown young person.\nSpeaker 1: What did the robber take?\nSpeaker	-6.0682373046875	-9.4776611328125	-0.8668910435267857	-1.3539515904017858	7	7	-6.0682373046875	-9.4776611328125	-0.8668910435267857	-1.3539515904017858	3.409423828125	0.4870605468750001	True	True	What do you mean?	just	0.4870605468750001	3.409423828125	0	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone just robbed me.
Speaker 1: "	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone robbed me.
Speaker 1: "	Speaker 1
