source_dataset	dataset_role	source_row_index	id	word	subset	context	w_word	wo_word	followup_metadata_only	with_without_diff	generated_from	generated_from_text	sampling_strategy	prompt_mode	top_p	temperature	base_seed	condition_seed	samples_requested	unique_samples_obtained	max_sample_draws	sample_draw	unique_rank	response	normalized_response	raw_generation	log_prob_given_P	log_prob_given_P_prime	log_prob_given_P_per_token	log_prob_given_P_prime_per_token	token_count_given_P	token_count_given_P_prime	own_log_prob	other_log_prob	own_log_prob_per_token	other_log_prob_per_token	own_context_log_prob_advantage	own_context_log_prob_advantage_per_token	own_context_win	include_context
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	200	1	1	That's perfectly okay! Not everyone enjoys the same activities. Perhaps we can find a different workout or fitness routine that you'd enjoy more. It's important to choose something that makes you feel good and motivated to keep it up. How about trying something completely different like a dance class, or maybe outdoor activities? The key	that's perfectly okay! not everyone enjoys the same activities. perhaps we can find a different workout or fitness routine that you'd enjoy more. it's important to choose something that makes you feel good and motivated to keep it up. how about trying something completely different like a dance class, or maybe outdoor activities? the key	That's perfectly okay! Not everyone enjoys the same activities. Perhaps we can find a different workout or fitness routine that you'd enjoy more. It's important to choose something that makes you feel good and motivated to keep it up. How about trying something completely different like a dance class, or maybe outdoor activities? The key	-85.98676776885986	-118.7048840522766	-1.228382396697998	-1.695784057889666	70	70	-85.98676776885986	-118.7048840522766	-1.228382396697998	-1.695784057889666	32.71811628341675	0.4674016611916678	True	True
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	200	2	2	It sounds like you're not quite ready to embrace the health and fitness journey fully. Remember, it's important to find activities that you enjoy and that make you feel good, even if it's not the typical gym scene. Maybe we can explore other forms of exercise that are more aligned with your interests, like outdoor activities	it sounds like you're not quite ready to embrace the health and fitness journey fully. remember, it's important to find activities that you enjoy and that make you feel good, even if it's not the typical gym scene. maybe we can explore other forms of exercise that are more aligned with your interests, like outdoor activities	It sounds like you're not quite ready to embrace the health and fitness journey fully. Remember, it's important to find activities that you enjoy and that make you feel good, even if it's not the typical gym scene. Maybe we can explore other forms of exercise that are more aligned with your interests, like outdoor activities	-76.5168673992157	-105.58299481868744	-1.0930981057030813	-1.5083284974098206	70	70	-76.5168673992157	-105.58299481868744	-1.0930981057030813	-1.5083284974098206	29.06612741947174	0.4152303917067392	True	True
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	200	3	3	It sounds like you had a tough time with your workout! Don't worry, it's completely normal to struggle initially with a new fitness regime. Remember, everyone's journey is unique and what matters most is your commitment to your health and wellbeing. If you're feeling discouraged, maybe we can explore some alternative fitness activities that	it sounds like you had a tough time with your workout! don't worry, it's completely normal to struggle initially with a new fitness regime. remember, everyone's journey is unique and what matters most is your commitment to your health and wellbeing. if you're feeling discouraged, maybe we can explore some alternative fitness activities that	It sounds like you had a tough time with your workout! Don't worry, it's completely normal to struggle initially with a new fitness regime. Remember, everyone's journey is unique and what matters most is your commitment to your health and wellbeing. If you're feeling discouraged, maybe we can explore some alternative fitness activities that	-89.854731798172	-114.77561736106873	-1.2836390256881711	-1.639651676586696	70	70	-89.854731798172	-114.77561736106873	-1.2836390256881711	-1.639651676586696	24.92088556289673	0.3560126508985246	True	True
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	200	4	4	Sounds like you had quite the experience! Remember, it's important to find activities that you enjoy and that fit your lifestyle. Whether that's working out with others, finding a different type of exercise, or maybe even exploring a new hobby, what matters is that you're enjoying yourself and taking care of your health in a	sounds like you had quite the experience! remember, it's important to find activities that you enjoy and that fit your lifestyle. whether that's working out with others, finding a different type of exercise, or maybe even exploring a new hobby, what matters is that you're enjoying yourself and taking care of your health in a	Sounds like you had quite the experience! Remember, it's important to find activities that you enjoy and that fit your lifestyle. Whether that's working out with others, finding a different type of exercise, or maybe even exploring a new hobby, what matters is that you're enjoying yourself and taking care of your health in a	-78.93813502788544	-97.9159449338913	-1.1276876432555063	-1.3987992133413043	70	70	-78.93813502788544	-97.9159449338913	-1.1276876432555063	-1.3987992133413043	18.97780990600586	0.271111570085798	True	True
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	200	5	5	No problem at all! Everyone has their own preferences when it comes to fitness. If sweating and the company of potbellies with a distinct aroma are not your cup of tea, perhaps a different type of workout would suit you better. There are plenty of other forms of exercise like swimming, cycling, yoga, or even	no problem at all! everyone has their own preferences when it comes to fitness. if sweating and the company of potbellies with a distinct aroma are not your cup of tea, perhaps a different type of workout would suit you better. there are plenty of other forms of exercise like swimming, cycling, yoga, or even	No problem at all! Everyone has their own preferences when it comes to fitness. If sweating and the company of potbellies with a distinct aroma are not your cup of tea, perhaps a different type of workout would suit you better. There are plenty of other forms of exercise like swimming, cycling, yoga, or even	-73.47822308540344	-91.13358545303343	-1.0496889012200492	-1.3019083636147637	70	70	-73.47822308540344	-91.13358545303343	-1.0496889012200492	-1.3019083636147637	17.655362367630005	0.2522194623947142	True	True
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	200	6	6	It sounds like you're not a fan of group fitness classes! That's perfectly okay. Everyone has their own unique taste in workouts. If sweating in a room full of other people isn't your cup of tea, maybe you'd prefer a different type of exercise, like running, cycling, or something more individualized that	it sounds like you're not a fan of group fitness classes! that's perfectly okay. everyone has their own unique taste in workouts. if sweating in a room full of other people isn't your cup of tea, maybe you'd prefer a different type of exercise, like running, cycling, or something more individualized that	It sounds like you're not a fan of group fitness classes! That's perfectly okay. Everyone has their own unique taste in workouts. If sweating in a room full of other people isn't your cup of tea, maybe you'd prefer a different type of exercise, like running, cycling, or something more individualized that	-81.58128666877747	-102.99975275993349	-1.1654469524111066	-1.471425039427621	70	70	-81.58128666877747	-102.99975275993349	-1.1654469524111066	-1.471425039427621	21.41846609115601	0.3059780870165143	True	True
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	200	7	7	It sounds like you had a tough time! Perhaps next time we can try a different workout that aligns more with your interests. Remember, the goal is to enjoy it while still taking care of your health. How about a game or a hobby that involves physical activity? That might make exercising more fun for you.	it sounds like you had a tough time! perhaps next time we can try a different workout that aligns more with your interests. remember, the goal is to enjoy it while still taking care of your health. how about a game or a hobby that involves physical activity? that might make exercising more fun for you.	It sounds like you had a tough time! Perhaps next time we can try a different workout that aligns more with your interests. Remember, the goal is to enjoy it while still taking care of your health. How about a game or a hobby that involves physical activity? That might make exercising more fun for you.	-67.93498432636261	-97.86146414279938	-0.9845649902371392	-1.418282089026078	69	69	-67.93498432636261	-97.86146414279938	-0.9845649902371392	-1.418282089026078	29.926479816436768	0.4337170987889386	True	True
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	200	8	8	That's perfectly fine! Everyone has different interests and preferences when it comes to staying active and healthy. Sweating and challenging workouts can be exhilarating for some, while others might prefer less intense, more enjoyable activities. The key is to find what makes you happy and keeps you motivated to maintain your health in a way that	that's perfectly fine! everyone has different interests and preferences when it comes to staying active and healthy. sweating and challenging workouts can be exhilarating for some, while others might prefer less intense, more enjoyable activities. the key is to find what makes you happy and keeps you motivated to maintain your health in a way that	That's perfectly fine! Everyone has different interests and preferences when it comes to staying active and healthy. Sweating and challenging workouts can be exhilarating for some, while others might prefer less intense, more enjoyable activities. The key is to find what makes you happy and keeps you motivated to maintain your health in a way that	-78.58351635932922	-112.66903352737428	-1.1226216622761318	-1.6095576218196324	70	70	-78.58351635932922	-112.66903352737428	-1.1226216622761318	-1.6095576218196324	34.085517168045044	0.4869359595435005	True	True
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	200	9	9	Sounds like you had a tough time! It's important to find activities that you enjoy and feel comfortable with. Exercise should be something that makes you feel good, not just sweaty and uncomfortable. If group fitness classes aren't your thing, maybe you'd like something more solo, like a personal training session or a different type	sounds like you had a tough time! it's important to find activities that you enjoy and feel comfortable with. exercise should be something that makes you feel good, not just sweaty and uncomfortable. if group fitness classes aren't your thing, maybe you'd like something more solo, like a personal training session or a different type	Sounds like you had a tough time! It's important to find activities that you enjoy and feel comfortable with. Exercise should be something that makes you feel good, not just sweaty and uncomfortable. If group fitness classes aren't your thing, maybe you'd like something more solo, like a personal training session or a different type	-81.2537910938263	-123.53076183795928	-1.1607684441975186	-1.764725169113704	70	70	-81.2537910938263	-123.53076183795928	-1.1607684441975186	-1.764725169113704	42.276970744133	0.6039567249161855	True	True
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	200	10	10	I totally get it! Not everyone loves working out. Maybe we can find a different type of activity you'd enjoy. How about trying something new and exciting?	i totally get it! not everyone loves working out. maybe we can find a different type of activity you'd enjoy. how about trying something new and exciting?	I totally get it! Not everyone loves working out. Maybe we can find a different type of activity you'd enjoy. How about trying something new and exciting?	-42.14004933834076	-70.8589186668396	-1.108948666798441	-1.864708385969463	38	38	-42.14004933834076	-70.8589186668396	-1.108948666798441	-1.864708385969463	28.71886932849884	0.7557597191710221	True	True
