pool_row_index	pool_rank	source_dataset	dataset_role	source_row_index	id	word	subset	context	w_word	wo_word	followup_metadata_only	with_without_diff	generated_from	generated_from_text	sampling_strategy	prompt_mode	top_p	temperature	base_seed	condition_seed	samples_requested	unique_samples_obtained	max_sample_draws	sample_draw	unique_rank	response	normalized_response	raw_generation	log_prob_given_P	log_prob_given_P_prime	log_prob_given_P_per_token	log_prob_given_P_prime_per_token	token_count_given_P	token_count_given_P_prime	own_log_prob	other_log_prob	own_log_prob_per_token	other_log_prob_per_token	own_context_log_prob_advantage	own_context_log_prob_advantage_per_token	own_context_win	include_context	followup	particle	selection_score_per_token	selection_score_raw	fold_id	prompt_with	prompt_without	next_speaker
0	1	expanded_data	discourse_particle	48	just_e_976	just	o	Is there anything I can do for you?__eou__I'm looking for a black, leather bag.__eou__How's this?	I'm just looking.	I'm looking.	If you need any help, let me know.		P	I'm just looking.	nucleus	base	0.9	1.0	20260416	711530636	50	50	200	19	19	0h, OK.	0h, ok.	0h, OK.\n[Scene: Hill Street Precinct]\nOfficer: So what's going on?\nFrank: We need to check every single car in this garage.\nOfficer: So what is it? Someone's stolen the queen's jewels? Well, so that's a little bit of an exaggeration.\n	-12.52490234375	-15.330810546875	-2.50498046875	-3.066162109375	5	5	-12.52490234375	-15.330810546875	-2.50498046875	-3.066162109375	2.805908203125	0.5611816406250001	True	True	If you need any help, let me know.	just	0.5611816406250001	2.805908203125	0	"Speaker 1: Is there anything I can do for you?
Speaker 2: I'm looking for a black, leather bag.
Speaker 1: How's this?
Speaker 2: I'm just looking.
Speaker 1: "	"Speaker 1: Is there anything I can do for you?
Speaker 2: I'm looking for a black, leather bag.
Speaker 1: How's this?
Speaker 2: I'm looking.
Speaker 1: "	Speaker 1
1	2	expanded_data	discourse_particle	43	just_e_2762	just	o	Hi, can I help you?	No, thanks. I'm just looking.	No, thanks. I'm looking.	All right. If you need any help, just let me know. My name is Greg.		P	No, thanks. I'm just looking.	nucleus	base	0.9	1.0	20260416	892431323	50	50	200	15	15	24-inch monitor. Full HD.	24-inch monitor. full hd.	24-inch monitor. Full HD.\nSpeaker 2: Does it have a USB port?\nSpeaker 1: No. But you can buy one separately.\nSpeaker 2: Oh, and how much is it?\nSpeaker 1: £74.99.\nSpeaker 2: I think I'll just wait and see	-17.2236328125	-21.0001220703125	-2.4605189732142856	-3.000017438616072	7	7	-17.2236328125	-21.0001220703125	-2.4605189732142856	-3.000017438616072	3.7764892578125	0.539498465401786	True	True	All right. If you need any help, just let me know. My name is Greg.	just	0.539498465401786	3.7764892578125	0	"Speaker 1: Hi, can I help you?
Speaker 2: No, thanks. I'm just looking.
Speaker 1: "	"Speaker 1: Hi, can I help you?
Speaker 2: No, thanks. I'm looking.
Speaker 1: "	Speaker 1
2	3	expanded_data	discourse_particle	38	just_e_1043	just	o	May I help you?	No, thank you. I'm just looking. Maybe later I might need your help.	No, thank you. I'm looking. Maybe later I might need your help.	I hope you will! Take your time. We have a lot more upstairs.		P	No, thank you. I'm just looking. Maybe later I might need your help.	nucleus	base	0.9	1.0	20260416	182747895	50	50	200	45	45	100% human hair.	100% human hair.	100% human hair.\nSpeaker 2: I was going to say human hair. What does 100% mean?\nSpeaker 1: Well, the wig is made from natural human hair, and therefore 100% human hair.\nSpeaker 2: Yeah, but what else could it be made from?\nSpeaker 	-13.1142578125	-15.6083984375	-2.6228515625	-3.1216796875	5	5	-13.1142578125	-15.6083984375	-2.6228515625	-3.1216796875	2.494140625	0.4988281249999997	True	True	I hope you will! Take your time. We have a lot more upstairs.	just	0.4988281249999997	2.494140625	0	"Speaker 1: May I help you?
Speaker 2: No, thank you. I'm just looking. Maybe later I might need your help.
Speaker 1: "	"Speaker 1: May I help you?
Speaker 2: No, thank you. I'm looking. Maybe later I might need your help.
Speaker 1: "	Speaker 1
3	4	expanded_data	discourse_particle	43	just_e_2762	just	o	Hi, can I help you?	No, thanks. I'm just looking.	No, thanks. I'm looking.	All right. If you need any help, just let me know. My name is Greg.		P	No, thanks. I'm just looking.	nucleus	base	0.9	1.0	20260416	892431323	50	50	200	8	8	100% Portuguese wool.	100% portuguese wool.	100% Portuguese wool.\nSpeaker 2: Can I help you?\nSpeaker 1: Do you have your photo taken by a friend?\nSpeaker 2: What's going on?\nSpeaker 1: I'm sorry, do you have your photo taken by a friend?\nSpeaker 2: Well, I would rather	-16.818115234375	-19.0927734375	-3.363623046875	-3.8185546875	5	5	-16.818115234375	-19.0927734375	-3.363623046875	-3.8185546875	2.274658203125	0.4549316406249999	True	True	All right. If you need any help, just let me know. My name is Greg.	just	0.4549316406249999	2.274658203125	0	"Speaker 1: Hi, can I help you?
Speaker 2: No, thanks. I'm just looking.
Speaker 1: "	"Speaker 1: Hi, can I help you?
Speaker 2: No, thanks. I'm looking.
Speaker 1: "	Speaker 1
4	5	expanded_data	discourse_particle	56	just_e_7244	just	o	Daniel, you can't spit the gum everywhere.	Come on, just a little piece.	Come on, a little piece.	Do you know how many people chew gum everyday?		P	Come on, just a little piece.	nucleus	base	0.9	1.0	20260416	799448003	50	50	200	14	14	No Daniel!	no daniel!	 No Daniel!\nSpeaker 3:  Hey, girl!\nSpeaker 2:  What?\nSpeaker 3:  Take a shower! You smell like baby powder and rancid pork chops.\nSpeaker 4:  How about a huge cup of sleep deprivation?\nSpeaker 5: 	-10.3955078125	-11.3759765625	-3.465169270833333	-3.7919921875	3	3	-10.3955078125	-11.3759765625	-3.465169270833333	-3.7919921875	0.98046875	0.3268229166666665	True	True	Do you know how many people chew gum everyday?	just	0.3268229166666665	0.98046875	0	"Speaker 1: Daniel, you can't spit the gum everywhere.
Speaker 2: Come on, just a little piece.
Speaker 1: "	"Speaker 1: Daniel, you can't spit the gum everywhere.
Speaker 2: Come on, a little piece.
Speaker 1: "	Speaker 1
5	6	expanded_data	discourse_particle	37	just_e_569	just	o	May I help you?	I'm just browsing, thanks.	I'm browsing, thanks.	We're on clearance sale now. Prices have up to twenty percent off. Do not miss the chance.		P	I'm just browsing, thanks.	nucleus	base	0.9	1.0	20260416	794732814	50	50	200	36	36	22 more sleep.	22 more sleep.	22 more sleep.\nYou mean you're not getting any sleep?\nThe Old English is hard to pronounce so I will make the pronounciation as close to the 9gag's video as possible. And the youtube video is a pretty hilarious one. 0:06 (sifin) (skure?)	-22.212890625	-23.482421875	-5.55322265625	-5.87060546875	4	4	-22.212890625	-23.482421875	-5.55322265625	-5.87060546875	1.26953125	0.3173828125	True	True	We're on clearance sale now. Prices have up to twenty percent off. Do not miss the chance.	just	0.3173828125	1.26953125	1	"Speaker 1: May I help you?
Speaker 2: I'm just browsing, thanks.
Speaker 1: "	"Speaker 1: May I help you?
Speaker 2: I'm browsing, thanks.
Speaker 1: "	Speaker 1
6	7	expanded_data	discourse_particle	38	just_e_1043	just	o	May I help you?	No, thank you. I'm just looking. Maybe later I might need your help.	No, thank you. I'm looking. Maybe later I might need your help.	I hope you will! Take your time. We have a lot more upstairs.		P	No, thank you. I'm just looking. Maybe later I might need your help.	nucleus	base	0.9	1.0	20260416	182747895	50	50	200	34	34	00:25 No, thank you. I'm just looking. Maybe later I might need your help.	00:25 no, thank you. i'm just looking. maybe later i might need your help.	00:25 No, thank you. I'm just looking. Maybe later I might need your help.	-18.90411758422852	-25.44034194946289	-0.9001960754394531	-1.211444854736328	21	21	-18.90411758422852	-25.44034194946289	-0.9001960754394531	-1.211444854736328	6.536224365234375	0.311248779296875	True	True	I hope you will! Take your time. We have a lot more upstairs.	just	0.311248779296875	6.536224365234375	0	"Speaker 1: May I help you?
Speaker 2: No, thank you. I'm just looking. Maybe later I might need your help.
Speaker 1: "	"Speaker 1: May I help you?
Speaker 2: No, thank you. I'm looking. Maybe later I might need your help.
Speaker 1: "	Speaker 1
7	8	expanded_data	discourse_particle	41	just_e_2612	just	o	Can I bring you anything else?	No, thank you. Just the check.	No, thank you. The check.	Let me get this.		P	No, thank you. Just the check.	nucleus	base	0.9	1.0	20260416	289692236	50	50	200	49	49	10 percent?	10 percent?	10 percent?\nSpeaker 2: 20 percent. $20 tip.\nSpeaker 1: 25 percent.\nSpeaker 2: $25 tip. Because I can't get service from you and the people you've hired, I'll never give you service again. Thank you for your bad attitude.\n-- Los Angeles	-9.302734375	-10.236328125	-3.100911458333333	-3.412109375	3	3	-9.302734375	-10.236328125	-3.100911458333333	-3.412109375	0.93359375	0.3111979166666665	True	True	Let me get this.	just	0.3111979166666665	0.93359375	1	"Speaker 1: Can I bring you anything else?
Speaker 2: No, thank you. Just the check.
Speaker 1: "	"Speaker 1: Can I bring you anything else?
Speaker 2: No, thank you. The check.
Speaker 1: "	Speaker 1
8	9	expanded_data	discourse_particle	38	just_e_1043	just	o	May I help you?	No, thank you. I'm just looking. Maybe later I might need your help.	No, thank you. I'm looking. Maybe later I might need your help.	I hope you will! Take your time. We have a lot more upstairs.		P	No, thank you. I'm just looking. Maybe later I might need your help.	nucleus	base	0.9	1.0	20260416	182747895	50	50	200	38	38	ˈno, th-ˈɑ:ŋk ju. ai m ju:st lʊkiŋ. meib'ə lei: ma naed ju: mait niid jɔ: help.	ˈno, th-ˈɑ:ŋk ju. ai m ju:st lʊkiŋ. meib'ə lei: ma naed ju: mait niid jɔ: help.	ˈno, th-ˈɑ:ŋk ju. ai m ju:st lʊkiŋ. meib'ə lei: ma naed ju: mait niid jɔ: help.	-85.80478823184967	-100.97654259204865	-1.7511181271806056	-2.0607457671846663	49	49	-85.80478823184967	-100.97654259204865	-1.7511181271806056	-2.0607457671846663	15.171754360198976	0.3096276400040607	True	True	I hope you will! Take your time. We have a lot more upstairs.	just	0.3096276400040607	15.171754360198976	0	"Speaker 1: May I help you?
Speaker 2: No, thank you. I'm just looking. Maybe later I might need your help.
Speaker 1: "	"Speaker 1: May I help you?
Speaker 2: No, thank you. I'm looking. Maybe later I might need your help.
Speaker 1: "	Speaker 1
9	10	expanded_data	discourse_particle	43	just_e_2762	just	o	Hi, can I help you?	No, thanks. I'm just looking.	No, thanks. I'm looking.	All right. If you need any help, just let me know. My name is Greg.		P	No, thanks. I'm just looking.	nucleus	base	0.9	1.0	20260416	892431323	50	50	200	14	14	"17"" iMac for sale. Anyone?"	"17"" imac for sale. anyone?"	"17"" iMac for sale. Anyone?\nSpeaker 2: How old is it?\nSpeaker 1: 2 years old. There's a little wear on the back, but I haven't had any issues with it. But if there is an issue, I'll repair it. We do all sorts of repairs"	-28.24566650390625	-30.9560546875	-3.1384073893229165	-3.4395616319444446	9	9	-28.24566650390625	-30.9560546875	-3.1384073893229165	-3.4395616319444446	2.71038818359375	0.3011542426215281	True	True	All right. If you need any help, just let me know. My name is Greg.	just	0.3011542426215281	2.71038818359375	0	"Speaker 1: Hi, can I help you?
Speaker 2: No, thanks. I'm just looking.
Speaker 1: "	"Speaker 1: Hi, can I help you?
Speaker 2: No, thanks. I'm looking.
Speaker 1: "	Speaker 1
