pool_row_index	pool_rank	source_dataset	dataset_role	source_row_index	id	word	subset	context	w_word	wo_word	followup_metadata_only	with_without_diff	generated_from	generated_from_text	sampling_strategy	prompt_mode	top_p	temperature	base_seed	condition_seed	samples_requested	unique_samples_obtained	max_sample_draws	sample_draw	unique_rank	response	normalized_response	raw_generation	log_prob_given_P	log_prob_given_P_prime	log_prob_given_P_per_token	log_prob_given_P_prime_per_token	token_count_given_P	token_count_given_P_prime	own_log_prob	other_log_prob	own_log_prob_per_token	other_log_prob_per_token	own_context_log_prob_advantage	own_context_log_prob_advantage_per_token	own_context_win	include_context	followup	particle	selection_score_per_token	selection_score_raw	fold_id	prompt_with	prompt_without	next_speaker
0	1	expanded_data	meaning_control	170	not_2148	not	h	Hey, look, there is a circus show over there.	I'm not in the mood.	I'm in the mood.	It's the circus.		P	I'm not in the mood.	nucleus	chat	0.9	1.0	20260416	488230031	50	50	500	26	26	No worries! Sometimes we just need a break from all the excitement. Would you rather stay and rest for a bit, or do you have something else in mind that would lift your mood?	no worries! sometimes we just need a break from all the excitement. would you rather stay and rest for a bit, or do you have something else in mind that would lift your mood?	No worries! Sometimes we just need a break from all the excitement. Would you rather stay and rest for a bit, or do you have something else in mind that would lift your mood?	-21.39912438392639	-95.64309978485107	-0.4976540554401486	-2.2242581345314205	43	43	-21.39912438392639	-95.64309978485107	-0.4976540554401486	-2.2242581345314205	74.24397540092468	1.7266040790912718	True	True	It's the circus.	not	1.7266040790912718	74.24397540092468	0	"Speaker 1: Hey, look, there is a circus show over there.
Speaker 2: I'm not in the mood.
Speaker 1: "	"Speaker 1: Hey, look, there is a circus show over there.
Speaker 2: I'm in the mood.
Speaker 1: "	Speaker 1
1	2	expanded_data	meaning_control	124	not_81	not	h	I'm trying to reach Robert please.	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?		P	Robert is not available at the moment.	nucleus	chat	0.9	1.0	20260416	1045028012	50	50	500	6	6	Can you please take a message or tell me when he will be available?	can you please take a message or tell me when he will be available?	Can you please take a message or tell me when he will be available?	-7.542691469192505	-42.02673745155335	-0.3771345734596252	-2.101336872577668	20	20	-7.542691469192505	-42.02673745155335	-0.3771345734596252	-2.101336872577668	34.48404598236084	1.724202299118042	True	True	What time should I call back?	not	1.724202299118042	34.48404598236084	0	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is not available at the moment.
Speaker 1: "	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is available at the moment.
Speaker 1: "	Speaker 1
2	3	expanded_data	meaning_control	124	not_81	not	h	I'm trying to reach Robert please.	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?		P	Robert is not available at the moment.	nucleus	chat	0.9	1.0	20260416	1045028012	50	50	500	41	39	Can you please take a message or leave a callback number?	can you please take a message or leave a callback number?	Can you please take a message or leave a callback number?	-8.887940883636475	-37.94626259803772	-0.5228200519786161	-2.2321330940022186	17	17	-8.887940883636475	-37.94626259803772	-0.5228200519786161	-2.2321330940022186	29.058321714401245	1.7093130420236025	True	True	What time should I call back?	not	1.7093130420236025	29.058321714401245	0	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is not available at the moment.
Speaker 1: "	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is available at the moment.
Speaker 1: "	Speaker 1
3	4	expanded_data	meaning_control	124	not_81	not	h	I'm trying to reach Robert please.	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?		P	Robert is not available at the moment.	nucleus	chat	0.9	1.0	20260416	1045028012	50	50	500	13	13	Can you please leave a message or schedule a callback?	can you please leave a message or schedule a callback?	Can you please leave a message or schedule a callback?	-5.854525327682495	-33.069706201553345	-0.3659078329801559	-2.066856637597084	16	16	-5.854525327682495	-33.069706201553345	-0.3659078329801559	-2.066856637597084	27.21518087387085	1.700948804616928	True	True	What time should I call back?	not	1.700948804616928	27.21518087387085	0	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is not available at the moment.
Speaker 1: "	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is available at the moment.
Speaker 1: "	Speaker 1
4	5	expanded_data	meaning_control	124	not_81	not	h	I'm trying to reach Robert please.	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?		P	Robert is not available at the moment.	nucleus	chat	0.9	1.0	20260416	1045028012	50	50	500	3	3	Can you take a message or let me know when he will be available?	can you take a message or let me know when he will be available?	Can you take a message or let me know when he will be available?	-5.6489577293396	-38.979103326797485	-0.28244788646698	-1.9489551663398743	20	20	-5.6489577293396	-38.979103326797485	-0.28244788646698	-1.9489551663398743	33.330145597457886	1.6665072798728944	True	True	What time should I call back?	not	1.6665072798728944	33.330145597457886	0	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is not available at the moment.
Speaker 1: "	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is available at the moment.
Speaker 1: "	Speaker 1
5	6	expanded_data	meaning_control	124	not_81	not	h	I'm trying to reach Robert please.	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?		P	Robert is not available at the moment.	nucleus	chat	0.9	1.0	20260416	1045028012	50	50	500	27	26	Can you take a message or let me know when he'll be available?	can you take a message or let me know when he'll be available?	Can you take a message or let me know when he'll be available?	-5.595152378082275	-38.15276503562927	-0.2797576189041137	-1.907638251781464	20	20	-5.595152378082275	-38.15276503562927	-0.2797576189041137	-1.907638251781464	32.557612657547	1.62788063287735	True	True	What time should I call back?	not	1.62788063287735	32.557612657547	0	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is not available at the moment.
Speaker 1: "	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is available at the moment.
Speaker 1: "	Speaker 1
6	7	expanded_data	meaning_control	124	not_81	not	h	I'm trying to reach Robert please.	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?		P	Robert is not available at the moment.	nucleus	chat	0.9	1.0	20260416	1045028012	50	50	500	34	33	Can you take a message or provide an estimated time of availability? I'd like to reach out to him at a later time.	can you take a message or provide an estimated time of availability? i'd like to reach out to him at a later time.	Can you take a message or provide an estimated time of availability? I'd like to reach out to him at a later time.	-15.048328161239624	-64.59864032268524	-0.4854299406851491	-2.083827107183395	31	31	-15.048328161239624	-64.59864032268524	-0.4854299406851491	-2.083827107183395	49.55031216144562	1.5983971664982457	True	True	What time should I call back?	not	1.5983971664982457	49.55031216144562	0	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is not available at the moment.
Speaker 1: "	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is available at the moment.
Speaker 1: "	Speaker 1
7	8	expanded_data	meaning_control	124	not_81	not	h	I'm trying to reach Robert please.	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?		P	Robert is not available at the moment.	nucleus	chat	0.9	1.0	20260416	1045028012	50	50	500	50	48	Can you please take a message or let me know when he'll be available?	can you please take a message or let me know when he'll be available?	Can you please take a message or let me know when he'll be available?	-6.695256471633911	-38.85534977912903	-0.3188217367444719	-1.8502547513870968	21	21	-6.695256471633911	-38.85534977912903	-0.3188217367444719	-1.8502547513870968	32.16009330749512	1.5314330146426247	True	True	What time should I call back?	not	1.5314330146426247	32.16009330749512	0	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is not available at the moment.
Speaker 1: "	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is available at the moment.
Speaker 1: "	Speaker 1
8	9	expanded_data	meaning_control	170	not_2148	not	h	Hey, look, there is a circus show over there.	I'm not in the mood.	I'm in the mood.	It's the circus.		P	I'm not in the mood.	nucleus	chat	0.9	1.0	20260416	488230031	50	50	500	18	18	That's okay! It's not for everyone. Maybe something else will catch your attention?	that's okay! it's not for everyone. maybe something else will catch your attention?	That's okay! It's not for everyone. Maybe something else will catch your attention?	-13.25804841518402	-47.842493534088135	-0.5764368876166965	-2.080108414525572	23	23	-13.25804841518402	-47.842493534088135	-0.5764368876166965	-2.080108414525572	34.584445118904114	1.5036715269088747	True	True	It's the circus.	not	1.5036715269088747	34.584445118904114	0	"Speaker 1: Hey, look, there is a circus show over there.
Speaker 2: I'm not in the mood.
Speaker 1: "	"Speaker 1: Hey, look, there is a circus show over there.
Speaker 2: I'm in the mood.
Speaker 1: "	Speaker 1
9	10	expanded_data	meaning_control	170	not_2148	not	h	Hey, look, there is a circus show over there.	I'm not in the mood.	I'm in the mood.	It's the circus.		P	I'm not in the mood.	nucleus	chat	0.9	1.0	20260416	488230031	50	50	500	15	15	That's okay! Sometimes we just need a break from excitement. Would you like to talk about why you're not in the mood or just take some time to relax?	that's okay! sometimes we just need a break from excitement. would you like to talk about why you're not in the mood or just take some time to relax?	That's okay! Sometimes we just need a break from excitement. Would you like to talk about why you're not in the mood or just take some time to relax?	-12.895342350006104	-71.33919334411621	-0.3306498038463103	-1.8292100857465687	39	39	-12.895342350006104	-71.33919334411621	-0.3306498038463103	-1.8292100857465687	58.44385099411011	1.498560281900259	True	True	It's the circus.	not	1.498560281900259	58.44385099411011	0	"Speaker 1: Hey, look, there is a circus show over there.
Speaker 2: I'm not in the mood.
Speaker 1: "	"Speaker 1: Hey, look, there is a circus show over there.
Speaker 2: I'm in the mood.
Speaker 1: "	Speaker 1
10	11	expanded_data	meaning_control	124	not_81	not	h	I'm trying to reach Robert please.	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?		P	Robert is not available at the moment.	nucleus	chat	0.9	1.0	20260416	1045028012	50	50	500	32	31	Can you please take a message or schedule a callback for me?	can you please take a message or schedule a callback for me?	Can you please take a message or schedule a callback for me?	-8.167832851409912	-35.11317086219788	-0.4537684917449951	-1.9507317145665488	18	18	-8.167832851409912	-35.11317086219788	-0.4537684917449951	-1.9507317145665488	26.945338010787964	1.4969632228215537	True	True	What time should I call back?	not	1.4969632228215537	26.945338010787964	0	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is not available at the moment.
Speaker 1: "	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is available at the moment.
Speaker 1: "	Speaker 1
11	12	expanded_data	meaning_control	124	not_81	not	h	I'm trying to reach Robert please.	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?		P	Robert is not available at the moment.	nucleus	chat	0.9	1.0	20260416	1045028012	50	50	500	33	32	Could you please leave a message or schedule a call back for when he's available?	could you please leave a message or schedule a call back for when he's available?	Could you please leave a message or schedule a call back for when he's available?	-10.028251886367798	-42.47319436073303	-0.4558296311985362	-1.930599743669684	22	22	-10.028251886367798	-42.47319436073303	-0.4558296311985362	-1.930599743669684	32.444942474365234	1.474770112471147	True	True	What time should I call back?	not	1.474770112471147	32.444942474365234	0	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is not available at the moment.
Speaker 1: "	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is available at the moment.
Speaker 1: "	Speaker 1
12	13	expanded_data	meaning_control	170	not_2148	not	h	Hey, look, there is a circus show over there.	I'm not in the mood.	I'm in the mood.	It's the circus.		P	I'm not in the mood.	nucleus	chat	0.9	1.0	20260416	488230031	50	50	500	19	19	That's okay! Maybe something else can brighten up your day. What do you feel like doing instead?	that's okay! maybe something else can brighten up your day. what do you feel like doing instead?	That's okay! Maybe something else can brighten up your day. What do you feel like doing instead?	-11.3771071434021	-50.09574818611145	-0.4213743386445222	-1.8553980809670907	27	27	-11.3771071434021	-50.09574818611145	-0.4213743386445222	-1.8553980809670907	38.71864104270935	1.4340237423225686	True	True	It's the circus.	not	1.4340237423225686	38.71864104270935	0	"Speaker 1: Hey, look, there is a circus show over there.
Speaker 2: I'm not in the mood.
Speaker 1: "	"Speaker 1: Hey, look, there is a circus show over there.
Speaker 2: I'm in the mood.
Speaker 1: "	Speaker 1
13	14	expanded_data	meaning_control	124	not_81	not	h	I'm trying to reach Robert please.	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?		P	Robert is not available at the moment.	nucleus	chat	0.9	1.0	20260416	1045028012	50	50	500	47	45	Can you take a message or let me know when he'll be available to speak?	can you take a message or let me know when he'll be available to speak?	Can you take a message or let me know when he'll be available to speak?	-7.87441873550415	-38.9756715297699	-0.3579281243410977	-1.771621433171359	22	22	-7.87441873550415	-38.9756715297699	-0.3579281243410977	-1.771621433171359	31.101252794265747	1.4136933088302612	True	True	What time should I call back?	not	1.4136933088302612	31.101252794265747	0	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is not available at the moment.
Speaker 1: "	"Speaker 1: I'm trying to reach Robert please.
Speaker 2: Robert is available at the moment.
Speaker 1: "	Speaker 1
