id	word	context	w_word	wo_word	followup	log_prob_with_particle	log_prob_without_particle	prob_with_particle	prob_without_particle	log_prob_diff	prob_ratio	include_context
3	not	[NO CONTEXT]	I'm not sure. But I'll get a table ready as fast as I can.	I'm sure. But I'll get a table ready as fast as I can.	OK. We'll wait.	-19.90576171875	-19.3974609375	2.2648400043782734e-09	3.765214754927055e-09	-0.50830078125	0.6015168195690742	False
5	not	[NO CONTEXT]	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	-78.77922439575195	-79.86848068237305	6.118113877296108e-35	2.0585411913897397e-35	1.0892562866210938	2.9720628874886468	False
7	not	[NO CONTEXT]	Why not? See.	Why? See.	Good mastery. How do you like our Chinese food?	-54.90869140625	-56.00048828125	1.423830572047147e-24	4.778559033366103e-25	1.091796875	2.9796232757726866	False
15	not	[NO CONTEXT]	No, the steak was recommended, but it is not very fresh.	No, the steak was recommended, but it is very fresh.	Oh! Sorry to hear that. This is quite unusual as we have steak from the market every day.	-61.96295166015625	-63.8795166015625	1.22979298542005e-27	1.8091660663284204e-28	1.91656494140625	6.797568273629138	False
35	not	[NO CONTEXT]	Not to high, maybe an inch or an inch in the half would be the best.	to high, maybe an inch or an inch in the half would be the best.	In that case, I might have just the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell just by looking at it that it was superbly made.	-128.92267417907715	-127.96344566345215	1.0223368421155604e-56	2.6679744304401623e-56	-0.959228515625	0.3831883958299013	False
71	not	[NO CONTEXT]	No, it is not.	No, it is.	Oh, I'm sorry.	-15.91162109375	-15.703857421875	1.2293364560678057e-07	1.5132175763839981e-07	-0.207763671875	0.8123990067611043	False
78	not	[NO CONTEXT]	No, he's not. May I take a message?	No, he's. May I take a message?	Yes, would you leave him a message to call me?	-38.232696533203125	-37.2496337890625	2.48742999687707e-17	6.647978289549696e-17	-0.983062744140625	0.37416337547118517	False
81	not	[NO CONTEXT]	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?	-22.66845703125	-25.57421875	1.429598876088058e-10	7.82092133919484e-12	2.90576171875	18.279161931006385	False
83	not	[NO CONTEXT]	Mrs. Smith has not checked in yet.	Mrs. Smith has checked in yet.	Can you leave a message for her to call her office?	-32.81134033203125	-33.54132080078125	5.626210150843857e-15	2.711374207838755e-15	0.72998046875	2.075040079151792	False
95	not	[NO CONTEXT]	Not back home for dinner again? That’s the third time this week!	back home for dinner again? That’s the third time this week!	I’m sorry. Our company has just opened. There are always too many things to handle. You know that.	-65.0006103515625	-65.62844848632812	5.896490510870056e-29	3.14721901495688e-29	0.627838134765625	1.8735558227271458	False
